"","ID","p_age_lm","beta_age_lm","age_lm"
"Acetoacetate","Acetoacetate",0.327738498818041,1.40657809219862,"n.s."
"3-Aminobutanoic acid","3-Aminobutanoic acid",0.670809106109427,-0.61692252536586,"n.s."
"Malonic acid","Malonic acid",0.271525704391669,1.69414896783917,"n.s."
"(R)-3-Hydroxybutyric acid","(R)-3-Hydroxybutyric acid",0.320979573658089,1.48307897096218,"n.s."
"Uracil","Uracil",0.590982861028148,0.903039557636982,"n.s."
"Maleic acid","Maleic acid",0.908740434502666,0.134436540232783,"n.s."
"Acetylglycine","Acetylglycine",0.627023015893338,0.678572795984618,"n.s."
"Guanidoacetic acid","Guanidoacetic acid",0.160896718156308,1.68082682723324,"n.s."
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid",0.255246163109081,2.00903982096263,"n.s."
"Succinic acid","Succinic acid",0.335008836812057,1.77358805879344,"n.s."
"Methylmalonic acid","Methylmalonic acid",0.0613717851358409,3.18359509475907,"n.s."
"Benzoic acid","Benzoic acid",0.514203214189939,-0.528010488278042,"n.s."
"Methyl (R)-4-methyl-2-oxopentanoate","Methyl (R)-4-methyl-2-oxopentanoate",0.469838856606273,-0.574949263888549,"n.s."
"Hydroxyisocaproic acid","Hydroxyisocaproic acid",0.229227917008009,2.19129055590583,"n.s."
"Glutarate","Glutarate",0.300044406437375,1.31302723151741,"n.s."
"sinapoyl-(S)-malate","sinapoyl-(S)-malate",0.367487193534213,1.72492173372123,"n.s."
"Adenine","Adenine",0.201455714384855,1.59451921599049,"n.s."
"Hypoxanthine","Hypoxanthine",0.598905344306529,0.392839082343806,"n.s."
"Adipic acid","Adipic acid",0.0626602362460203,2.06329634202566,"n.s."
"Mevalonic acid","Mevalonic acid",0.345150303993187,1.33886776918422,"n.s."
"Xanthine","Xanthine",0.492178533840259,0.787140440655396,"n.s."
"Dopamine","Dopamine",0.130932943558495,-1.08746363802028,"n.s."
"Orotic acid","Orotic acid",0.667847232173443,0.349834621885627,"n.s."
"Aminoadipic acid","Aminoadipic acid",0.540643312230011,-0.683999595760383,"n.s."
"Enol-phenylpyruvate","Enol-phenylpyruvate",0.780987819275571,-0.420407414577326,"n.s."
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid",0.0930055864050876,1.89741472452637,"n.s."
"Homogentisic acid","Homogentisic acid",0.794631949539543,0.381525524482783,"n.s."
"Uric acid","Uric acid",0.12775174541012,1.75430790140999,"n.s."
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",0.222331768133652,1.28232061897999,"n.s."
"D-Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate",0.0541693131775335,2.37532126639016,"n.s."
"Shikimic acid","Shikimic acid",0.831087302710121,0.269246748776255,"n.s."
"Citrulline","Citrulline",0.958709821535226,-0.05880744557747,"n.s."
"Hippuric acid","Hippuric acid",0.62247424453585,-0.655160424155015,"n.s."
"myo-Inositol","myo-Inositol",0.730121607495543,0.379502355824606,"n.s."
"lactose","lactose",0.264079163822242,1.67905319213241,"n.s."
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid",0.923285323619144,-0.13190822428948,"n.s."
"4-Pyridoxic acid","4-Pyridoxic acid",0.0537062925657991,2.90776003508095,"n.s."
"2-Phosphoglyceric acid","2-Phosphoglyceric acid",0.459494154853883,-0.960284031047957,"n.s."
"Azelaic acid","Azelaic acid",0.242597393181393,1.93366779255598,"n.s."
"4,6-Dihydroxy-2-quinolinecarboxylic acid","4,6-Dihydroxy-2-quinolinecarboxylic acid",0.0962154074576234,2.98825096548209,"n.s."
"D-Glucuronic acid","D-Glucuronic acid",0.485252672596546,1.23496826988962,"n.s."
"Indoxyl sulfate","Indoxyl sulfate",0.428275240347079,-1.28809083875528,"n.s."
"Pantothenic acid","Pantothenic acid",0.08435319328321,2.99091456855012,"n.s."
