"","ID","p_age_lm","beta_age_lm","age_lm"
"Acetoacetate","Acetoacetate",0.0636078976766684,5.64706606778508,"n.s."
"3-Aminobutanoic acid","3-Aminobutanoic acid",0.29039044947976,2.82715976664602,"n.s."
"Malonic acid","Malonic acid",0.71487273823599,0.934035626939977,"n.s."
"(R)-3-Hydroxybutyric acid","(R)-3-Hydroxybutyric acid",0.762287361087303,0.749858335654423,"n.s."
"Uracil","Uracil",0.512182334485371,1.76542340693936,"n.s."
"Maleic acid","Maleic acid",0.953557671555059,-0.0683374549639397,"n.s."
"Acetylglycine","Acetylglycine",0.398549309542571,2.15776893746508,"n.s."
"Guanidoacetic acid","Guanidoacetic acid",0.155455501288912,3.82710044542534,"n.s."
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid",0.0525502844209967,5.93803203011029,"n.s."
"Succinic acid","Succinic acid",0.214374399582186,2.87365236058169,"n.s."
"Methylmalonic acid","Methylmalonic acid",0.02312533712312,5.92822914248951,"positive"
"Benzoic acid","Benzoic acid",0.106979933977008,3.03172434213701,"n.s."
"Methyl (R)-4-methyl-2-oxopentanoate","Methyl (R)-4-methyl-2-oxopentanoate",0.826199897727472,0.414519947427541,"n.s."
"Hydroxyisocaproic acid","Hydroxyisocaproic acid",0.0879700638033397,5.65130188066014,"n.s."
"Glutarate","Glutarate",0.211959155696373,2.83937780399791,"n.s."
"sinapoyl-(S)-malate","sinapoyl-(S)-malate",0.0210444153345952,4.79173684987869,"positive"
"Adenine","Adenine",0.153742813758481,3.80315391168979,"n.s."
"Hypoxanthine","Hypoxanthine",0.879495041683801,-0.154236439573665,"n.s."
"Adipic acid","Adipic acid",0.121476491779046,2.50665564364065,"n.s."
"Mevalonic acid","Mevalonic acid",0.131264307461547,3.74038337099905,"n.s."
"Xanthine","Xanthine",0.0206135172194677,4.00760519122218,"positive"
"Dopamine","Dopamine",0.293083758432097,-1.06316297367894,"n.s."
"Orotic acid","Orotic acid",0.901189941576515,-0.203093334869341,"n.s."
"Aminoadipic acid","Aminoadipic acid",0.165640282279476,2.86617214677543,"n.s."
