"","metabolic","p.value","log10.fc"
"1","Acetoacetate",0.800567910616773,-0.0128530740692308
"2","3-Aminobutanoic acid",0.0618767962346085,0.213333760182051
"3","Malonic acid",0.498360200363858,0.0466458297333333
"4","(R)-3-Hydroxybutyric acid",0.642166549147721,0.0253805023102564
"5","Uracil",0.105983282802896,0.225327450241026
"6","Maleic acid",0.713794112529704,0.039083219
"7","Acetylglycine",0.0340174704677393,0.254832403010256
"8","Guanidoacetic acid",0.665720369645644,0.00592254893076923
"9","3-Hydroxyisovaleric acid",0.117209360486792,-0.0906032853205128
"10","Succinic acid",0.630519256665425,0.171443523253846
"11","Methylmalonic acid",0.409711246650229,0.117514998558974
"12","Benzoic acid",0.187524239261526,0.0921244534769231
"13","Methyl (R)-4-methyl-2-oxopentanoate",0.324250011991013,0.155378205128205
"14","Hydroxyisocaproic acid",0.0551690653193233,-0.0661706440641026
"15","Glutarate",0.645500302817689,-0.0653425641025641
"16","sinapoyl-(S)-malate",0.967505522426623,-0.0953775301435898
"17","Adenine",0.800567910616773,0.018193723374359
"18","Hypoxanthine",0.229217196952411,0.389280759984615
"19","Adipic acid",0.713794112529704,-0.00748344679230767
"20","Mevalonic acid",0.980499918516466,0.0275786419
"21","Xanthine",0.77547495359227,-0.0382211545410256
"22","Dopamine",0.874411608612164,-0.0541050128076923
"23","Orotic acid",0.941545563099062,0.0925137289948718
"24","Aminoadipic acid",0.0618767962346085,-0.155977679946154
"25","Enol-phenylpyruvate",0.607495867728389,-0.0449420732974359
"26","Phosphoenolpyruvic acid",0.488040198764025,-0.0545170467051282
"27","Homogentisic acid",0.838582308326267,0.0822839630153846
"28","Uric acid",1,-0.0423962260205128
"29","Dihydroxyacetone phosphate",0.787994374426216,0.0744404112307692
"30","D-Glyceraldehyde 3-phosphate",0.665720369645644,0.137093563279487
"31","Shikimic acid",0.519337733692015,0.241445391379487
"32","Citrulline",0.322932943088816,0.345214587066667
"33","Hippuric acid",0.980499918516466,0.00130845212820514
"34","myo-Inositol",0.30710840163018,0.124396862941026
"35","lactose",0.242238316571689,0.114073227938462
"36","4-Hydroxyphenylpyruvic acid",0.129331815844469,0.253593029184615
"37","4-Pyridoxic acid",0.701661459671321,0.0691592267794872
"38","2-Phosphoglyceric acid",0.529992078931755,0.102965248441026
"39","Azelaic acid",0.889835356879428,0.0323807472820513
"40","4,6-Dihydroxy-2-quinolinecarboxylic acid",0.447918989914756,0.0680802880692308
"41","D-Glucuronic acid",0.141452666414616,0.0975564102564103
"42","Indoxyl sulfate",0.331037842653965,0.120022959379487
"43","Pantothenic acid",0.800567910616773,0.0439611139
"44","L-Cystathionine",0.364737282766235,0.0580737149974359
"45","3-Nitrotyrosine",0.262714359668447,0.101652453051282
"46","Myristic acid",0.30710840163018,0.113180820512821
"47","D-Ribose 5-phosphate",1,-0.0191072782051282
"48","Biotin",0.0145499390001349,0.377374236130769
"49","Fructose 6-phosphate",0.895433052656503,0.0226467796589744
"50","Glucose 6-phosphate",0.73008629933579,0.0667999578128205
"51","Heptadecanoic acid",0.171452110433024,0.148136814492308
"52","Linoelaidic acid",0.454747766550067,0.0430526923076923
"53","Alpha-Linolenic acid",0.428571514326331,0.0566403649461538
"54","Xanthosine",0.457772809384687,-0.0833732253512821
"55","Argininosuccinic acid",0.562596766864705,0.0946280166897436
