Metabolite,Estimate-RH,Estimate-RI,Estimate-IH,p_value-RH,p_value-RI,p_value-IH,CI_lower-RH,CI_lower-RI,CI_lower-IH,CI_upper-RH,CI_upper-RI,CI_upper-IH
Acetoacetate,-0.487819697,-0.111111241,-0.314530879,5.44E-13,0.10810382,0.00017674,-0.620359596,-0.246648628,-0.478919789,-0.355279798,0.024426146,-0.150141969
4-Aminobutanoate,0.171353028,-0.108479815,0.341698747,0.010410729,0.16418595,0.000108945,0.040257139,-0.261319885,0.168631052,0.302448918,0.044360255,0.514766441
Malonic acid,0.013033227,-0.042278417,0.08155379,0.835339689,0.604443995,0.377166322,-0.10986366,-0.202244486,-0.09944507,0.135930114,0.117687653,0.262552649
3-Hydroxybutyric acid,-0.025545084,-0.057299648,0.058677972,0.696889577,0.502237347,0.540226036,-0.15408284,-0.224679273,-0.129100362,0.102992673,0.110079977,0.246456306
Uracil,-0.110235986,0.293096547,-0.376475639,0.058943436,5.78E-05,5.64E-06,-0.224638622,0.150250936,-0.539021397,0.004166649,0.435942158,-0.213929881
Maleic acid,-1.159945643,-0.152957182,-1.103259791,0,0.368552698,8.05E-11,-1.357160246,-0.486364857,-1.435954699,-0.96273104,0.180450494,-0.770564883
N-Acetylglycine,0.289764356,0.064323871,0.234395476,8.23E-06,0.375190931,0.00601216,0.16239886,-0.077845653,0.067160132,0.417129851,0.206493395,0.401630821
Guanidoacetic acid,0.01033218,-0.088156641,0.171000956,0.891492432,0.273373148,0.104703362,-0.138118689,-0.245905811,-0.035574489,0.158783049,0.069592529,0.377576401
2-Hydroxyisovaleric acid,0.396728268,-0.029039353,0.466182827,1.13E-13,0.641537134,3.76E-10,0.291993081,-0.151296996,0.320304216,0.501463456,0.09321829,0.612061439
Succinic acid,0.311511994,0.013571424,0.323655418,1.81E-09,0.854152146,7.38E-05,0.209990389,-0.131132781,0.163614742,0.413033598,0.15827563,0.483696094
Methylmalonic acid,0.281792444,-0.107057643,0.444439156,1.96E-07,0.119580982,1.91E-08,0.175642179,-0.241865412,0.289447365,0.387942709,0.027750126,0.599430948
