"","Metabolite","Estimate","Std.err","CI_lower","CI_upper","p_value","sig"
"Acetoacetate","Acetoacetate",-0.314530879186775,0.0838718927197456,-0.478919788917476,-0.150141969456074,0.000176739740043619,"sig"
"4-Aminobutanoate","4-Aminobutanoate",0.341698746553766,0.0882998441365664,0.168631052046096,0.514766441061436,0.000108944863999483,"sig"
"Malonic acid","Malonic acid",0.0815537895061028,0.0923463569181575,-0.0994450700534858,0.262552649065691,0.377166321679449,"not sig"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid",0.058677971820696,0.0958052724019291,-0.129100362087085,0.246456305728477,0.540226035500435,"not sig"
"Uracil","Uracil",-0.376475639287131,0.0829315092052389,-0.539021397329399,-0.213929881244863,5.6361818924211e-06,"sig"
"Maleic acid","Maleic acid",-1.10325979105401,0.169742299873551,-1.43595469880617,-0.770564883301851,8.05252531321798e-11,"sig"
"N-Acetylglycine","N-Acetylglycine",0.23439547617917,0.0853241554390852,0.0671601315185633,0.401630820839777,0.00601216006118299,"sig"
"Guanidoacetic acid","Guanidoacetic acid",0.171000955594981,0.105395635179803,-0.0355744893574339,0.377576400547396,0.104703361816054,"not sig"
"2-Hydroxyisovaleric acid","2-Hydroxyisovaleric acid",0.466182827460744,0.0744278629788307,0.320304216022236,0.612061438899252,3.76304321036969e-10,"sig"
"Succinic acid","Succinic acid",0.323655418297056,0.0816534061078805,0.163614742325611,0.483696094268502,7.37749689070366e-05,"sig"
"Methylmalonic acid","Methylmalonic acid",0.444439156148065,0.0790774446926059,0.289447364550558,0.599430947745573,1.90623449247695e-08,"sig"
"Benzoic acid","Benzoic acid",0.865384305584412,0.145815002818825,0.579586900059515,1.15118171110931,2.94186364158122e-09,"sig"
"Methyl-4-methyl-2-oxopentanoate","Methyl-4-methyl-2-oxopentanoate",0.289122035206028,0.152334214448646,-0.00945302511331869,0.587697095525374,0.0577032631248139,"not sig"
"2-Hydroxyisocaproate","2-Hydroxyisocaproate",0.177343779610875,0.0704433817986574,0.0392747512855068,0.315412807936244,0.0118178749064534,"sig"
"Glutarate","Glutarate",0.35447120014242,0.105623310396527,0.147449511765226,0.561492888519614,0.0007908027305078,"sig"
"Malate","Malate",-0.415862771402564,0.0994970091671323,-0.610876909370144,-0.220848633434985,2.9195683966865e-05,"sig"
"Adenine","Adenine",0.473903953463377,0.0986884266768446,0.280474637176762,0.667333269749993,1.57071769535388e-06,"sig"
"Hypoxanthine","Hypoxanthine",-1.19747944819727,0.222724604930047,-1.63401967386016,-0.760939222534379,7.5946544830785e-08,"sig"
"Adipic acid","Adipic acid",0.549804562943698,0.130873665958606,0.293292177664829,0.806316948222566,2.65700093013965e-05,"sig"
"Mevalonic acid","Mevalonic acid",1.10399245514412,0.0950549298310759,0.917684792675215,1.29030011761303,0,"sig"
"Xanthine","Xanthine",-0.100550043676133,0.126656402187925,-0.348796591964465,0.1476965046122,0.427265022214242,"not sig"
"Dopamine","Dopamine",-0.418531388256365,0.224875882386019,-0.859288117732961,0.0222253412202318,0.0627207119549905,"not sig"
"Orotic acid","Orotic acid",-0.0937122804177366,0.160437862706171,-0.408170491321832,0.220745930486359,0.559150834172699,"not sig"
"Aminoadipic acid","Aminoadipic acid",-0.241063585381617,0.121478517212098,-0.479161479117329,-0.00296569164590413,0.0472097844130728,"sig"
"Phenylpyruvate","Phenylpyruvate",-0.787761109681593,0.111698631822796,-1.00669042805427,-0.568831791308913,1.75659486956192e-12,"sig"
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid",-0.0890950622464791,0.116847535116791,-0.31811623107539,0.139926106582432,0.445767684843393,"not sig"
"Homogentisic acid","Homogentisic acid",0.174845106765731,0.0948439370330391,-0.0110490098190256,0.360739223350488,0.0652555667140138,"not sig"
"Uric acid","Uric acid",-0.029404330274893,0.144624719956547,-0.312868781389725,0.254060120839939,0.838889073430731,"not sig"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",-0.136508507577013,0.129733712195187,-0.39078658347958,0.117769568325554,0.292698268702715,"not sig"
"Glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate",-0.371642615453206,0.106305781277734,-0.580001946757566,-0.163283284148847,0.000472328592367455,"sig"
"Shikimic acid","Shikimic acid",0.305705943279783,0.113051671671819,0.0841246668030188,0.527287219756547,0.00684843542013414,"sig"
"Citrulline","Citrulline",0.115740535733834,0.117981308294566,-0.115502828523515,0.346983899991183,0.326589095560085,"not sig"
