"","Metabolite","Estimate","Std.err","CI_lower","CI_upper","p_value","sig"
"Acetoacetate","Acetoacetate",-0.487819696866215,0.0676223975284897,-0.620359596022055,-0.355279797710375,5.43787237461402e-13,"sig"
"4-Aminobutanoate","4-Aminobutanoate",0.171353028305495,0.0668856577576379,0.0402571391005244,0.302448917510465,0.0104107285096874,"sig"
"Malonic acid","Malonic acid",0.0130332273283953,0.0627024932909485,-0.109863659521864,0.135930114178654,0.835339688632455,"not sig"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid",-0.0255450838250546,0.065580487924911,-0.15408284015788,0.102992672507771,0.696889577060073,"not sig"
"Uracil","Uracil",-0.110235986265533,0.0583686914726591,-0.224638621551945,0.00416664902087897,0.0589434355459991,"not sig"
"Maleic acid","Maleic acid",-1.15994564294857,0.100619695615367,-1.35716024635469,-0.962731039542455,0,"sig"
"N-Acetylglycine","N-Acetylglycine",0.289764355597883,0.0649823957927351,0.162398859844122,0.417129851351644,8.22965144642307e-06,"sig"
"Guanidoacetic acid","Guanidoacetic acid",0.0103321798416766,0.0757402391430387,-0.138118688878679,0.158783048562032,0.891492432229452,"not sig"
"2-Hydroxyisovaleric acid","2-Hydroxyisovaleric acid",0.396728268212801,0.0534363201911661,0.291993080638116,0.501463455787487,1.13353770814228e-13,"sig"
"Succinic acid","Succinic acid",0.311511993817378,0.051796737002732,0.209990389292023,0.413033598342732,1.80862147480809e-09,"sig"
"Methylmalonic acid","Methylmalonic acid",0.281792444110902,0.0541582983888785,0.1756421792687,0.387942708953104,1.95964030558216e-07,"sig"
"Benzoic acid","Benzoic acid",1.35005212179346,0.106383694243281,1.14154008107663,1.55856416251029,0,"sig"
"Methyl-4-methyl-2-oxopentanoate","Methyl-4-methyl-2-oxopentanoate",0.362500053483681,0.111244470564148,0.144460891177952,0.58053921578941,0.00111967588698858,"sig"
"2-Hydroxyisocaproate","2-Hydroxyisocaproate",0.0827070475212775,0.0524879458542102,-0.0201693263529744,0.185583421395529,0.115087089133412,"not sig"
