"","Metabolite","Estimate","Std.err","CI_lower","CI_upper","p_value","sig"
"Acetoacetate","Acetoacetate",-0.111111241040966,0.0691517282652403,-0.246648628440837,0.0244261463589054,0.10810382040918,"not sig"
"4-Aminobutanoate","4-Aminobutanoate",-0.108479814718447,0.077979627625282,-0.261319884863999,0.0443602554271061,0.164185949519125,"not sig"
"Malonic acid","Malonic acid",-0.042278416716626,0.0816153415852053,-0.202244486223628,0.117687652790376,0.604443994918855,"not sig"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid",-0.0572996478867282,0.0853977679374756,-0.22467927304418,0.110079977270724,0.502237346956566,"not sig"
"Uracil","Uracil",0.293096547166861,0.072880413687076,0.150250936340192,0.43594215799353,5.78018834143101e-05,"sig"
"Maleic acid","Maleic acid",-0.152957181895062,0.170105956845233,-0.486364857311719,0.180450493521594,0.368552697673644,"not sig"
"N-Acetylglycine","N-Acetylglycine",0.0643238708229595,0.0725354713055808,-0.0778456529359788,0.206493394581898,0.375190931493784,"not sig"
"Guanidoacetic acid","Guanidoacetic acid",-0.0881566410657224,0.0804842702056873,-0.24590581066887,0.0695925285374247,0.273373147981191,"not sig"
"2-Hydroxyisovaleric acid","2-Hydroxyisovaleric acid",-0.0290393529680832,0.0623763483144652,-0.151296995664435,0.0932182897282686,0.64153713438945,"not sig"
"Succinic acid","Succinic acid",0.0135714244478895,0.073828676431175,-0.131132781357213,0.158275630252993,0.854152145795231,"not sig"
"Methylmalonic acid","Methylmalonic acid",-0.107057642830656,0.0687794740987233,-0.241865412064154,0.0277501264028414,0.119580981519777,"not sig"
"Benzoic acid","Benzoic acid",0.493700088572929,0.104580413529222,0.288722478055654,0.698677699090204,2.34953389444126e-06,"sig"
"Methyl-4-methyl-2-oxopentanoate","Methyl-4-methyl-2-oxopentanoate",0.118655584230996,0.106285501809235,-0.0896639993151049,0.326975167777097,0.264257193122861,"not sig"
"2-Hydroxyisocaproate","2-Hydroxyisocaproate",-0.0611198666690695,0.0598242026824038,-0.178375303926581,0.0561355705884419,0.306942864105222,"not sig"
"Glutarate","Glutarate",-0.0986782062030379,0.0936239397314997,-0.282181128076777,0.0848247156707016,0.291889891861358,"not sig"
"Malate","Malate",0.0981508993474587,0.0985839042854105,-0.0950735530519458,0.291375351746863,0.319440766679547,"not sig"
"Adenine","Adenine",0.926118970467778,0.0733047413705507,0.782441677381499,1.06979626355406,0,"sig"
"Hypoxanthine","Hypoxanthine",0.246067830366975,0.207397868431852,-0.160431991759454,0.652567652493405,0.23544343826067,"not sig"
"Adipic acid","Adipic acid",-0.0400671516657262,0.118611294843279,-0.272545289558554,0.192410986227101,0.735512281606274,"not sig"
"Mevalonic acid","Mevalonic acid",-0.604099653825788,0.0974099196246855,-0.795023096290172,-0.413176211361405,5.58836199537893e-10,"sig"
"Xanthine","Xanthine",0.315688655383641,0.120397891002357,0.07970878901902,0.551668521748261,0.00874039591479769,"sig"
"Dopamine","Dopamine",0.190042412693555,0.205677981536322,-0.213086431117636,0.593171256504747,0.355496548347435,"not sig"
"Orotic acid","Orotic acid",0.305586566931015,0.140525545245762,0.0301564982493224,0.581016635612708,0.0296602557885326,"sig"
"Aminoadipic acid","Aminoadipic acid",-0.211117045828424,0.0937569834928677,-0.394880733474445,-0.0273533581824036,0.024338238042348,"sig"
"Phenylpyruvate","Phenylpyruvate",0.483578408131733,0.102445856519489,0.282784529353534,0.684372286909932,2.35460539144139e-06,"sig"
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid",0.00365369612554851,0.0997334385691267,-0.19182384346994,0.199131235721037,0.970776343259851,"not sig"
"Homogentisic acid","Homogentisic acid",0.0610122243966966,0.0933564213973949,-0.121966361542197,0.243990810335591,0.513407736201257,"not sig"
"Uric acid","Uric acid",0.0307370034775095,0.134444348158775,-0.23277391891369,0.294247925868709,0.81916233237566,"not sig"
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",-0.262022762432106,0.113089072986947,-0.483677345486523,-0.0403681793776895,0.0205059571211552,"sig"
"Glyceraldehyde 3-phosphate","Glyceraldehyde 3-phosphate",-0.244220866301122,0.0956340504314375,-0.431663605146739,-0.0567781274555044,0.0106584432758146,"sig"
"Shikimic acid","Shikimic acid",0.0634735939136881,0.0944715555297108,-0.121690654924545,0.248637842751921,0.501659789212902,"not sig"
"Citrulline","Citrulline",-0.0712610972506056,0.10418878851638,-0.275471122742711,0.132948928241499,0.49399961570545,"not sig"
"Hippuric acid","Hippuric acid",-0.0563535517096484,0.0854216800922535,-0.223780044690465,0.111072941271168,0.50943983442688,"not sig"
"Myo-Inositol","Myo-Inositol",-0.00940372733375914,0.136258175335652,-0.276469750991637,0.257662296324119,0.94497844284456,"not sig"
"Lactose","Lactose",-0.0705738864803848,0.0607850882989862,-0.189712659546398,0.0485648865856283,0.245625850012482,"not sig"
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid",0.307423144409792,0.082169127230355,0.146371655038296,0.468474633781287,0.000183037243621009,"sig"
"4-Pyridoxic acid","4-Pyridoxic acid",-0.0977343700065797,0.0708130988078524,-0.236528043669971,0.0410593036568111,0.167533198223295,"not sig"
"2-Phosphoglyceric acid","2-Phosphoglyceric acid",-0.102756981549171,0.086908722413779,-0.273098077480178,0.0675841143818361,0.23706478371764,"not sig"
"Azelaic acid","Azelaic acid",-0.0987149502764667,0.0680139530641372,-0.232022298282176,0.0345923977292422,0.146670560548189,"not sig"
"4-Hydroxy-2-quinolinecarboxylic acid","4-Hydroxy-2-quinolinecarboxylic acid",-0.144595954363685,0.0676693294017297,-0.277227839991076,-0.0119640687362953,0.0326141042644615,"sig"
"Glucuronic acid","Glucuronic acid",0.0203575721046333,0.0602091326803316,-0.0976523279488166,0.138367472158083,0.735277012678851,"not sig"
"Indoxyl sulfate","Indoxyl sulfate",-0.0263185212792598,0.0740853659963486,-0.171525838632103,0.118888796073584,0.722405393590631,"not sig"
"Pantothenic acid","Pantothenic acid",-0.0983074948194636,0.0625732908551793,-0.220951144895615,0.0243361552566878,0.116164627938129,"not sig"
"Cystathionine","Cystathionine",-0.051615628613235,0.104476744838299,-0.256390048496302,0.153158791269832,0.621278352267578,"not sig"
"3-Nitrotyrosine","3-Nitrotyrosine",-0.134702492124568,0.0622996837926411,-0.256809872358145,-0.0125951118909916,0.0306050938014046,"sig"
"Myristic acid","Myristic acid",0.66307786879751,0.0844858951156324,0.49748551437087,0.828670223224149,4.21884749357559e-15,"sig"
"Ribose 5-phosphate","Ribose 5-phosphate",0.0021303208691838,0.107734498900585,-0.209029296975962,0.21328993871433,0.984223815148107,"not sig"
"Biotin","Biotin",-0.16932611426885,0.0862869410180549,-0.338448518664238,-0.000203709873462854,0.0497204882648117,"sig"
