Metabolite,Estimate.RH,Std.err.RH,CI_lower.RH,CI_upper.RH,p_value.RH,sig.x,Estimate.RI,Std.err.RI,CI_lower.RI,CI_upper.RI,p_value.RI,sig.y,Estimate.IH,Std.err.IH,CI_lower.IH,CI_upper.IH,p_value.IH,sig
2-Aminoadipic 2-Oxoadipic Aciduria,-0.943842984,0.044862665,-1.031773807,-0.85591216,0,sig,-0.505062538,0.082295075,-0.666360885,-0.343764192,8.40E-10,sig,-0.352226315,0.068177556,-0.485854325,-0.218598305,2.39E-07,sig
2-Hydroxyglutric Aciduria ,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
2-Ketoglutarate Dehydrogenase Complex Deficiency,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
27-Hydroxylase Deficiency,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Hydroxyisobutyric Acid Dehydrogenase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Hydroxyisobutyric Aciduria,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Methylcrotonyl-CoA Carboxylase Deficiency Type I,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Methylglutaconic Aciduria Type I,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Methylglutaconic Aciduria Type III,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Methylglutaconic Aciduria Type IV,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
3-Phosphoglycerate Dehydrogenase Deficiency,-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,-0.311349891,0.031026678,-0.37216218,-0.250537601,0,sig,0.092642104,0.053248408,-0.011724776,0.197008984,0.081892414,not sig,-0.422083293,0.045141297,-0.510560234,-0.333606351,0,sig
5-Oxoprolinase Deficiency,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
5-Oxoprolinuria,-0.365690782,0.051897528,-0.467409936,-0.263971627,1.84E-12,sig,-0.031868007,0.082280276,-0.193137347,0.129401334,0.698526427,not sig,-0.376186852,0.069074788,-0.511573436,-0.240800268,5.15E-08,sig
