"","Metabolite","Estimate.IH","Std.err.IH","CI_lower.IH","CI_upper.IH","p_value.IH","sig"
"2-Aminoadipic 2-Oxoadipic Aciduria","2-Aminoadipic 2-Oxoadipic Aciduria",-0.352226315183516,0.0681775559963983,-0.485854324936457,-0.218598305430575,2.38762059900921e-07,"sig"
"2-Hydroxyglutric Aciduria ","2-Hydroxyglutric Aciduria ",-0.422083292889561,0.0451412966998783,-0.510560234421322,-0.333606351357799,0,"sig"
"2-Ketoglutarate Dehydrogenase Complex Deficiency","2-Ketoglutarate Dehydrogenase Complex Deficiency",-0.28410984059859,0.057742266946361,-0.397284683813458,-0.170934997383723,8.64073433248791e-07,"sig"
"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency","2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"27-Hydroxylase Deficiency","27-Hydroxylase Deficiency",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency","3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Hydroxyisobutyric Acid Dehydrogenase Deficiency","3-Hydroxyisobutyric Acid Dehydrogenase Deficiency",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Hydroxyisobutyric Aciduria","3-Hydroxyisobutyric Aciduria",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Methylcrotonyl-CoA Carboxylase Deficiency Type I","3-Methylcrotonyl-CoA Carboxylase Deficiency Type I",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Methylglutaconic Aciduria Type I","3-Methylglutaconic Aciduria Type I",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Methylglutaconic Aciduria Type III","3-Methylglutaconic Aciduria Type III",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Methylglutaconic Aciduria Type IV","3-Methylglutaconic Aciduria Type IV",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"3-Phosphoglycerate Dehydrogenase Deficiency","3-Phosphoglycerate Dehydrogenase Deficiency",-0.27492674914405,0.0356017466083081,-0.344706172496334,-0.205147325791766,1.14352971536391e-14,"sig"
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency","4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",-0.422083292889561,0.0451412966998783,-0.510560234421322,-0.333606351357799,0,"sig"
"5-Oxoprolinase Deficiency","5-Oxoprolinase Deficiency",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"5-Oxoprolinuria","5-Oxoprolinuria",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"Acetaminophen  Action Pathway","Acetaminophen  Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Acetaminophen Metabolism Pathway","Acetaminophen Metabolism Pathway",-0.302283434462442,0.086254689801401,-0.471342626473188,-0.133224242451696,0.000457388408252268,"sig"
"Acetylsalicylic Acid Action Pathway","Acetylsalicylic Acid Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Acute Intermittent Porphyria","Acute Intermittent Porphyria",-0.371828452235005,0.0690629335032718,-0.507191801901418,-0.236465102568593,7.28859312904007e-08,"sig"
"Adenine Phosphoribosyltransferase Deficiency ","Adenine Phosphoribosyltransferase Deficiency ",-0.307168184594696,0.0460720729259774,-0.397469447529612,-0.216866921659781,2.60865773427099e-11,"sig"
"Adenosine Deaminase Deficiency","Adenosine Deaminase Deficiency",-0.307168184594696,0.0460720729259774,-0.397469447529612,-0.216866921659781,2.60865773427099e-11,"sig"
"Adenylosuccinate Lyase Deficiency","Adenylosuccinate Lyase Deficiency",-0.307168184594696,0.0460720729259774,-0.397469447529612,-0.216866921659781,2.60865773427099e-11,"sig"
"AICA-Ribosiduria","AICA-Ribosiduria",-0.307168184594696,0.0460720729259774,-0.397469447529612,-0.216866921659781,2.60865773427099e-11,"sig"
"Alanine Metabolism","Alanine Metabolism",-0.369912843367883,0.0576761786945835,-0.482958153609267,-0.256867533126499,1.42108214085113e-10,"sig"
"Alkaptonuria","Alkaptonuria",-0.173990433807743,0.0437561159421272,-0.259752421054313,-0.0882284465611739,6.99757138453716e-05,"sig"
"Amikacin Action Pathway","Amikacin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
