"","Metabolite","Estimate.RI","Std.err.RI","CI_lower.RI","CI_upper.RI","p_value.RI","sig"
"2-Aminoadipic 2-Oxoadipic Aciduria","2-Aminoadipic 2-Oxoadipic Aciduria",-0.505062538351477,0.0822950746790402,-0.666360884722395,-0.343764191980558,8.39808778074769e-10,"sig"
"2-Hydroxyglutric Aciduria ","2-Hydroxyglutric Aciduria ",0.0926421043723869,0.0532484081015531,-0.0117247755066573,0.197008984251431,0.081892414106905,"not sig"
"2-Ketoglutarate Dehydrogenase Complex Deficiency","2-Ketoglutarate Dehydrogenase Complex Deficiency",-0.0099043990335936,0.0645210190967971,-0.136365596463316,0.116556798396129,0.877998825502541,"not sig"
"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency","2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"27-Hydroxylase Deficiency","27-Hydroxylase Deficiency",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency","3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Hydroxyisobutyric Acid Dehydrogenase Deficiency","3-Hydroxyisobutyric Acid Dehydrogenase Deficiency",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Hydroxyisobutyric Aciduria","3-Hydroxyisobutyric Aciduria",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Methylcrotonyl-CoA Carboxylase Deficiency Type I","3-Methylcrotonyl-CoA Carboxylase Deficiency Type I",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Methylglutaconic Aciduria Type I","3-Methylglutaconic Aciduria Type I",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Methylglutaconic Aciduria Type III","3-Methylglutaconic Aciduria Type III",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Methylglutaconic Aciduria Type IV","3-Methylglutaconic Aciduria Type IV",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"3-Phosphoglycerate Dehydrogenase Deficiency","3-Phosphoglycerate Dehydrogenase Deficiency",-0.153776829451682,0.0390012026240332,-0.230219186594787,-0.0773344723085772,8.05109446264662e-05,"sig"
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency","4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",0.0926421043723869,0.0532484081015531,-0.0117247755066573,0.197008984251431,0.081892414106905,"not sig"
"5-Oxoprolinase Deficiency","5-Oxoprolinase Deficiency",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"5-Oxoprolinuria","5-Oxoprolinuria",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"Acetaminophen  Action Pathway","Acetaminophen  Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Acetaminophen Metabolism Pathway","Acetaminophen Metabolism Pathway",-0.15164383922748,0.100508181849878,-0.348639875653241,0.0453521971982817,0.131357290784588,"not sig"
"Acetylsalicylic Acid Action Pathway","Acetylsalicylic Acid Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
