"Metabolite","Coef_RA_HC","PValue_RA_HC","CI_Lower_RA_HC","CI_Upper_RA_HC","Coef_RA_atRisk","PValue_RA_atRisk","CI_Lower_RA_atRisk","CI_Upper_RA_atRisk","Coef_HC_atRisk","PValue_HC_atRisk","CI_Lower_HC_atRisk","CI_Upper_HC_atRisk","RA_HC.color_ra","PRA_HC.color_ra","RA_PRA.color_ra"
"2-Aminoadipic 2-Oxoadipic Aciduria",-0.620343502867699,2.82758844017656e-41,-0.697855076764188,-0.54283192897121,-0.384908418208681,1.23047741421851e-11,-0.49176044131948,-0.278056395097881,0.232042808191472,8.6964418393775e-07,0.142705899784322,0.321379716598622,"negative","negative","negative"
"2-Hydroxyglutric Aciduria ",-0.374420687122854,8.02888392384289e-33,-0.429040812509613,-0.319800561736095,-0.0767070351514197,0.0495769072255869,-0.153271119420699,-0.000142950882140308,0.316029086275747,3.35861762249219e-15,0.244885475141182,0.387172697410312,"negative","negative","no"
"2-Ketoglutarate Dehydrogenase Complex Deficiency",-0.180772782799269,4.03200419098862e-06,-0.256532331476725,-0.105013234121814,-0.0784569223215231,0.112804422418315,-0.175554585287608,0.018640740644562,0.103985623474905,0.0489016635272654,0.000507182032320322,0.207464064917491,"negative","no","no"
"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"27-Hydroxylase Deficiency",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Hydroxyisobutyric Acid Dehydrogenase Deficiency",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Hydroxyisobutyric Aciduria",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Methylcrotonyl-CoA Carboxylase Deficiency Type I",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Methylglutaconic Aciduria Type I",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Methylglutaconic Aciduria Type III",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Methylglutaconic Aciduria Type IV",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"3-Methylthiofentanyl Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"3-Phosphoglycerate Dehydrogenase Deficiency",-0.268858752062275,1.55604190596487e-19,-0.32344167948569,-0.214275824638859,-0.085160054872912,0.0229699461040202,-0.158467937938359,-0.0118521718074652,0.174954878047603,2.10183473383534e-06,0.104900070575799,0.245009685519407,"negative","negative","no"
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",-0.374420687122854,8.02888392384289e-33,-0.429040812509613,-0.319800561736095,-0.0767070351514197,0.0495769072255869,-0.153271119420699,-0.000142950882140308,0.316029086275747,3.35861762249219e-15,0.244885475141182,0.387172697410312,"negative","negative","no"
"5-Oxoprolinase Deficiency",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"5-Oxoprolinuria",-0.35609441491958,5.80996653422029e-14,-0.444998242629957,-0.267190587209203,-0.204845032811655,0.00119796930017689,-0.327993667756627,-0.0816963978666841,0.183476018986936,0.00105868950567091,0.0749113421461793,0.292040695827692,"negative","negative","negative"
"Acetaminophen  Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Acetaminophen Metabolism Pathway",-0.399531611738818,1.32688792749574e-11,-0.511291827875957,-0.287771395601679,-0.310283797265985,3.94231502826206e-05,-0.456367130570406,-0.164200463961563,0.096745781321404,0.242881006515681,-0.0662953909353137,0.259786953578122,"negative","no","negative"
"Acetylsalicylic Acid Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Acute Intermittent Porphyria",-0.657579932032959,2.62706059132273e-42,-0.738345748720594,-0.576814115345324,-0.291476592541191,8.99235998223182e-07,-0.405506689731086,-0.177446495351295,0.355711490769724,1.36469168874233e-08,0.238684081443949,0.472738900095498,"negative","negative","negative"
"Adenine Phosphoribosyltransferase Deficiency ",-0.130841335635706,2.92634742973236e-05,-0.191515952695189,-0.0701667185762232,0.144435423375742,0.000520220830621071,0.0634991948410271,0.225371651910456,0.28689745724388,1.36208314014634e-10,0.204707987185374,0.369086927302386,"negative","negative","positive"
"Adenosine Deaminase Deficiency",-0.130841335635706,2.92634742973236e-05,-0.191515952695189,-0.0701667185762232,0.144435423375742,0.000520220830621071,0.0634991948410271,0.225371651910456,0.28689745724388,1.36208314014634e-10,0.204707987185374,0.369086927302386,"negative","negative","positive"
"Adenylosuccinate Lyase Deficiency",-0.130841335635706,2.92634742973236e-05,-0.191515952695189,-0.0701667185762232,0.144435423375742,0.000520220830621071,0.0634991948410271,0.225371651910456,0.28689745724388,1.36208314014634e-10,0.204707987185374,0.369086927302386,"negative","negative","positive"
"Adrenoleukodystrophy, X-Linked",0.0527853874591241,0.306877513481269,-0.0486990504535629,0.154269825371811,-0.154164239357152,0.026893690533995,-0.29055902831255,-0.0177694504017552,-0.194635838952617,0.00961792983757362,-0.341263923104173,-0.0480077548010623,"no","positive","no"
"AICA-Ribosiduria",-0.130841335635706,2.92634742973236e-05,-0.191515952695189,-0.0701667185762232,0.144435423375742,0.000520220830621071,0.0634991948410271,0.225371651910456,0.28689745724388,1.36208314014634e-10,0.204707987185374,0.369086927302386,"negative","negative","positive"
"Alanine Metabolism",-0.0980723140418954,0.00173968572410471,-0.159154337092555,-0.036990290991236,0.087287565902616,0.0439717484139801,0.00237478244419473,0.172200349361037,0.185378035881885,3.71066709752225e-06,0.109140744930435,0.261615326833334,"negative","negative","no"
"Alendronate Action Pathway",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Alfentanil Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Alkaptonuria",-0.285219146429297,7.36240681116153e-15,-0.353757427075244,-0.21668086578335,-0.130518382453477,0.00611281204880486,-0.223493782072385,-0.0375429828345685,0.169822622198391,3.26080998186047e-05,0.0914898335889484,0.248155410807834,"negative","negative","negative"
"Alvimopan Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Amikacin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Amino Sugar Metabolism",-0.109541315031701,0.00301671408032004,-0.181630811862178,-0.0374518182012248,-0.0732199142792971,0.105603158952855,-0.162004019164986,0.0155641906063914,0.0391412968831269,0.487434028051727,-0.0719561529470854,0.150238746713339,"negative","no","no"
