Metabolite
Ammonia Recycling
beta-Alanine Metabolism
Catecholamine Biosynthesis
Cysteine Metabolism
Disulfiram Action Pathway
Estrone Metabolism
Galactose Metabolism
Glutaminolysis and Cancer
Glutathione Metabolism
Glycolysis
Histidine Metabolism
Lactose Synthesis
Lysine Degradation
Mercaptopurine Metabolism Pathway
Methylhistidine Metabolism
Nicotinate and Nicotinamide Metabolism
Porphyrin Metabolism
Purine Metabolism
Succinate Signalling
Tyrosine Metabolism
"Valine, Leucine, and Isoleucine Degradation"
Warburg Effect
