metabolites,p.value,log10.fc
Acetoacetate,0.800567911,-0.012853074
4-Aminobutanoate,0.061876796,0.21333376
Malonic acid,0.4983602,0.04664583
3-Hydroxybutyric acid,0.642166549,0.025380502
Uracil,0.105983283,0.22532745
Maleic acid,0.713794113,0.039083219
N-Acetylglycine,0.03401747,0.254832403
Guanidoacetic acid,0.66572037,0.005922549
2-Hydroxyisovaleric acid,0.11720936,-0.090603285
Succinic acid,0.630519257,0.171443523
Methylmalonic acid,0.409711247,0.117514999
Benzoic acid,0.187524239,0.092124453
Methyl-4-methyl-2-oxopentanoate,0.324250012,0.155378205
2-Hydroxyisocaproate,0.055169065,-0.066170644
Glutarate,0.645500303,-0.065342564
Malate,0.967505522,-0.09537753
Adenine,0.800567911,0.018193723
Hypoxanthine,0.229217197,0.38928076
Adipic acid,0.713794113,-0.007483447
Mevalonic acid,0.980499919,0.027578642
Xanthine,0.775474954,-0.038221155
Dopamine,0.874411609,-0.054105013
Orotic acid,0.941545563,0.092513729
Aminoadipic acid,0.061876796,-0.15597768
Phenylpyruvate,0.607495868,-0.044942073
Phosphoenolpyruvic acid,0.488040199,-0.054517047
Homogentisic acid,0.838582308,0.082283963
Uric acid,1,-0.042396226
Dihydroxyacetone phosphate,0.787994374,0.074440411
Glyceraldehyde 3-phosphate,0.66572037,0.137093563
Shikimic acid,0.519337734,0.241445391
Citrulline,0.322932943,0.345214587
Hippuric acid,0.980499919,0.001308452
Myo-Inositol,0.307108402,0.124396863
Lactose,0.242238317,0.114073228
4-Hydroxyphenylpyruvic acid,0.129331816,0.253593029
4-Pyridoxic acid,0.70166146,0.069159227
2-Phosphoglyceric acid,0.529992079,0.102965248
Azelaic acid,0.889835357,0.032380747
4-Hydroxy-2-quinolinecarboxylic acid,0.44791899,0.068080288
Glucuronic acid,0.141452666,0.09755641
Indoxyl sulfate,0.331037843,0.120022959
Pantothenic acid,0.800567911,0.043961114
Cystathionine,0.364737283,0.058073715
3-Nitrotyrosine,0.26271436,0.101652453
Myristic acid,0.307108402,0.113180821
