metabolites,p.value,log10.fc,N_F_nonNA,N_M_nonNA,detected_F,detected_M,NA_test_pvalue,NA_test_used
Acetoacetate,0.58663815,-0.153264097,174,35,100.00%,100.00%,1,Fisher
4-Aminobutanoate,0.081610497,-0.323198,174,35,100.00%,100.00%,1,Fisher
Malonic acid,0.215324844,-0.15534686,174,35,100.00%,100.00%,1,Fisher
3-Hydroxybutyric acid,0.198791078,-0.165784419,174,35,100.00%,100.00%,1,Fisher
Uracil,0.843377577,-0.055560329,174,35,100.00%,100.00%,1,Fisher
Maleic acid,0.582428728,-0.070657903,174,35,100.00%,100.00%,1,Fisher
N-Acetylglycine,0.495518952,-0.017811708,174,35,100.00%,100.00%,1,Fisher
Guanidoacetic acid,0.002364173,-0.467923172,174,35,100.00%,100.00%,1,Fisher
2-Hydroxyisovaleric acid,0.000578539,-0.433815766,174,35,100.00%,100.00%,1,Fisher
Succinic acid,0.8867342,-0.086677973,174,35,100.00%,100.00%,1,Fisher
Methylmalonic acid,0.285738095,-0.177749204,174,35,100.00%,100.00%,1,Fisher
Benzoic acid,0.412558067,0.024630605,174,35,100.00%,100.00%,1,Fisher
Methyl-4-methyl-2-oxopentanoate,0.945051872,-0.083277333,171,35,98.28%,100.00%,1,Fisher
2-Hydroxyisocaproate,0.000295577,-0.447113936,174,35,100.00%,100.00%,1,Fisher
Glutarate,0.886733794,0.038528233,174,35,100.00%,100.00%,1,Fisher
Malate,0.223370874,-0.257939264,174,35,100.00%,100.00%,1,Fisher
Adenine,0.714327877,-0.057291683,174,35,100.00%,100.00%,1,Fisher
Hypoxanthine,0.30843712,-0.165045751,174,35,100.00%,100.00%,1,Fisher
Adipic acid,0.898843907,0.077488934,174,35,100.00%,100.00%,1,Fisher
Mevalonic acid,0.53103947,-0.118724,174,35,100.00%,100.00%,1,Fisher
Xanthine,0.795759776,-0.062579486,174,35,100.00%,100.00%,1,Fisher
Dopamine,0.354539758,0.18065606,101,17,58.05%,48.57%,0.398276061,Chi-square
Orotic acid,0.954809024,0.159251833,174,35,100.00%,100.00%,1,Fisher
