"","metabolic","p.value","log10.fc"
"1","Acetoacetate",0.586638149556891,-0.153264097387849
"2","3-Aminobutanoic acid",0.0816104974206458,-0.323197999646798
"3","Malonic acid",0.215324844400809,-0.155346859803284
"4","(R)-3-Hydroxybutyric acid",0.198791077578226,-0.165784419466667
"5","Uracil",0.843377577321489,-0.0555603285436782
"6","Maleic acid",0.58242872846173,-0.0706579031510673
"7","Acetylglycine",0.495518951864368,-0.0178117076165846
"8","Guanidoacetic acid",0.00236417301810977,-0.467923171863054
"9","3-Hydroxyisovaleric acid",0.000578538593698016,-0.433815765602135
"10","Succinic acid",0.886734200197642,-0.0866779727068966
"11","Methylmalonic acid",0.285738095121131,-0.177749204142693
"12","Benzoic acid",0.41255806697843,0.024630605163711
"13","Methyl (R)-4-methyl-2-oxopentanoate",0.945051872347128,-0.0832773330049261
"14","Hydroxyisocaproic acid",0.000295577307211436,-0.447113936119869
"15","Glutarate",0.886733793522985,0.0385282334154351
"16","sinapoyl-(S)-malate",0.223370873569594,-0.257939263789327
"17","Adenine",0.714327877247993,-0.0572916826660099
"18","Hypoxanthine",0.308437119568121,-0.165045751107553
"19","Adipic acid",0.898843906635632,0.0774889343566502
"20","Mevalonic acid",0.531039469644915,-0.118724000413301
"21","Xanthine",0.795759775775487,-0.0625794860436781
"22","Dopamine",0.354539757931659,0.180656059513957
"23","Orotic acid",0.954809023742103,0.159251832705747
"24","Aminoadipic acid",0.0357456480819856,-0.301099099994745
"25","Enol-phenylpyruvate",0.539104763871735,-0.106926690864039
"26","Phosphoenolpyruvic acid",0.993889902298944,-0.0880905955775041
"27","Homogentisic acid",0.135358779703243,-0.303340632711987
"28","Uric acid",0.0631948834242979,-0.15651460532381
"29","Dihydroxyacetone phosphate",0.913406459667492,-0.0212782853765189
"30","D-Glyceraldehyde 3-phosphate",0.22220845292346,-0.226144015147783
"31","Shikimic acid",0.428458823780978,0.0811014467597701
"32","Citrulline",0.309894356921402,-0.265290460547783
"33","Hippuric acid",0.867414711843197,-0.0848064574029557
"34","myo-Inositol",0.836193734822461,-0.0335572184510673
"35","lactose",0.426674661460271,-0.206169782470279
"36","4-Hydroxyphenylpyruvic acid",0.723490919626389,-0.0862483350988506
"37","4-Pyridoxic acid",0.262887749694921,-0.145981265371757
"38","2-Phosphoglyceric acid",0.689344479251935,-0.0871072021234811
"39","Azelaic acid",0.879480865202857,-0.0691086088596059
"40","4,6-Dihydroxy-2-quinolinecarboxylic acid",0.485882183792652,-0.0989583127157636
"41","D-Glucuronic acid",0.836193098013901,-0.118449556650246
"42","Indoxyl sulfate",0.491652042451728,-0.158408922770936
"43","Pantothenic acid",0.226884218321469,-0.18106853202775
"44","L-Cystathionine",0.898843906635632,0.0122796402689655
