,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta1,meta1,1.567257327,0.410363443,176.4389282,176.0537076,0.007021476,0.00713824,0.327738499,Acetoacetate,0,1,1
meta2,meta2,1.346332912,0.73079401,175.7005895,175.2984626,-0.003031688,0.007111064,0.670809106,4-Aminobutanoate,1,1,1
meta3,meta3,1.000429497,0.271712373,161.8946463,161.8937898,0.007349026,0.006645577,0.271525704,Malonic acid,1,1,1
meta4,meta4,1.071489929,0.356710714,168.4207434,168.2917651,0.006847007,0.006863823,0.320979574,3-Hydroxybutyric acid,1,1,1
meta5,meta5,1.00026738,0.591204878,146.1384267,146.1377741,0.003309215,0.006137243,0.590982861,Uracil,1,1,1
meta6,meta6,1.000131804,0.9092092,217.7624307,217.7620227,0.001012738,0.008811999,0.908740435,Maleic acid,1,1,1
meta7,meta7,1.000108704,0.62712137,182.860234,182.8598745,0.003601393,0.00738788,0.627023016,N-Acetylglycine,1,1,1
meta8,meta8,1.000010857,0.160899861,210.4146755,210.4146371,0.011996614,0.008490996,0.160896718,Guanidoacetic acid,1,1,1
meta9,meta9,1.000056104,0.255269703,134.7605313,134.7603179,0.006631646,0.005794527,0.255246163,2-Hydroxyisovaleric acid,1,1,1
meta10,meta10,1.000063447,0.335040602,127.2152057,127.2149854,0.005404348,0.005577865,0.335008837,Succinic acid,1,1,1
meta11,meta11,1.000046577,0.061379346,138.6978539,138.6976858,0.011187905,0.005910908,0.061371785,Methylmalonic acid,1,1,1
meta12,meta12,1.000925771,0.514856228,290.5484266,290.5465716,-0.008332404,0.012726839,0.514203214,Benzoic acid,1,1,1
meta13,meta13,1.000092456,0.469898834,293.8372417,293.8368915,-0.009389169,0.012940098,0.469838857,Methyl-4-methyl-2-oxopentanoate,1,1,1
meta14,meta14,1.000007959,0.229230901,128.2780757,128.2780453,0.006785425,0.005607893,0.229227917,2-Hydroxyisocaproate,1,1,1
meta15,meta15,1.000264757,0.300167459,200.8373804,200.8367121,0.008429068,0.008090034,0.300044406,Glutarate,1,1,1
meta16,meta16,1.000079669,0.367529764,119.5492582,119.5489575,0.004858505,0.005366032,0.367487194,Malate,1,1,1
meta17,meta17,1.0002086,0.201530987,202.9312143,202.9306146,0.010515536,0.008176042,0.201455714,Adenine,1,1,1
meta18,meta18,3.030340107,0.058021272,301.1946443,306.7057935,0.007287189,0.013809065,0.598905344,Hypoxanthine,0,0,0
meta19,meta19,1.000621822,0.062763329,223.648266,223.6468947,0.017095984,0.009077836,0.062660236,Adipic acid,1,1,1
meta20,meta20,1.000158743,0.345231354,178.7896112,178.7891595,0.006865978,0.007237542,0.345150304,Mevalonic acid,1,1,1
meta21,meta21,1.887861633,0.420173216,221.5684786,221.6322346,0.006195464,0.008985937,0.492178534,Xanthine,0,0,0
meta22,meta22,1.000124511,0.130967183,310.888094,310.8876518,-0.021484597,0.014103821,0.130932944,Dopamine,1,1,1
meta23,meta23,1.000099253,0.667947258,289.5008586,289.5005205,0.005448983,0.012659779,0.667847232,Orotic acid,1,1,1
meta24,meta24,1.000106978,0.540722957,226.6944524,226.6941156,-0.005660367,0.009218625,0.540643312,Aminoadipic acid,1,1,1
meta25,meta25,1.423790315,0.742623632,167.7840504,167.354814,-0.001904635,0.006831419,0.780987819,Phenylpyruvate,1,1,1
meta26,meta26,1.206224862,0.137395205,221.1941551,220.8793152,0.015186437,0.008951832,0.093005586,Phosphoenolpyruvic acid,1,1,1
meta27,meta27,1.000025946,0.794673318,173.5367635,173.5366803,0.001839674,0.007048071,0.79463195,Homogentisic acid,1,1,1
meta28,meta28,1.000129704,0.127786773,217.7847148,217.7842716,0.013538268,0.008812989,0.127751745,Uric acid,1,1,1
meta29,meta29,1.000598433,0.222561431,237.2470321,237.2455891,0.011942361,0.009723213,0.222331768,Dihydroxyacetone phosphate,1,1,1
meta30,meta30,1.000081479,0.054181548,202.0725511,202.0722446,0.015867178,0.008140674,0.054169313,Glyceraldehyde 3-phosphate,1,1,1
meta31,meta31,1.000065632,0.831214101,203.1615625,203.1613067,0.001750754,0.008185574,0.831087303,Shikimic acid,1,1,1
meta32,meta32,1.000020348,0.958869373,224.1140505,224.113985,-0.000472313,0.009099277,0.958709822,Citrulline,1,1,1
meta33,meta33,1.000092718,0.622557307,192.4037181,192.4033684,-0.003829266,0.007752693,0.622474245,Hippuric acid,1,1,1
meta34,meta34,1.000286741,0.730473191,230.2685408,230.2678533,0.003247367,0.009386524,0.730121607,Myo-Inositol,1,1,1
meta35,meta35,1.575431625,0.33483728,167.0292551,166.6885841,0.007648011,0.006808472,0.264079164,Lactose,0,1,1
meta36,meta36,1.000098639,0.923702428,187.0244234,187.0240447,-0.000728438,0.007544901,0.923285324,4-Hydroxyphenylpyruvic acid,1,1,1
meta37,meta37,1.501664782,0.110933663,162.845997,162.3866014,0.013010887,0.006662138,0.053706293,4-Pyridoxic acid,0,1,1
meta38,meta38,1.821610877,0.414314108,196.8586555,196.8221597,-0.005887397,0.007927656,0.459494155,2-Phosphoglyceric acid,0,1,1
meta39,meta39,1.245400057,0.342830159,147.8627818,147.5146094,0.007265829,0.006180069,0.242597393,Azelaic acid,1,1,1
meta40,meta40,1.000021251,0.096220112,129.1053478,129.1052756,0.009459548,0.005631371,0.096215407,4-Hydroxy-2-quinolinecarboxylic acid,1,1,1
