,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta1,meta1,1.000047953,0.063615841,68.45317197,68.45302325,0.011029175,0.005823703,0.063607898,Acetoacetate,1,1,1
meta2,meta2,1.000091819,0.29043196,86.62064383,86.62044998,0.007313228,0.006849293,0.290390449,4-Aminobutanoate,1,1,1
meta3,meta3,1.000041081,0.714920725,93.18847957,93.18833682,0.002667275,0.007262959,0.714872738,Malonic acid,1,1,1
meta4,meta4,1.000039822,0.762342682,96.71152821,96.7113885,0.002278584,0.007495053,0.762287361,3-Hydroxybutyric acid,1,1,1
meta5,meta5,1.000055506,0.512221526,86.8891305,86.88893497,0.004530056,0.006865732,0.512182334,Uracil,1,1,1
meta6,meta6,1.000053412,0.953933114,180.624194,180.623994,-0.00092767,0.01585465,0.953557672,Maleic acid,1,1,1
meta7,meta7,3.412611698,0.356797007,91.38353817,92.31454209,0.006132457,0.007206516,0.39854931,N-Acetylglycine,,0,0
meta8,meta8,1.000054958,0.155472383,84.36964151,84.36943049,0.00967113,0.006713008,0.155455501,Guanidoacetic acid,1,1,1
meta9,meta9,1.000055208,0.052558276,67.2713534,67.27116778,0.011422827,0.005762573,0.052550284,2-Hydroxyisovaleric acid,1,1,1
meta10,meta10,1.00005803,0.21439625,102.1314743,102.1312494,0.009883788,0.007866669,0.2143744,Succinic acid,1,1,1
meta11,meta11,1.000054919,0.023129616,83.00850323,83.00830049,0.015504996,0.006631919,0.023125337,Methylmalonic acid,1,1,1
meta12,meta12,4.767410662,0.06097509,119.8320325,123.7099946,0.015635228,0.009538175,0.106979934,Benzoic acid,,0,0
meta13,meta13,1.000049769,0.826293753,127.2951145,127.2949195,0.002173017,0.009848414,0.826199898,Methyl-4-methyl-2-oxopentanoate,1,1,1
meta14,meta14,1.00001985,0.087974091,59.838417,59.83834251,0.009370466,0.005392556,0.087970064,2-Hydroxyisocaproate,1,1,1
meta15,meta15,1.000053355,0.211979053,104.0407372,104.0405376,0.010107696,0.008001924,0.211959156,Glutarate,1,1,1
meta16,meta16,1.494173556,0.048855581,108.7744603,108.3422343,0.019762517,0.00831524,0.021044415,Malate,1,1,1
meta17,meta17,1.000050446,0.153758118,85.51138589,85.51121138,0.009811664,0.006781793,0.153742814,Adenine,1,1,1
meta18,meta18,1.000430363,0.880668806,196.5778574,196.5768162,-0.002784832,0.018281667,0.879495042,Hypoxanthine,1,1,1
meta19,meta19,1.67495341,0.209924772,141.2163146,140.8361157,0.017486486,0.011114093,0.121476492,Adipic acid,,1,1
meta20,meta20,1.000059186,0.13128039,93.30699948,93.30682782,0.011141469,0.007270647,0.131264307,Mevalonic acid,1,1,1
meta21,meta21,1.399832166,0.046112505,129.0968537,128.6783342,0.023781467,0.009970815,0.020613517,Xanthine,1,1,1
meta22,meta22,1.000046398,0.293105083,195.5536532,195.5534963,-0.019233655,0.018115392,0.293083758,Dopamine,1,1,1
meta23,meta23,1.000088492,0.901480942,143.3969445,143.3966753,-0.001418471,0.011371112,0.901189942,Orotic acid,1,1,1
meta24,meta24,1.000053248,0.165657337,114.175216,114.1750232,0.012310654,0.00875976,0.165640282,Aminoadipic acid,1,1,1
