,Metabolite,Estimate,Std.err,CI_lower,CI_upper,p_value,sig
Acetoacetate,Acetoacetate,-0.483877049,0.067717163,-0.616602688,-0.35115141,8.96E-13,sig
4-Aminobutanoate,4-Aminobutanoate,0.172196395,0.066535759,0.041786307,0.302606483,0.009652719,sig
Malonic acid,Malonic acid,0.017549716,0.062739136,-0.10541899,0.140518423,0.779688354,not sig
3-Hydroxybutyric acid,3-Hydroxybutyric acid,-0.020572401,0.065662417,-0.149270738,0.108125936,0.754048519,not sig
Uracil,Uracil,-0.107520466,0.058354488,-0.221895263,0.006854332,0.065396234,not sig
Maleic acid,Maleic acid,-1.162418452,0.100286318,-1.358979635,-0.965857269,0,sig
N-Acetylglycine,N-Acetylglycine,0.293189236,0.065482993,0.16484257,0.421535902,7.56E-06,sig
Guanidoacetic acid,Guanidoacetic acid,0.012214842,0.075568718,-0.135899846,0.16032953,0.871590251,not sig
2-Hydroxyisovaleric acid,2-Hydroxyisovaleric acid,0.397314428,0.053418245,0.292614669,0.502014188,1.02E-13,sig
Succinic acid,Succinic acid,0.313395346,0.051763903,0.211938096,0.414852595,1.41E-09,sig
Methylmalonic acid,Methylmalonic acid,0.283237733,0.054132267,0.177138489,0.389336977,1.67E-07,sig
Benzoic acid,Benzoic acid,1.351626119,0.106576959,1.142735279,1.560516958,0,sig
Methyl-4-methyl-2-oxopentanoate,Methyl-4-methyl-2-oxopentanoate,0.365031369,0.111351764,0.146781912,0.583280826,0.001044779,sig
2-Hydroxyisocaproate,2-Hydroxyisocaproate,0.083395179,0.052504107,-0.019512871,0.186303229,0.112206011,not sig
Glutarate,Glutarate,0.211249428,0.076862554,0.060598822,0.361900034,0.005988599,sig
Malate,Malate,-0.34367532,0.057788222,-0.456940235,-0.230410405,2.73E-09,sig
Adenine,Adenine,1.371657626,0.070825305,1.232840028,1.510475225,0,sig
Hypoxanthine,Hypoxanthine,-0.95821706,0.144507791,-1.241452331,-0.67498179,3.34E-11,sig
Adipic acid,Adipic acid,0.506549952,0.087345299,0.335353166,0.677746737,6.66E-09,sig
