,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta1,meta1,1.000359039,0.16378151,354.4177654,354.4169195,0.005261301,0.003763003,0.163672107,Acetoacetate,1,1,1
meta2,meta2,2.659184323,0.121107847,293.9536975,296.6611831,0.003247001,0.003250495,0.319082206,4-Aminobutanoate,0,0,0
meta3,meta3,1.301143276,0.810261274,306.9919371,306.5915832,0.001047385,0.003334709,0.75379496,Malonic acid,1,1,1
meta4,meta4,1.143528978,0.945454808,332.4806908,332.2420657,-0.000312046,0.003560209,0.93024712,3-Hydroxybutyric acid,1,1,1
meta5,meta5,1.965774661,0.39580698,274.1959181,274.2577064,0.002548736,0.003070687,0.407552236,Uracil,0,0,0
meta6,meta6,2.003193284,0.074394872,557.9502012,558.6512414,0.012602623,0.006339842,0.048243832,Maleic acid,0,0,0
meta7,meta7,2.283661171,0.140534464,271.010624,273.0074489,0.003086001,0.003060908,0.314621741,N-Acetylglycine,0,0,0
meta8,meta8,2.700145645,0.010138552,327.3601739,332.6289073,0.007344741,0.003563727,0.040646646,Guanidoacetic acid,0,0,0
meta9,meta9,2.80460516,0.033466057,226.18732,229.3174147,0.004633417,0.00273808,0.092218939,2-Hydroxyisovaleric acid,0,0,0
meta10,meta10,2.587995257,0.003261071,228.6424922,233.0099458,0.007629138,0.002763997,0.006333733,Succinic acid,0,0,0
meta11,meta11,2.717460892,0.001019201,222.4049115,224.8980895,0.009890668,0.002701949,0.000325325,Methylmalonic acid,0,0,0
meta12,meta12,2.19953167,0.097044654,290.2008667,290.4136747,0.00629196,0.003188573,0.049910189,Benzoic acid,0,0,0
meta13,meta13,1.000365799,0.146593019,375.2841993,375.2832341,0.005783899,0.003967114,0.146483916,Methyl-4-methyl-2-oxopentanoate,1,1,1
meta14,meta14,2.784071873,0.065834635,214.1256556,217.1126594,0.003773606,0.002654147,0.156704851,2-Hydroxyisocaproate,0,0,0
meta15,meta15,1.298417336,0.420044727,380.8610505,380.4418094,0.004311215,0.004026021,0.28557976,Glutarate,1,1,1
meta16,meta16,1.000006469,0.021006747,329.4238172,329.423659,0.008225017,0.003534708,0.021006463,Malate,1,1,1
meta17,meta17,2.363243869,0.01942323,240.3875017,241.8701646,0.006956906,0.00282718,0.014744657,Adenine,0,0,0
meta18,meta18,1.527981056,0.609202062,698.7668094,698.3562785,-0.004255881,0.009059244,0.639040287,Hypoxanthine,0,1,1
meta19,meta19,1.000652303,0.516618557,425.973718,425.9725481,0.002941396,0.004521884,0.516155747,Adipic acid,1,1,1
meta20,meta20,1.000429375,0.012525523,502.8767058,502.8760981,0.013871722,0.005501998,0.012504073,Mevalonic acid,1,1,1
meta21,meta21,1.000004683,0.009689037,414.6791732,414.6794003,0.011479049,0.004393471,0.009688935,Xanthine,1,0,1
meta22,meta22,1.000327988,0.043384971,657.5308855,657.5498434,-0.016605984,0.008161518,0.043252641,Dopamine,1,0,1
meta23,meta23,1.000292401,0.879814346,562.8400522,562.8421851,-0.000976572,0.006411426,0.879095684,Orotic acid,1,0,1
meta24,meta24,1.000630541,0.208546551,325.5943544,325.5928087,0.004409446,0.003492738,0.208317529,Aminoadipic acid,1,1,1
meta25,meta25,1.000095708,0.460994365,416.5093314,416.5098317,0.003261106,0.004414032,0.460923308,Phenylpyruvate,1,0,1
meta26,meta26,1.670204745,0.493270071,402.9129018,402.7102973,0.003054229,0.004250219,0.473261357,Phosphoenolpyruvic acid,0,1,1
meta27,meta27,1.944180613,0.111489491,387.3117728,387.5662918,0.007240325,0.00409986,0.078978007,Homogentisic acid,0,0,0
meta28,meta28,3.273313935,0.016196916,387.834331,394.5276106,0.006822487,0.004173321,0.103723855,Uric acid,0,0,0
meta29,meta29,1.267825861,0.769175727,421.9429435,421.5683247,-0.001969585,0.004471364,0.66007619,Dihydroxyacetone phosphate,1,1,1
meta30,meta30,2.262570318,0.157034005,398.9502991,399.8576057,0.006101094,0.004230445,0.15087039,Glyceraldehyde 3-phosphate,0,0,0
meta31,meta31,1.000064743,0.03593195,336.2656069,336.2656422,0.007598751,0.003596938,0.035924164,Shikimic acid,1,0,1
meta32,meta32,1.199241625,0.386895998,469.6098781,469.2969422,0.005355721,0.005050296,0.290253053,Citrulline,1,1,1
meta33,meta33,1.711511926,0.002021054,396.6410015,396.3682815,0.014602241,0.004192962,0.000614306,Hippuric acid,0,1,1
meta34,meta34,4.435327325,6.23E-05,452.1186944,464.2238153,0.017406907,0.004985375,0.000595101,Myo-Inositol,0,0,0
meta35,meta35,2.400254088,0.065424776,293.6347207,296.2931051,0.004946949,0.003248242,0.12940495,Lactose,0,0,0
meta36,meta36,1.000057882,0.492650638,337.4381644,337.4380015,0.002480198,0.003607716,0.492611671,4-Hydroxyphenylpyruvic acid,1,1,1
meta37,meta37,2.145682586,0.004126865,226.6997017,227.6956171,0.008768506,0.002723225,0.00150543,4-Pyridoxic acid,0,0,0
meta38,meta38,2.46675682,0.385871983,277.6969687,277.9646097,-0.001549447,0.003099863,0.61775449,2-Phosphoglyceric acid,0,0,0
meta39,meta39,2.530220801,0.015317708,269.4175969,271.4152081,0.007611426,0.003048499,0.01336981,Azelaic acid,0,0,0
meta40,meta40,1.674201529,0.132804072,261.2928526,260.9713736,0.005285461,0.002968352,0.076550121,4-Hydroxy-2-quinolinecarboxylic acid,0,1,1
meta41,meta41,2.26125059,0.045569654,209.6026988,210.9397583,0.005412743,0.002612678,0.039621008,Glucuronic acid,0,0,0
meta42,meta42,2.391659816,0.001581039,285.375099,286.7875521,0.010995558,0.003158635,0.000619311,Indoxyl sulfate,0,0,0
meta43,meta43,1.168810128,0.000773323,199.5836018,199.3122184,0.009352894,0.002536319,0.000294225,Pantothenic acid,1,1,1
meta44,meta44,1.442145915,0.707394495,455.8057022,455.3950035,0.001621534,0.004868452,0.739444152,Cystathionine,1,1,1
meta45,meta45,2.666847069,0.010180144,234.070242,238.3147809,0.006332392,0.002801653,0.024923417,3-Nitrotyrosine,0,0,0
meta46,meta46,2.331932593,0.215972985,350.426172,351.7107245,0.003830159,0.003741495,0.307259596,Myristic acid,0,0,0
meta47,meta47,1.839213262,0.097713567,339.3740007,339.238794,0.007077753,0.003624328,0.052283889,Ribose 5-phosphate,0,1,1
meta48,meta48,2.259135858,0.094147631,253.3125225,253.3341274,0.005893201,0.002911082,0.044306977,Biotin,0,0,0
meta49,meta49,1.000130536,0.580177667,372.4086737,372.4081762,0.002181896,0.003936863,0.580072558,Fructose 6-phosphate,1,1,1
meta50,meta50,1.718578018,0.320854113,349.9427622,349.5659463,0.00456422,0.003714305,0.220643462,Glucose 6-phosphate,0,1,1
meta51,meta51,3.911709635,0.000737409,237.2222596,249.0205826,0.006746413,0.002879223,0.02014051,Heptadecanoic acid,0,0,0
meta52,meta52,2.65085184,0.036937838,229.9658945,234.9335809,0.003185586,0.002777591,0.252847802,Linolenate,0,0,0
meta53,meta53,3.286024866,0.001337843,242.9685323,252.5534576,0.006973027,0.002905291,0.017340328,Alpha-Linolenic acid,0,0,0
meta54,meta54,1.019507525,0.383839883,484.8480484,484.8126526,0.00468926,0.005254194,0.37324741,Xanthosine,1,1,1
meta55,meta55,1.000051949,0.018705017,419.2264087,419.22672,0.010540518,0.004444727,0.018702046,Argininosuccinic acid,1,0,1
meta56,meta56,2.300244728,0.127160833,321.5803449,323.0452252,0.004668153,0.003477657,0.181066841,13-HODE,0,0,0
meta57,meta57,2.339281627,0.017621574,206.45916,207.2771072,0.006838639,0.00258838,0.008916436,Arachidonic acid,0,0,0
meta58,meta58,2.846270146,0.159174977,486.8146075,489.5596465,0.00263274,0.005318218,0.621133682,dCMP,0,0,0
meta59,meta59,1.000122586,0.264891676,622.0070105,622.0069501,-0.008337871,0.00745598,0.264837512,Glutathione,1,1,1
meta60,meta60,1.000251503,0.709329246,243.7237442,243.7230746,0.001061502,0.002840577,0.709043413,N-Acetylneuraminic acid,1,1,1
meta61,meta61,2.389849632,0.006662785,239.9818398,241.5351659,0.00817972,0.002824766,0.004219242,12-HETE,0,0,0
meta62,meta62,2.633891819,0.027493241,446.5114638,453.1506467,0.004375878,0.004846521,0.367709481,5-Thymidylic acid,0,0,0
meta63,meta63,1.000120939,0.059586671,500.1941906,500.1937268,0.010326991,0.005448825,0.059566889,Cytidine monophosphate,1,1,1
meta64,meta64,1.000229569,0.030750357,290.4347907,290.434,0.006949774,0.003192758,0.030724238,"Glucose 1,6-bisphosphate",1,1,1
meta65,meta65,2.522739153,0.027272422,283.9422552,286.4446114,0.006681864,0.003167651,0.036198705,"Fructose 1,6-bisphosphate",0,0,0
meta66,meta66,1.000025059,0.263997113,354.9639039,354.9643488,0.004226472,0.003772678,0.263984774,Alpha-Lactose,1,0,1
meta67,meta67,1.000097309,0.338205697,368.1975432,368.1971914,0.003746897,0.003902209,0.338156475,Sucrose,1,1,1
meta68,meta68,1.000272799,0.042504752,519.8469994,519.8460974,0.011713541,0.005734936,0.042471039,"3',5'-Cyclic GMP",1,1,1
meta69,meta69,2.617435198,0.01017725,362.7947066,366.295056,0.009009426,0.003883317,0.021384723,Gibberellin A3,0,0,0
meta70,meta70,1.000326908,0.47805109,501.9303932,501.9294276,-0.003897289,0.005480012,0.477833717,Adenosine monophosphate,1,1,1
