"Table S3B:GAM regression between age and metabolites in 209 RA baseline data, 56 IAR and 99 health.",,,,,,,,,,,,,,,,,,,,,
metabolites,RA,,,,,,,IAR,,,,,,,HC,,,,,,
,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear
Acetoacetate,1.000359039,354.4177654,354.4169195,yes,0.16378151,0.005261301,0.163672107,1.000047953,68.45317197,68.45302325,yes,0.063615841,0.011029175,0.063607898,1.567257327,176.4389282,176.0537076,yes,0.410363443,0.007021476,0.327738499
4-Aminobutanoate,2.659184323,293.9536975,296.6611831,no,0.121107847,0.003247001,0.319082206,1.000091819,86.62064383,86.62044998,yes,0.29043196,0.007313228,0.290390449,1.346332912,175.7005895,175.2984626,yes,0.73079401,-0.003031688,0.670809106
Malonic acid,1.301143276,306.9919371,306.5915832,yes,0.810261274,0.001047385,0.75379496,1.000041081,93.18847957,93.18833682,yes,0.714920725,0.002667275,0.714872738,1.000429497,161.8946463,161.8937898,yes,0.271712373,0.007349026,0.271525704
3-Hydroxybutyric acid,1.143528978,332.4806908,332.2420657,yes,0.945454808,-0.000312046,0.93024712,1.000039822,96.71152821,96.7113885,yes,0.762342682,0.002278584,0.762287361,1.071489929,168.4207434,168.2917651,yes,0.356710714,0.006847007,0.320979574
Uracil,1.965774661,274.1959181,274.2577064,no,0.39580698,0.002548736,0.407552236,1.000055506,86.8891305,86.88893497,yes,0.512221526,0.004530056,0.512182334,1.00026738,146.1384267,146.1377741,yes,0.591204878,0.003309215,0.590982861
Maleic acid,2.003193284,557.9502012,558.6512414,no,0.074394872,0.012602623,0.048243832,1.000053412,180.624194,180.623994,yes,0.953933114,-0.00092767,0.953557672,1.000131804,217.7624307,217.7620227,yes,0.9092092,0.001012738,0.908740435
N-Acetylglycine,2.283661171,271.010624,273.0074489,no,0.140534464,0.003086001,0.314621741,3.412611698,91.38353817,92.31454209,no,0.356797007,0.006132457,0.39854931,1.000108704,182.860234,182.8598745,yes,0.62712137,0.003601393,0.627023016
Guanidoacetic acid,2.700145645,327.3601739,332.6289073,no,0.010138552,0.007344741,0.040646646,1.000054958,84.36964151,84.36943049,yes,0.155472383,0.00967113,0.155455501,1.000010857,210.4146755,210.4146371,yes,0.160899861,0.011996614,0.160896718
2-Hydroxyisovaleric acid,2.80460516,226.18732,229.3174147,no,0.033466057,0.004633417,0.092218939,1.000055208,67.2713534,67.27116778,yes,0.052558276,0.011422827,0.052550284,1.000056104,134.7605313,134.7603179,yes,0.255269703,0.006631646,0.255246163
Succinic acid,2.587995257,228.6424922,233.0099458,no,0.003261071,0.007629138,0.006333733,1.00005803,102.1314743,102.1312494,yes,0.21439625,0.009883788,0.2143744,1.000063447,127.2152057,127.2149854,yes,0.335040602,0.005404348,0.335008837
