,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name
meta2,meta2,2.659184323,0.121107847,293.9536975,296.6611831,0.003247001,0.003250495,0.319082206,4-Aminobutanoate
meta5,meta5,1.965774661,0.39580698,274.1959181,274.2577064,0.002548736,0.003070687,0.407552236,Uracil
meta6,meta6,2.003193284,0.074394872,557.9502012,558.6512414,0.012602623,0.006339842,0.048243832,Maleic acid
meta7,meta7,2.283661171,0.140534464,271.010624,273.0074489,0.003086001,0.003060908,0.314621741,N-Acetylglycine
meta8,meta8,2.700145645,0.010138552,327.3601739,332.6289073,0.007344741,0.003563727,0.040646646,Guanidoacetic acid
meta9,meta9,2.80460516,0.033466057,226.18732,229.3174147,0.004633417,0.00273808,0.092218939,2-Hydroxyisovaleric acid
meta10,meta10,2.587995257,0.003261071,228.6424922,233.0099458,0.007629138,0.002763997,0.006333733,Succinic acid
meta11,meta11,2.717460892,0.001019201,222.4049115,224.8980895,0.009890668,0.002701949,0.000325325,Methylmalonic acid
meta12,meta12,2.19953167,0.097044654,290.2008667,290.4136747,0.00629196,0.003188573,0.049910189,Benzoic acid
meta14,meta14,2.784071873,0.065834635,214.1256556,217.1126594,0.003773606,0.002654147,0.156704851,2-Hydroxyisocaproate
meta17,meta17,2.363243869,0.01942323,240.3875017,241.8701646,0.006956906,0.00282718,0.014744657,Adenine
meta27,meta27,1.944180613,0.111489491,387.3117728,387.5662918,0.007240325,0.00409986,0.078978007,Homogentisic acid
meta28,meta28,3.273313935,0.016196916,387.834331,394.5276106,0.006822487,0.004173321,0.103723855,Uric acid
meta30,meta30,2.262570318,0.157034005,398.9502991,399.8576057,0.006101094,0.004230445,0.15087039,Glyceraldehyde 3-phosphate
meta34,meta34,4.435327325,6.23E-05,452.1186944,464.2238153,0.017406907,0.004985375,0.000595101,Myo-Inositol
meta35,meta35,2.400254088,0.065424776,293.6347207,296.2931051,0.004946949,0.003248242,0.12940495,Lactose
meta37,meta37,2.145682586,0.004126865,226.6997017,227.6956171,0.008768506,0.002723225,0.00150543,4-Pyridoxic acid
meta38,meta38,2.46675682,0.385871983,277.6969687,277.9646097,-0.001549447,0.003099863,0.61775449,2-Phosphoglyceric acid
meta39,meta39,2.530220801,0.015317708,269.4175969,271.4152081,0.007611426,0.003048499,0.01336981,Azelaic acid
meta41,meta41,2.26125059,0.045569654,209.6026988,210.9397583,0.005412743,0.002612678,0.039621008,Glucuronic acid
meta42,meta42,2.391659816,0.001581039,285.375099,286.7875521,0.010995558,0.003158635,0.000619311,Indoxyl sulfate
meta45,meta45,2.666847069,0.010180144,234.070242,238.3147809,0.006332392,0.002801653,0.024923417,3-Nitrotyrosine
meta46,meta46,2.331932593,0.215972985,350.426172,351.7107245,0.003830159,0.003741495,0.307259596,Myristic acid
meta48,meta48,2.259135858,0.094147631,253.3125225,253.3341274,0.005893201,0.002911082,0.044306977,Biotin
meta51,meta51,3.911709635,0.000737409,237.2222596,249.0205826,0.006746413,0.002879223,0.02014051,Heptadecanoic acid
meta52,meta52,2.65085184,0.036937838,229.9658945,234.9335809,0.003185586,0.002777591,0.252847802,Linolenate
meta53,meta53,3.286024866,0.001337843,242.9685323,252.5534576,0.006973027,0.002905291,0.017340328,Alpha-Linolenic acid
meta56,meta56,2.300244728,0.127160833,321.5803449,323.0452252,0.004668153,0.003477657,0.181066841,13-HODE
meta57,meta57,2.339281627,0.017621574,206.45916,207.2771072,0.006838639,0.00258838,0.008916436,Arachidonic acid
meta58,meta58,2.846270146,0.159174977,486.8146075,489.5596465,0.00263274,0.005318218,0.621133682,dCMP
meta61,meta61,2.389849632,0.006662785,239.9818398,241.5351659,0.00817972,0.002824766,0.004219242,12-HETE
meta62,meta62,2.633891819,0.027493241,446.5114638,453.1506467,0.004375878,0.004846521,0.367709481,5-Thymidylic acid
meta65,meta65,2.522739153,0.027272422,283.9422552,286.4446114,0.006681864,0.003167651,0.036198705,"Fructose 1,6-bisphosphate"
meta69,meta69,2.617435198,0.01017725,362.7947066,366.295056,0.009009426,0.003883317,0.021384723,Gibberellin A3
meta72,meta72,2.268729572,0.018749512,258.0863009,259.5063346,0.007369159,0.00295728,0.013549954,Prostaglandin E2
meta74,meta74,3.259903626,0.0002828,282.8081841,289.6668456,0.010975222,0.003193796,0.00072179,S-Adenosylhomocysteine
meta79,meta79,1.873605629,0.035903661,667.64523,667.8245537,0.01971263,0.008380418,0.019668779,5-Methyltetrahydrofolic acid
meta80,meta80,1.883838074,0.306831903,330.8107821,330.8892818,0.003628083,0.003547947,0.307783331,Glycocholic acid
meta84,meta84,2.047231144,0.228611775,651.4335893,652.0521233,-0.008883707,0.008049917,0.27115057,NAD
meta87,meta87,2.294983005,0.067611786,209.2184442,210.350949,0.004974597,0.002608756,0.058020799,Citraconic acid
meta88,meta88,2.17165868,0.089415553,233.0610812,234.340388,0.004558038,0.002773393,0.101910057,Allantoin
meta92,meta92,2.510020372,0.021890764,234.9738083,238.0776184,0.005797533,0.00279996,0.039729172,Malondialdehyde
meta93,meta93,2.345432267,0.102942477,429.9616296,432.2326983,0.005881398,0.004594675,0.202065197,2-Methylpropanoate
meta94,meta94,2.550356573,0.097983845,200.4413578,203.0994152,0.002955941,0.002560941,0.249829029,Glyceric acid
meta95,meta95,2.09180198,0.298011449,305.0480066,306.1623417,-6.27E-05,0.003331058,0.985002866,Alpha-Ketoisovaleric acid
meta96,meta96,2.714971023,0.097826312,218.4718174,220.936384,0.003326701,0.002680163,0.216026946,Methylsuccinic acid
meta97,meta97,2.862296583,0.015815869,200.0523054,204.1595612,0.005432215,0.002567876,0.035674205,Oxalacetic acid
meta98,meta98,3.094852593,0.040822281,520.0684636,526.3267706,0.002601535,0.005841188,0.656545937,Oxoglutaric acid
meta99,meta99,2.349293515,0.174149344,424.5021571,426.8804586,0.002332393,0.004532368,0.607415713,2-Hydroxyglutarate
meta100,meta100,2.215069921,0.040058497,259.4586568,260.2936145,0.006719947,0.002963227,0.024450391,Fructose
meta102,meta102,2.47601913,0.226348221,311.8349177,313.7818956,-0.000967068,0.003396428,0.776155684,Geranyl-PP
meta103,meta103,2.048300459,0.051170153,217.2007416,217.7003227,0.005791043,0.002658128,0.030571915,Adenylsuccinic acid
meta104,meta104,2.21566674,0.184213142,264.4907347,265.6450155,0.003560057,0.002997887,0.236491194,Glycerol 3-phosphate
meta106,meta106,2.141713726,0.154365495,457.8284055,458.8399566,0.006633658,0.004910338,0.178296623,Pyruvic acid
meta107,meta107,2.357920908,0.16233417,236.7049854,238.3236499,0.002909098,0.002801716,0.300416917,Methyl-3-methyl-2-oxopentanoate
meta110,meta110,1.978402146,0.367099741,572.3191662,572.6990259,0.004004834,0.006574715,0.543156838,Trimethylamine
meta116,meta116,1.909625217,0.489900343,486.5579578,486.6540304,0.001293912,0.005278955,0.806633492,3-Aminoisobutyric acid
meta125,meta125,1.916041461,0.437894158,428.6081191,428.9419391,0.000557884,0.004548985,0.902521052,Valine
meta126,meta126,2.560349962,0.203012928,779.6132408,781.3194056,0.011649349,0.011194538,0.299350102,Indole
