"Metabolite","Coef_RA_HC","PValue_RA_HC","CI_Lower_RA_HC","CI_Upper_RA_HC","Coef_RA_atRisk","PValue_RA_atRisk","CI_Lower_RA_atRisk","CI_Upper_RA_atRisk","Coef_HC_atRisk","PValue_HC_atRisk","CI_Lower_HC_atRisk","CI_Upper_HC_atRisk"
"Acetoacetate",-0.816184095823797,2.99359109869981e-11,-1.04888657817493,-0.58348161347266,-0.2071205607579,0.15697920808733,-0.494455728875608,0.0802146073598078,0.533481681633503,0.000742004429327853,0.227428986748195,0.83953437651881
"3-Aminobutanoic acid",0.308449905757751,0.0113784117011153,0.0700832070241932,0.546816604491309,-0.175955464504652,0.241104710061357,-0.470850691501518,0.118939762492214,-0.610599116234557,0.00076398513896325,-0.961762642273732,-0.259435590195382
"Malonic acid",0.0233134570363827,0.850432103148656,-0.219767749890749,0.266394663963515,-0.0860842411837405,0.588669138246472,-0.399155603905609,0.226987121538128,-0.185936933946226,0.30450446718586,-0.542497840636895,0.170623972744443
"(R)-3-Hydroxybutyric acid",-0.0499896332650613,0.687319410876189,-0.29415518630361,0.194175919773488,-0.115451627028286,0.471818901926125,-0.43094512583414,0.200041871777568,-0.143322838824987,0.420031876754158,-0.493540425502662,0.206894747852688
"Uracil",-0.223522590826002,0.0553324379685502,-0.452175408997785,0.0051302273457807,0.570504843731701,0.000193516522016938,0.273408400943726,0.867601286519677,0.705382635599527,3.68982544990443e-05,0.377650245410878,1.03311502578818
"Maleic acid",-1.10401904118733,1.36376617743175e-22,-1.30872248944019,-0.899315592934464,-0.126843184173183,0.406033630566234,-0.426955987846354,0.173269619499989,0.983554687742794,5.14284249740878e-10,0.691164696573795,1.27594467891179
"Acetylglycine",0.538116021124065,1.08158479718544e-05,0.301487491626831,0.774744550621298,0.12168870766571,0.405711048120287,-0.166030506178004,0.409407921509425,-0.481966558043695,0.0121626155135918,-0.857172602346562,-0.106760513740828
"Guanidoacetic acid",0.0218085825975271,0.861963720537453,-0.224797023577226,0.268414188772281,-0.150200603804169,0.304240691716441,-0.437510425179425,0.137109217571088,-0.27331833803205,0.149834414004556,-0.646394741457331,0.0997580653932312
"3-Hydroxyisovaleric acid",0.83539244140462,1.51514560620278e-12,0.612668572897908,1.05811630991133,-0.0200886186864227,0.887035625133592,-0.298272609727498,0.258095372354652,-0.930895601735612,1.6150408126191e-07,-1.26554679230285,-0.596244411168375
"Succinic acid",0.652361134080414,1.09792921363974e-08,0.433926885944423,0.870795382216405,0.0520659904329139,0.733931885918169,-0.249238450750785,0.353370431616613,-0.66544732509373,0.000330035949275625,-1.02323087726464,-0.307663772922819
