Table S3D: GEE analysis between ACPA-positive RA and ACPA-negative RA.,,,,,,
metabolites,GEE model of 100 iterations,,Number of Detected Samples,,Detection Frequency Difference,
,Significant Counts,median p value,ACPA Positive,ACPA Negative,p value,Statistical Test Used
Acetoacetate,9,0.481151289,183,14,1,Fisher
4-Aminobutanoate,3,0.548274637,183,14,1,Fisher
Malonic acid,17,0.287511462,183,14,1,Fisher
3-Hydroxybutyric acid,22,0.256909458,183,14,1,Fisher
Uracil,3,0.645911834,183,14,1,Fisher
Maleic acid,1,0.593354189,183,14,1,Fisher
N-Acetylglycine,0,0.690419431,183,14,1,Fisher
Guanidoacetic acid,12,0.228985967,183,14,1,Fisher
2-Hydroxyisovaleric acid,8,0.236858476,183,14,1,Fisher
Succinic acid,4,0.488414628,183,14,1,Fisher
Methylmalonic acid,39,0.084967953,183,14,1,Fisher
Benzoic acid,3,0.457411876,183,14,1,Fisher
Methyl-4-methyl-2-oxopentanoate,3,0.349681214,180,14,1,Fisher
2-Hydroxyisocaproate,3,0.385833613,183,14,1,Fisher
Glutarate,18,0.174547063,183,14,1,Fisher
Malate,16,0.145075385,183,14,1,Fisher
Adenine,6,0.436356895,183,14,1,Fisher
Hypoxanthine,3,0.581187844,183,14,1,Fisher
Adipic acid,7,0.328148644,183,14,1,Fisher
Mevalonic acid,47,0.062406248,183,14,1,Fisher
Xanthine,4,0.394828505,183,14,1,Fisher
Dopamine,0,0.651352057,103,7,0.859382096,Chi-square
Orotic acid,4,0.459497512,183,14,1,Fisher
Aminoadipic acid,4,0.45760157,183,14,1,Fisher
Phenylpyruvate,8,0.383139157,183,14,1,Fisher
Phosphoenolpyruvic acid,75,0.010058768,183,14,1,Fisher
Homogentisic acid,2,0.595025177,183,14,1,Fisher
Uric acid,9,0.249088075,183,14,1,Fisher
Dihydroxyacetone phosphate,18,0.298848002,183,14,1,Fisher
Glyceraldehyde 3-phosphate,19,0.225165722,183,14,1,Fisher
Shikimic acid,19,0.229288502,183,14,1,Fisher
Citrulline,0,0.510966484,183,14,1,Fisher
Hippuric acid,2,0.544559246,183,14,1,Fisher
Myo-Inositol,4,0.307621401,183,14,1,Fisher
Lactose,6,0.319169487,183,14,1,Fisher
4-Hydroxyphenylpyruvic acid,44,0.060949218,183,14,1,Fisher
4-Pyridoxic acid,3,0.526890104,183,14,1,Fisher
2-Phosphoglyceric acid,8,0.418622484,183,14,1,Fisher
Azelaic acid,41,0.064968843,183,14,1,Fisher
4-Hydroxy-2-quinolinecarboxylic acid,3,0.613948859,183,14,1,Fisher
Glucuronic acid,5,0.290269471,183,14,1,Fisher
Indoxyl sulfate,34,0.104278095,183,14,1,Fisher
Pantothenic acid,2,0.508256082,183,14,1,Fisher
Cystathionine,10,0.392843864,183,14,1,Fisher
3-Nitrotyrosine,2,0.394354279,183,14,1,Fisher
Myristic acid,19,0.202391867,183,14,1,Fisher
Ribose 5-phosphate,8,0.408994761,183,14,1,Fisher
Biotin,1,0.594241793,183,14,1,Fisher
Fructose 6-phosphate,46,0.056213096,180,14,1,Fisher
Glucose 6-phosphate,2,0.524038243,180,14,1,Fisher
Heptadecanoic acid,5,0.34863529,183,14,1,Fisher
Linolenate,2,0.527502791,183,14,1,Fisher
Alpha-Linolenic acid,6,0.588650075,183,14,1,Fisher
Xanthosine,53,0.042700982,183,14,1,Fisher
Argininosuccinic acid,58,0.039438208,183,14,1,Fisher
13-HODE,3,0.565041957,183,14,1,Fisher
Arachidonic acid,6,0.280495594,183,14,1,Fisher
dCMP,37,0.09142475,167,14,0.609803159,Fisher
Glutathione,5,0.462850863,74,7,0.675148685,Chi-square
N-Acetylneuraminic acid,11,0.305452866,183,14,1,Fisher
12-HETE,3,0.597230568,183,14,1,Fisher
5-Thymidylic acid,1,0.441677413,171,13,1,Fisher
Cytidine monophosphate,14,0.299159792,162,14,0.3702752,Fisher
"Glucose 1,6-bisphosphate",30,0.127169152,183,14,1,Fisher
"Fructose 1,6-bisphosphate",0,0.583369857,182,14,1,Fisher
Alpha-Lactose,33,0.090090355,183,14,1,Fisher
Sucrose,25,0.120764833,183,14,1,Fisher
"3',5'-Cyclic GMP",4,0.456766898,166,12,0.629961342,Fisher
Gibberellin A3,6,0.433567483,183,14,1,Fisher
Adenosine monophosphate,2,0.437666336,183,14,1,Fisher
Inosinic acid,0,0.612401184,183,14,1,Fisher
Prostaglandin E2,7,0.346288307,183,14,1,Fisher
Orotidylic acid,1,0.593563177,180,14,1,Fisher
S-Adenosylhomocysteine,3,0.518520741,183,14,1,Fisher
Uridine 5'-diphosphate,9,0.278365232,180,14,1,Fisher
Adenosine 5'-diphosphate,18,0.258480893,177,14,1,Fisher
Folic acid,7,0.312948511,138,11,1,Fisher
Guanosine 5'-diphosphate,42,0.08426622,180,14,1,Fisher
5-Methyltetrahydrofolic acid,2,0.501173321,127,10,1,Fisher
Glycocholic acid,18,0.253931953,183,14,1,Fisher
