"metabolic","N_P_nonNA","N_N_nonNA","detected_P","detected_N","NA_test_pvalue","NA_test_used"
"Acetoacetate",183,14,1,1,1,"Fisher"
"4-Aminobutanoate",183,14,1,1,1,"Fisher"
"Malonic acid",183,14,1,1,1,"Fisher"
"3-Hydroxybutyric acid",183,14,1,1,1,"Fisher"
"Uracil",183,14,1,1,1,"Fisher"
"Maleic acid",183,14,1,1,1,"Fisher"
"N-Acetylglycine",183,14,1,1,1,"Fisher"
"Guanidoacetic acid",183,14,1,1,1,"Fisher"
"2-Hydroxyisovaleric acid",183,14,1,1,1,"Fisher"
"Succinic acid",183,14,1,1,1,"Fisher"
"Methylmalonic acid",183,14,1,1,1,"Fisher"
"Benzoic acid",183,14,1,1,1,"Fisher"
"Methyl-4-methyl-2-oxopentanoate",180,14,0.983606557377049,1,1,"Fisher"
"2-Hydroxyisocaproate",183,14,1,1,1,"Fisher"
"Glutarate",183,14,1,1,1,"Fisher"
"Malate",183,14,1,1,1,"Fisher"
"Adenine",183,14,1,1,1,"Fisher"
"Hypoxanthine",183,14,1,1,1,"Fisher"
"Adipic acid",183,14,1,1,1,"Fisher"
"Mevalonic acid",183,14,1,1,1,"Fisher"
"Xanthine",183,14,1,1,1,"Fisher"
"Dopamine",103,7,0.562841530054645,0.5,0.859382096499733,"Chi-square"
"Orotic acid",183,14,1,1,1,"Fisher"
"Aminoadipic acid",183,14,1,1,1,"Fisher"
"Phenylpyruvate",183,14,1,1,1,"Fisher"
"Phosphoenolpyruvic acid",183,14,1,1,1,"Fisher"
"Homogentisic acid",183,14,1,1,1,"Fisher"
"Uric acid",183,14,1,1,1,"Fisher"
"Dihydroxyacetone phosphate",183,14,1,1,1,"Fisher"
"Glyceraldehyde 3-phosphate",183,14,1,1,1,"Fisher"
"Shikimic acid",183,14,1,1,1,"Fisher"
"Citrulline",183,14,1,1,1,"Fisher"
"Hippuric acid",183,14,1,1,1,"Fisher"
"Myo-Inositol",183,14,1,1,1,"Fisher"
"Lactose",183,14,1,1,1,"Fisher"
"4-Hydroxyphenylpyruvic acid",183,14,1,1,1,"Fisher"
"4-Pyridoxic acid",183,14,1,1,1,"Fisher"
"2-Phosphoglyceric acid",183,14,1,1,1,"Fisher"
"Azelaic acid",183,14,1,1,1,"Fisher"
"4-Hydroxy-2-quinolinecarboxylic acid",183,14,1,1,1,"Fisher"
"Glucuronic acid",183,14,1,1,1,"Fisher"
"Indoxyl sulfate",183,14,1,1,1,"Fisher"
"Pantothenic acid",183,14,1,1,1,"Fisher"
"Cystathionine",183,14,1,1,1,"Fisher"
"3-Nitrotyrosine",183,14,1,1,1,"Fisher"
"Myristic acid",183,14,1,1,1,"Fisher"
"Ribose 5-phosphate",183,14,1,1,1,"Fisher"
"Biotin",183,14,1,1,1,"Fisher"
"Fructose 6-phosphate",180,14,0.983606557377049,1,1,"Fisher"
"Glucose 6-phosphate",180,14,0.983606557377049,1,1,"Fisher"
"Heptadecanoic acid",183,14,1,1,1,"Fisher"
"Linolenate",183,14,1,1,1,"Fisher"
"Alpha-Linolenic acid",183,14,1,1,1,"Fisher"
"Xanthosine",183,14,1,1,1,"Fisher"
"Argininosuccinic acid",183,14,1,1,1,"Fisher"
"13-HODE",183,14,1,1,1,"Fisher"
"Arachidonic acid",183,14,1,1,1,"Fisher"
"dCMP",167,14,0.912568306010929,1,0.609803159204738,"Fisher"
"Glutathione",74,7,0.404371584699454,0.5,0.67514868533847,"Chi-square"
"N-Acetylneuraminic acid",183,14,1,1,1,"Fisher"
"12-HETE",183,14,1,1,1,"Fisher"
"5-Thymidylic acid",171,13,0.934426229508197,0.928571428571429,1,"Fisher"
"Cytidine monophosphate",162,14,0.885245901639344,1,0.370275200461424,"Fisher"
"Glucose 1,6-bisphosphate",183,14,1,1,1,"Fisher"
"Fructose 1,6-bisphosphate",182,14,0.994535519125683,1,1,"Fisher"
"Alpha-Lactose",183,14,1,1,1,"Fisher"
"Sucrose",183,14,1,1,1,"Fisher"
"3',5'-Cyclic GMP",166,12,0.907103825136612,0.857142857142857,0.62996134213762,"Fisher"
"Gibberellin A3",183,14,1,1,1,"Fisher"
"Adenosine monophosphate",183,14,1,1,1,"Fisher"
"Inosinic acid",183,14,1,1,1,"Fisher"
"Prostaglandin E2",183,14,1,1,1,"Fisher"
"Orotidylic acid",180,14,0.983606557377049,1,1,"Fisher"
"S-Adenosylhomocysteine",183,14,1,1,1,"Fisher"
"Uridine 5'-diphosphate",180,14,0.983606557377049,1,1,"Fisher"
"Adenosine 5'-diphosphate",177,14,0.967213114754098,1,1,"Fisher"
"Folic acid",138,11,0.754098360655738,0.785714285714286,1,"Fisher"
"Guanosine 5'-diphosphate",180,14,0.983606557377049,1,1,"Fisher"
"5-Methyltetrahydrofolic acid",127,10,0.693989071038251,0.714285714285714,1,"Fisher"
"Glycocholic acid",183,14,1,1,1,"Fisher"
"Adenosine 5'-triphosphate",180,14,0.983606557377049,1,1,"Fisher"
"Taurocholic acid",183,14,1,1,1,"Fisher"
"Oxidized glutathione",17,3,0.092896174863388,0.214285714285714,0.15719842730677,"Fisher"
"NAD",61,5,0.333333333333333,0.357142857142857,0.999999999999999,"Chi-square"
"Lactic acid",183,14,1,1,1,"Fisher"
"Fumarate",183,14,1,1,1,"Fisher"
"Citraconic acid",183,14,1,1,1,"Fisher"
"Allantoin",183,14,1,1,1,"Fisher"
"Aconitic acid",183,14,1,1,1,"Fisher"
"Citric acid",183,14,1,1,1,"Fisher"
"Chenodeoxycholic acid glycine conjugate",182,14,0.994535519125683,1,1,"Fisher"
"Malondialdehyde",183,14,1,1,1,"Fisher"
"2-Methylpropanoate",183,14,1,1,1,"Fisher"
"Glyceric acid",183,14,1,1,1,"Fisher"
"Alpha-Ketoisovaleric acid",183,14,1,1,1,"Fisher"
"Methylsuccinic acid",183,14,1,1,1,"Fisher"
"Oxalacetic acid",183,14,1,1,1,"Fisher"
"Oxoglutaric acid",183,14,1,1,1,"Fisher"
