metabolic,N_P_nonNA,N_N_nonNA,detected_P,detected_N,NA_test_pvalue,NA_test_used
Acetoacetate,183,14,100.00%,100.00%,1,Fisher
3-Aminobutanoic acid,183,14,100.00%,100.00%,1,Fisher
Malonic acid,183,14,100.00%,100.00%,1,Fisher
(R)-3-Hydroxybutyric acid,183,14,100.00%,100.00%,1,Fisher
Uracil,183,14,100.00%,100.00%,1,Fisher
Maleic acid,183,14,100.00%,100.00%,1,Fisher
Acetylglycine,183,14,100.00%,100.00%,1,Fisher
Guanidoacetic acid,183,14,100.00%,100.00%,1,Fisher
3-Hydroxyisovaleric acid,183,14,100.00%,100.00%,1,Fisher
Succinic acid,183,14,100.00%,100.00%,1,Fisher
Methylmalonic acid,183,14,100.00%,100.00%,1,Fisher
Benzoic acid,183,14,100.00%,100.00%,1,Fisher
Methyl (R)-4-methyl-2-oxopentanoate,180,14,98.36%,100.00%,1,Fisher
Hydroxyisocaproic acid,183,14,100.00%,100.00%,1,Fisher
Glutarate,183,14,100.00%,100.00%,1,Fisher
sinapoyl-(S)-malate,183,14,100.00%,100.00%,1,Fisher
Adenine,183,14,100.00%,100.00%,1,Fisher
Hypoxanthine,183,14,100.00%,100.00%,1,Fisher
Adipic acid,183,14,100.00%,100.00%,1,Fisher
Mevalonic acid,183,14,100.00%,100.00%,1,Fisher
Xanthine,183,14,100.00%,100.00%,1,Fisher
Orotic acid,183,14,100.00%,100.00%,1,Fisher
Aminoadipic acid,183,14,100.00%,100.00%,1,Fisher
Enol-phenylpyruvate,183,14,100.00%,100.00%,1,Fisher
Phosphoenolpyruvic acid,183,14,100.00%,100.00%,1,Fisher
Homogentisic acid,183,14,100.00%,100.00%,1,Fisher
Uric acid,183,14,100.00%,100.00%,1,Fisher
Dihydroxyacetone phosphate,183,14,100.00%,100.00%,1,Fisher
D-Glyceraldehyde 3-phosphate,183,14,100.00%,100.00%,1,Fisher
Shikimic acid,183,14,100.00%,100.00%,1,Fisher
Citrulline,183,14,100.00%,100.00%,1,Fisher
Hippuric acid,183,14,100.00%,100.00%,1,Fisher
myo-Inositol,183,14,100.00%,100.00%,1,Fisher
lactose,183,14,100.00%,100.00%,1,Fisher
4-Hydroxyphenylpyruvic acid,183,14,100.00%,100.00%,1,Fisher
4-Pyridoxic acid,183,14,100.00%,100.00%,1,Fisher
