"Metabolite","Significant_Count","p_median"
"Acetoacetate",9,0.481151289234573
"4-Aminobutanoate",3,0.54827463724095
"Malonic acid",17,0.28751146169966
"3-Hydroxybutyric acid",22,0.256909457621951
"Uracil",3,0.645911833921892
"Maleic acid",1,0.593354189216806
"N-Acetylglycine",0,0.690419430501071
"Guanidoacetic acid",12,0.2289859672484
"2-Hydroxyisovaleric acid",8,0.236858476397105
"Succinic acid",4,0.488414627529872
"Methylmalonic acid",39,0.0849679525085009
"Benzoic acid",3,0.457411875633741
"Methyl-4-methyl-2-oxopentanoate",3,0.349681214302836
"2-Hydroxyisocaproate",3,0.38583361276825
"Glutarate",18,0.174547062528908
"Malate",16,0.14507538547371
"Adenine",6,0.436356894834115
"Hypoxanthine",3,0.581187844063264
"Adipic acid",7,0.328148643829768
"Mevalonic acid",47,0.0624062476414221
"Xanthine",4,0.39482850535941
"Dopamine",0,0.651352057216059
"Orotic acid",4,0.459497511604572
"Aminoadipic acid",4,0.457601570416989
"Phenylpyruvate",8,0.383139157428727
"Phosphoenolpyruvic acid",75,0.0100587683030749
"Homogentisic acid",2,0.595025177273483
"Uric acid",9,0.249088075473806
"Dihydroxyacetone phosphate",18,0.298848002476542
"Glyceraldehyde 3-phosphate",19,0.225165722481164
"Shikimic acid",19,0.229288502150476
"Citrulline",0,0.510966483517606
"Hippuric acid",2,0.544559246279911
"Myo-Inositol",4,0.307621400644119
"Lactose",6,0.319169487080425
"4-Hydroxyphenylpyruvic acid",44,0.0609492183293165
"4-Pyridoxic acid",3,0.526890104232937
"2-Phosphoglyceric acid",8,0.418622483999238
"Azelaic acid",41,0.0649688427836538
"4-Hydroxy-2-quinolinecarboxylic acid",3,0.613948859388615
"Glucuronic acid",5,0.290269471239061
"Indoxyl sulfate",34,0.104278094648637
"Pantothenic acid",2,0.508256082120492
"Cystathionine",10,0.392843863864787
"3-Nitrotyrosine",2,0.394354279285196
"Myristic acid",19,0.202391866738364
"Ribose 5-phosphate",8,0.408994760887673
"Biotin",1,0.594241793423551
"Fructose 6-phosphate",46,0.0562130961365407
"Glucose 6-phosphate",2,0.52403824334592
"Heptadecanoic acid",5,0.348635290158468
"Linolenate",2,0.527502791002871
"Alpha-Linolenic acid",6,0.588650074805505
"Xanthosine",53,0.0427009820062485
"Argininosuccinic acid",58,0.0394382083652722
"13-HODE",3,0.565041957395719
