,metabolic,p.value,log10.fc
26,Phosphoenolpyruvic acid,0.009070508,-0.605086717
86,Dimethyl fumarate,0.015326787,-0.895284354
58,dCMP,0.017019281,-0.451115753
20,Mevalonic acid,0.018938243,-0.549722203
11,Methylmalonic acid,0.019949863,-0.450824129
116,2-Aminoisobutyric acid,0.029155476,-0.088255656
42,Indoxyl sulfate,0.031001042,-0.511912288
78,Guanosine diphosphate,0.032548588,-0.579891813
36,4-Hydroxyphenylpyruvic acid,0.034162402,-0.470763153
175,Guanosine monophosphate,0.038645114,-0.389540519
54,Xanthosine,0.039886614,-0.551510328
39,Azelaic acid,0.041803971,-0.360452401
55,Argininosuccinic acid,0.055636337,-0.521668901
167,Melatonin,0.059350488,-0.354906419
49,Fructose 6-phosphate,0.06013121,-0.355247219
64,"Alpha-D-Glucose 1,6-bisphosphate",0.062148305,-0.506536828
4,(R)-3-Hydroxybutyric acid,0.067801105,0.331745421
3,Malonic acid,0.068536548,0.255434439
181,Serotonin,0.079538404,-0.410381522
159,Glucosamine,0.084605471,-0.393246827
170,N1-Acetylspermine,0.110260457,-0.448156285
182,Xanthurenic acid,0.133495993,-0.279813113
68,Cyclic GMP,0.138429359,0.202261129
53,Alpha-Linolenic acid,0.141216772,-0.05322949
66,Alpha-Lactose,0.154841188,-0.415248058
130,Niacinamide,0.156256742,-0.327563034
25,Enol-phenylpyruvate,0.160562306,-0.373782854
178,Bilirubin,0.162017076,-0.305669934
83,Oxidized glutathione,0.165339632,-0.203649428
136,4-Hydroxyproline,0.172481614,0.003853693
131,Taurine,0.183443453,-0.295066925
124,Betaine,0.191583669,0.116687032
183,4-Trimethylammoniobutanoic acid,0.198284787,-0.090856887
23,Orotic acid,0.199986536,-0.148661722
150,L-Methionine,0.203421982,-0.087819018
15,Glutarate,0.208653616,-0.394886887
132,Pyroglutamic acid,0.210421374,-0.286495762
128,L-Threonine,0.213985713,-0.072071976
186,1-Methylguanosine,0.213985713,0.116860991
188,Carnosine,0.222984886,-0.414534514
30,D-Glyceraldehyde 3-phosphate,0.226803433,-0.298731001
45,3-Nitrotyrosine,0.228678324,-0.247541596
16,sinapoyl-(S)-malate,0.234369131,-0.393455221
176,S-Adenosylmethionine,0.249605277,-0.113388664
127,L-Homoserine,0.250032882,-0.089737638
158,Indoleacetic acid,0.250032882,-0.087754465
125,L-Valine,0.252041098,0.037667758
99,2-Hydroxyglutarate,0.262250746,-0.169441863
144,Tyramine,0.265782572,-0.296020016
1,Acetoacetate,0.272742556,0.103329845
164,Indolelactic acid,0.285707169,-0.219166403
70,Adenosine monophosphate,0.28790778,-0.156444267
57,Arachidonic acid,0.290119795,-0.222846262
93,Phenylmethyl 2-methylpropanoate,0.290119795,-0.310602948
115,Cadaverine,0.312868337,0.072370756
187,Normetanephrine,0.314121706,-0.274292024
140,Ornithine,0.315206111,-0.069118116
29,Dihydroxyacetone phosphate,0.317555333,-0.237396125
31,Shikimic acid,0.317555333,-0.233040792
32,Citrulline,0.317555333,-0.200007432
138,L-Isoleucine,0.317555333,-0.075044618
59,Glutathione,0.318419738,-0.273476734
126,Indole,0.320921203,-0.396373579
110,Trimethylamine,0.33432037,-0.105532912
184,Epinephrine,0.33432037,0.010669584
100,D-Fructose,0.344151992,-0.251767858
19,Adipic acid,0.351645571,-0.338030494
77,Folic acid,0.35958136,-0.287831898
75,Uridine 5'-diphosphate,0.366939339,-0.245606804
41,D-Glucuronic acid,0.377361208,-0.217213607
157,L-Arginine,0.377363267,0.052774704
168,L-Cystine,0.377363267,-0.219009336
173,Inosine,0.382642617,-0.379795121
147,L-Glutamine,0.387966992,0.084660564
169,Cytidine,0.390646025,0.153391367
9,3-Hydroxyisovaleric acid,0.393336268,-0.283990162
76,ADP,0.398743833,-0.226011299
148,L-Lysine,0.398750311,-0.113739431
48,Biotin,0.406954998,-0.032602926
67,Sucrose,0.409712116,-0.382236489
35,lactose,0.420851145,-0.240589418
62,5-Thymidylic acid,0.426420609,-0.212589535
119,L-Serine,0.429320873,-0.120225639
145,4-Acetamidobutanoic acid,0.437888839,-0.106866161
28,Uric acid,0.440766537,-0.23821635
172,Adenosine,0.441033677,-0.329175994
121,Creatinine,0.446554337,-0.117839994
171,Uridine,0.45238515,-0.112238517
13,Methyl (R)-4-methyl-2-oxopentanoate,0.45384742,-0.208603353
72,Prostaglandin E2,0.461211499,-0.084433319
123,5-Aminopentanoic acid,0.46417486,-0.027284391
65,"Fructose 1,6-bisphosphate",0.470133255,-0.18976256
101,Glucose 1-phosphate,0.473128223,-0.195764411
37,4-Pyridoxic acid,0.47914953,-0.150185996
40,"4,6-Dihydroxy-2-quinolinecarboxylic acid",0.488259385,0.09702489
156,1-Methyl-L-histidine,0.488259385,-0.154911793
56,13-HODE,0.49131663,-0.03489128
10,Succinic acid,0.497461833,-0.17648885
162,L-Acetylcarnitine,0.497461833,-0.116953713
8,Guanidoacetic acid,0.500549714,-0.224830946
135,Creatine,0.500549714,0.045926454
