"Metabolite","Significant_Count"
"Acetoacetate",11
"3-Aminobutanoic acid",3
"Malonic acid",17
"(R)-3-Hydroxybutyric acid",19
"Uracil",0
"Maleic acid",2
"Acetylglycine",0
"Guanidoacetic acid",4
"3-Hydroxyisovaleric acid",2
"Succinic acid",0
"Methylmalonic acid",18
"Benzoic acid",0
"Methyl (R)-4-methyl-2-oxopentanoate",1
"Hydroxyisocaproic acid",2
"Glutarate",12
"sinapoyl-(S)-malate",8
"Adenine",2
"Hypoxanthine",0
"Adipic acid",3
"Mevalonic acid",25
"Xanthine",1
"Dopamine",0
"Orotic acid",0
"Aminoadipic acid",0
"Enol-phenylpyruvate",4
"Phosphoenolpyruvic acid",67
"Homogentisic acid",0
"Uric acid",2
"Dihydroxyacetone phosphate",10
"D-Glyceraldehyde 3-phosphate",6
"Shikimic acid",7
"Citrulline",0
"Hippuric acid",0
"myo-Inositol",1
"lactose",1
"4-Hydroxyphenylpyruvic acid",25
"4-Pyridoxic acid",0
"2-Phosphoglyceric acid",1
"Azelaic acid",18
"4,6-Dihydroxy-2-quinolinecarboxylic acid",1
"D-Glucuronic acid",0
"Indoxyl sulfate",17
"Pantothenic acid",2
"L-Cystathionine",3
"3-Nitrotyrosine",2
"Myristic acid",3
"D-Ribose 5-phosphate",3
"Biotin",2
"Fructose 6-phosphate",21
"Glucose 6-phosphate",2
"Heptadecanoic acid",0
"Linoelaidic acid",3
"Alpha-Linolenic acid",5
"Xanthosine",35
"Argininosuccinic acid",32
"13-HODE",2
"Arachidonic acid",2
"dCMP",26
"Glutathione",4
"N-Acetylneuraminic acid",1
"Tetranor 12-HETE",1
"5-Thymidylic acid",2
"Cytidine monophosphate",5
"Alpha-D-Glucose 1,6-bisphosphate",14
"Fructose 1,6-bisphosphate",1
"Alpha-Lactose",14
"Sucrose",12
"Cyclic GMP",3
"Gibberellin A3",2
"Adenosine monophosphate",0
"Inosinic acid",0
"Prostaglandin E2",2
"Orotidylic acid",0
"S-Adenosylhomocysteine",1
"Uridine 5'-diphosphate",2
"ADP",6
"Folic acid",1
"Guanosine diphosphate",16
"5-Methyltetrahydrofolic acid",0
"Glycocholic acid",6
"Adenosine triphosphate",0
"Taurocholic acid",0
"Oxidized glutathione",0
"NAD",1
"L-Lactic acid",0
"Dimethyl fumarate",86
"Citraconic acid",1
"Allantoin",1
"cis-Aconitic acid",0
"Citric acid",0
"Chenodeoxycholic acid glycine conjugate",1
"Malondialdehyde",1
"Phenylmethyl 2-methylpropanoate",7
"Glyceric acid",1
"Alpha-ketoisovaleric acid",0
"Methylsuccinic acid",0
"Oxalacetic acid",0
"Oxoglutaric acid",3
"2-Hydroxyglutarate",0
"D-Fructose",2
"Glucose 1-phosphate",4
"Geranyl-PP",4
"Adenylsuccinic acid",2
"Glycerol 3-phosphate",2
"Glyceraldehyde",1
"Pyruvic acid",0
"Methyl (R)-3-methyl-2-oxopentanoate",4
"Isocitric acid",1
"Homovanillic acid",1
"Trimethylamine",0
"Glycine",1
"Trimethylamine N-oxide",0
"Sarcosine",0
"L-Alanine",0
"Cadaverine",4
"2-Aminoisobutyric acid",0
"Choline",0
"Dimethylglycine",0
"L-Serine",0
"Cytosine",0
"Creatinine",0
"L-Proline",0
"5-Aminopentanoic acid",0
"Betaine",3
"L-Valine",2
"Indole",8
"L-Homoserine",0
"L-Threonine",0
"L-Cysteine",0
"Niacinamide",3
"Taurine",2
"Pyroglutamic acid",1
"L-Pipecolic acid",0
"N-Acetylputrescine",0
"Creatine",0
"4-Hydroxyproline",2
"5-Aminolevulinic acid",1
"L-Isoleucine",0
"L-Leucine",0
"Ornithine",0
"L-Asparagine",3
"Homocysteine",1
"N-Methylnicotinamide",0
"Tyramine",4
"4-Acetamidobutanoic acid",0
"Spermidine",0
"L-Glutamine",4
"L-Lysine",0
"DL-Glutamate",0
"L-Methionine",0
"Cysteamine",0
"L-Histidine",0
"Tryptamine",1
"L-Carnitine",0
"L-Phenylalanine",1
"1-Methyl-L-histidine",0
"L-Arginine",0
"Indoleacetic acid",0
"Glucosamine",9
"L-Tyrosine",3
"N8-Acetylspermidine",0
"L-Acetylcarnitine",0
"L-Tryptophan",0
"Indolelactic acid",0
"L-Kynurenine",0
"3-hydroxy-L-kynurenin",3
"Melatonin",5
"L-Cystine",0
"Cytidine",0
"N1-Acetylspermine",22
"Uridine",0
"Adenosine",1
"Inosine",14
"2'-O-Methyladenosine",0
"Guanosine monophosphate",11
"S-Adenosylmethionine",2
"Alpha-Tocopherol",1
"Bilirubin",9
"Acetamidopropanal",0
"1-methyladenosine",4
"Serotonin",23
"Xanthurenic acid",1
"4-Trimethylammoniobutanoic acid",1
"Epinephrine",0
"Indolepyruvate",5
"1-Methylguanosine",1
"Normetanephrine",7
"Carnosine",9
