Metabolite,Coef_RA_HC,PValue_RA_HC,CI_Lower_RA_HC,CI_Upper_RA_HC,Coef_RA_atRisk,PValue_RA_atRisk,CI_Lower_RA_atRisk,CI_Upper_RA_atRisk,Coef_HC_atRisk,PValue_HC_atRisk,CI_Lower_HC_atRisk,CI_Upper_HC_atRisk
Acetoacetate,-0.816184096,2.99E-11,-1.048886578,-0.583481613,-0.207120561,0.156979208,-0.494455729,0.080214607,0.533481682,0.000742004,0.227428987,0.839534377
3-Aminobutanoic acid,0.308449906,0.011378412,0.070083207,0.546816604,-0.175955465,0.24110471,-0.470850692,0.118939762,-0.610599116,0.000763985,-0.961762642,-0.25943559
Malonic acid,0.023313457,0.850432103,-0.21976775,0.266394664,-0.086084241,0.588669138,-0.399155604,0.226987122,-0.185936934,0.304504467,-0.542497841,0.170623973
(R)-3-Hydroxybutyric acid,-0.049989633,0.687319411,-0.294155186,0.19417592,-0.115451627,0.471818902,-0.430945126,0.200041872,-0.143322839,0.420031877,-0.493540426,0.206894748
Uracil,-0.223522591,0.055332438,-0.452175409,0.005130227,0.570504844,0.000193517,0.273408401,0.867601287,0.705382636,3.69E-05,0.377650245,1.033115026
Maleic acid,-1.104019041,1.36E-22,-1.308722489,-0.899315593,-0.126843184,0.406033631,-0.426955988,0.173269619,0.983554688,5.14E-10,0.691164697,1.275944679
Acetylglycine,0.538116021,1.08E-05,0.301487492,0.774744551,0.121688708,0.405711048,-0.166030506,0.409407922,-0.481966558,0.012162616,-0.857172602,-0.106760514
Guanidoacetic acid,0.021808583,0.861963721,-0.224797024,0.268414189,-0.150200604,0.304240692,-0.437510425,0.137109218,-0.273318338,0.149834414,-0.646394741,0.099758065
3-Hydroxyisovaleric acid,0.835392441,1.52E-12,0.612668573,1.05811631,-0.020088619,0.887035625,-0.29827261,0.258095372,-0.930895602,1.62E-07,-1.265546792,-0.596244411
Succinic acid,0.652361134,1.10E-08,0.433926886,0.870795382,0.05206599,0.733931886,-0.249238451,0.353370432,-0.665447325,0.000330036,-1.023230877,-0.307663773
Methylmalonic acid,0.585556607,3.23E-07,0.36505632,0.806056894,-0.193777141,0.179557722,-0.47731529,0.089761008,-0.871419732,1.50E-06,-1.215074157,-0.527765307
Benzoic acid,1.46711587,4.85E-40,1.279916568,1.654315172,0.55760645,1.34E-08,0.370446746,0.744766154,-0.955246184,2.47E-07,-1.304390108,-0.60610226
Methyl (R)-4-methyl-2-oxopentanoate,0.442570533,0.000278261,0.205765739,0.679375326,0.150593043,0.240172339,-0.101294497,0.402480584,-0.382894259,0.065803736,-0.791116649,0.025328131
Hydroxyisocaproic acid,0.183137866,0.136299303,-0.05813268,0.424408411,-0.114941685,0.450546817,-0.414464262,0.184580891,-0.375601906,0.039707365,-0.733291523,-0.017912289
Glutarate,0.333121086,0.007209625,0.090811798,0.575430374,-0.161912106,0.300055349,-0.468949068,0.145124856,-0.527557624,0.002908476,-0.871952026,-0.183163221
sinapoyl-(S)-malate,-0.617727385,1.13E-07,-0.841432733,-0.394022037,0.186972876,0.247221489,-0.130488589,0.504434342,0.775777544,3.09E-06,0.459486209,1.092068878
Adenine,1.720255603,1.69E-63,1.563814391,1.876696815,1.169786943,1.95E-30,0.99381002,1.345763865,-0.592877106,1.66E-05,-0.856100066,-0.329654145
Hypoxanthine,-0.698594382,4.22E-09,-0.925767221,-0.471421543,0.196213706,0.217608402,-0.116404337,0.508831749,0.915909978,1.11E-08,0.616612368,1.215207587
Adipic acid,0.654446616,2.30E-08,0.43007189,0.878821341,-0.029079062,0.847430795,-0.326393506,0.268235381,-0.702009231,9.18E-05,-1.047079292,-0.356939169
Mevalonic acid,0.600324548,4.49E-07,0.371336679,0.829312418,-0.689702088,1.20E-05,-0.994021844,-0.385382333,-1.311346151,1.44E-20,-1.550739786,-1.071952517
Xanthine,0.295808974,0.010912632,0.068538559,0.523079389,0.451886583,0.002805418,0.156951931,0.746821235,0.185052608,0.283664414,-0.154764062,0.524869279
Dopamine,-0.228105633,0.056543361,-0.462607926,0.00639666,0.132924952,0.410674816,-0.18471128,0.450561184,0.363758608,0.031373416,0.032943915,0.6945733
Orotic acid,0.275225081,0.029308993,0.027886112,0.522564049,0.375344506,0.016778954,0.068286766,0.682402246,0.090830795,0.602792402,-0.253307778,0.434969367
Aminoadipic acid,-0.667071264,2.04E-08,-0.89490164,-0.439240887,-0.32267318,0.0191983,-0.592323757,-0.053022603,0.281902297,0.148097416,-0.101238746,0.66504334
Enol-phenylpyruvate,-0.497810581,1.38E-05,-0.719480789,-0.276140374,0.709802568,5.80E-06,0.407864836,1.0117403,1.17843296,3.59E-13,0.886319498,1.470546422
Phosphoenolpyruvic acid,-0.172030709,0.164253861,-0.414825441,0.070764022,0.005962878,0.969255453,-0.298385088,0.310310845,0.125278165,0.492070941,-0.234131818,0.484688148
Homogentisic acid,0.26391773,0.031569937,0.023461466,0.504373994,0.13721121,0.403121879,-0.185424278,0.459846697,-0.195546996,0.246928234,-0.527944684,0.136850693
Uric acid,-0.002759788,0.98053826,-0.22520047,0.219680894,0.090944239,0.561599786,-0.217167277,0.399055756,0.077859481,0.690211839,-0.307369263,0.463088226
