Element,pvalue,Value,the rank of iterations
Maleic acid,0.030382822,-1.638071833,1
Maleic acid,0.030382822,-1.904828748,2
Maleic acid,0.030382822,-1.411134148,3
Maleic acid,0.030382822,-1.84350656,4
Maleic acid,0.030382822,-2.427376995,5
Maleic acid,0.030382822,-1.34592067,6
Maleic acid,0.030382822,-1.037978073,7
Maleic acid,0.030382822,-2.375778968,8
Maleic acid,0.030382822,-2.098146458,9
Maleic acid,0.030382822,-1.608219763,10
Maleic acid,0.030382822,-1.126537505,11
Maleic acid,0.030382822,-1.086419048,12
Maleic acid,0.030382822,-1.94501702,13
Maleic acid,0.030382822,-1.632472243,14
Maleic acid,0.030382822,-1.886336593,15
Maleic acid,0.030382822,-1.94276639,16
Maleic acid,0.030382822,-1.80720729,17
Maleic acid,0.030382822,-1.49429218,18
Sarcosine,0.030382822,0.737182728,1
Sarcosine,0.030382822,0.849918039,2
Sarcosine,0.030382822,2.007766655,3
Sarcosine,0.030382822,1.696015437,4
Sarcosine,0.030382822,1.332514767,5
Sarcosine,0.030382822,1.830691143,6
Sarcosine,0.030382822,0.561865113,7
Sarcosine,0.030382822,1.088210913,8
Sarcosine,0.030382822,1.803822245,9
Sarcosine,0.030382822,2.440183391,10
Sarcosine,0.030382822,0.74752052,11
Sarcosine,0.030382822,0.877899267,12
Sarcosine,0.030382822,1.360675315,13
Sarcosine,0.030382822,2.143528514,14
Sucrose,0.030382822,-1.641645817,1
Sucrose,0.030382822,-1.79449454,2
Sucrose,0.030382822,-1.807859464,3
Sucrose,0.030382822,-1.681169729,4
Sucrose,0.030382822,-1.663034001,5
Sucrose,0.030382822,-1.659425423,6
Sucrose,0.030382822,-1.453550981,7
Sucrose,0.030382822,-1.572958543,8
Sucrose,0.030382822,-1.440589303,9
Sucrose,0.030382822,-1.4090862,10
Sucrose,0.030382822,-1.277351034,11
Sucrose,0.030382822,-1.621156644,12
Sucrose,0.030382822,-1.403523321,13
Acetamidopropanal,0.030382822,-0.457086045,1
Acetamidopropanal,0.030382822,1.375901773,2
Acetamidopropanal,0.030382822,-0.396677002,3
Acetamidopropanal,0.030382822,-0.657249837,4
Acetamidopropanal,0.030382822,-0.370890877,5
Acetamidopropanal,0.030382822,-0.440429017,6
Acetamidopropanal,0.030382822,-0.65673411,7
Acetamidopropanal,0.030382822,1.939172548,8
Acetamidopropanal,0.030382822,-0.465610523,9
Acetamidopropanal,0.030382822,-0.772518888,10
Acetamidopropanal,0.030382822,-0.39681078,11
Glutarate,0.030382822,-0.85675,1
Glutarate,0.030382822,-0.8575,2
Glutarate,0.030382822,-0.7315,3
Glutarate,0.030382822,-0.7905,4
Glutarate,0.030382822,-0.8615,5
Glutarate,0.030382822,-0.9415,6
Glutarate,0.030382822,-0.71225,7
Glutarate,0.030382822,-0.574,8
Glutarate,0.030382822,-0.77475,9
Glutarate,0.030382822,-0.72925,10
NAD,0.026518722,-1.914896918,1
NAD,0.026518722,-1.738385668,2
NAD,0.026518722,-1.759114078,3
NAD,0.026518722,-1.89700847,4
NAD,0.026518722,-1.998255308,5
NAD,0.026518722,-1.743173765,6
NAD,0.026518722,-2.022434473,7
NAD,0.026518722,-1.773993953,8
NAD,0.026518722,-1.605674233,9
NAD,0.026518722,-1.847936825,10
Melatonin,0.029401048,-1.38661954,1
Melatonin,0.029401048,-1.398993505,2
Melatonin,0.029401048,-1.434644673,3
Melatonin,0.029401048,-1.365359213,4
Melatonin,0.029401048,-1.446157473,5
Melatonin,0.029401048,-1.42663889,6
Melatonin,0.029401048,-1.451373,7
Melatonin,0.029401048,-1.405771648,8
Melatonin,0.029401048,-1.422329808,9
Melatonin,0.029401048,-1.464490273,10
2'-O-Methyladenosine,0.030382822,1.043936039,1
2'-O-Methyladenosine,0.030382822,0.731443399,2
2'-O-Methyladenosine,0.030382822,0.478073659,3
2'-O-Methyladenosine,0.030382822,0.684828251,4
2'-O-Methyladenosine,0.030382822,0.728522339,5
2'-O-Methyladenosine,0.030382822,0.516443987,6
2'-O-Methyladenosine,0.030382822,1.755342124,7
2'-O-Methyladenosine,0.030382822,0.774006211,8
2'-O-Methyladenosine,0.030382822,1.188244829,9
2'-O-Methyladenosine,0.030382822,0.699832882,10
