"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Acetoacetate",-0.0513687417499999,0.48419897425,0.1264025135,-0.54672248325,0.4641106345,0.0408731700000001,0.5245537415,-0.281701998,0.33284297625,0.0887117140000001,-0.4227479835,-0.3424057345,0.0291652840000001,-0.30338036325,-0.0427198719999999,0.53588250975,-0.108709454,0.207560741,0.0631223870000001,0.0645653342500001,0.5468350725,-0.405392585,0.0766819280000001,0.0278321385000001,0.16533898875,0.73405730925,0.25075623225,0.59801292225,-0.0749126034999999,-0.1752867875,-0.0974493339999999,0.82487361875,0.337835682,-0.3251059725,0.2408335965,0.0967688725000001,0.22679062175,-0.375001645,0.275339336,-0.3062342365,-0.0174609957499999,-0.19951651925,0.15997256175,-0.1859415085,0.00846424325000011,-0.149798376,0.42748686225,-0.31923124125,-0.0738424977499999,-0.27509348525,-0.0139957102499999,-0.0145635449999999,0.0301145410000001,0.2886930745,-0.4791468685,0.0304821080000001,0.0585958237500001,0.280920904,-0.19079429675,-0.44495712625,-0.0392810664999999,0.12791173975,-0.407544104,-0.21247947875,0.5734151345,0.34016954275,-0.16839415875,0.1431463795,0.0314208890000001,0.0866226585000001,0.27916055425,0.45761725825,0.197064972,0.17977269375,-0.151641329,-0.0771361034999999,-0.1792910565,-0.0273836537499999,-0.311904866,-0.2167448175,0.1850155285,0.0905337802500001,0.000574423250000108,0.1476226205,-0.1850619075,0.3565752075,0.222632929,0.131295532,0.4367540675,0.192573408,-0.108447141,0.30828534,-0.4456227015,0.0467692267500001,0.43718429675,-0.0146491199999999,-0.224700273,0.0386900435000001,0.16024754025,0.1956652835
"4-Aminobutanoate",-0.7762894535,-0.42177241175,-0.71030059275,-0.9143531035,-0.27339579425,-0.87920847175,-0.78198172525,-0.47378578275,-0.6056309175,-0.930652001,-0.49330589925,-0.94155628525,-0.96525523875,-0.8738871955,-1.053556627,0.02963664325,-0.11256473575,-1.23173491975,-0.81716294975,-0.52344689825,-0.56186725825,-0.6568907155,-0.71016774925,-0.320139824,-0.9015149415,-0.255056891,6.85075000000923e-06,-0.39743475925,-0.81494556875,-0.76882481375,-0.38285043125,-0.0108307335,-0.803822218,-0.80043400075,-0.626203726,-1.03389441,-1.04149758675,-0.557950921,-0.81236991025,-0.778798521,-0.82272730425,-0.69491740875,-0.41672389175,-1.2872973105,-0.37081500175,-0.76912896,-0.09856640175,-0.4120327275,-0.5467290355,-1.2001259035,-0.2660872335,-1.029548097,-1.04760060625,-0.3399876965,-0.9836379995,-1.18203745375,-0.31320630325,-0.87855223725,-0.87137757375,-0.89502639125,-0.517979425,-0.49472951675,-1.0047077685,-0.5966806885,-0.7428389755,-0.9454895455,-0.4574474295,-0.431121262,-0.5905538255,-0.50732338875,-0.441463211,0.16210876075,-0.518188437,-0.4618184175,-1.198131381,-0.509759585,-1.027648002,-0.17922002475,-0.73254936875,-0.44418995125,-0.3782443785,-0.0628007885,-0.77039619025,-0.94399851075,-0.80365309075,0.0509354135,-0.09466299625,-0.15498029425,-0.192567157,-0.42170444025,-0.7609327825,-0.9686453075,-0.80045712625,0.297082906,-0.441218865,-0.25629361475,-0.82093370225,-1.0077809585,-0.58366844275,-0.86747100275
"Malonic acid",-1.0007595385,-0.7255938785,-0.48655773875,-0.8982334715,0.1254684855,-0.67969869525,-0.55382521675,-0.508836268,-0.30311988375,-0.88780930525,-0.566107877,-0.397583336,-0.79852545725,-0.467276807,-0.522150515,-0.232138675,-0.5015680145,-0.3330347745,-0.62869075025,-0.53885427475,-0.4773332995,-0.9624283365,-1.321040757,0.2169587045,-0.719399575,0.2450503255,0.14586457625,0.00877491875000003,-0.94339912125,-1.1404899825,-0.5026033325,-0.0703917175,-0.33551703325,-0.55852326925,-0.0434748985,-0.5165064745,-0.62958978575,-0.681537028,-0.5168897505,-1.07373384875,-0.596607092,-0.704828367,-0.106652774,-0.460202992,-0.581957727,-0.934264746,0.4658807175,-0.54273237925,-0.65781022275,-0.89930616975,-0.747143443,-0.95113845,-0.204380133,-0.89975253725,-0.65844515125,-0.937990087,-0.5970129055,-0.530277811,-0.6916949035,-0.9700424495,-1.1557846505,-0.500493178,-0.535669771,-0.631467217,-0.2063501015,-0.47807463775,-0.88136663475,-0.2211047825,-0.47444094175,-0.26889243925,-0.4343373095,0.251654302,-0.9034471345,-0.90564830325,-0.552951104,-0.824300229,-0.5010768355,-0.70666995625,-0.364209408,-0.67490122,-0.5599922005,0.2231612525,-0.70315559525,-0.93760080625,-1.01466878875,0.31488952125,0.24606580675,-0.2476433495,0.18831185775,-0.720279812,-0.5421156745,-0.349841728,-0.7743416415,0.27583770175,-0.079654081,-0.3355206735,-0.7313951915,-0.7539263245,-0.338388707,-0.45447089425
"3-Hydroxybutyric acid",-0.96590508825,-0.64511888975,-0.396243849,-0.80292953325,0.14451097,-0.6611503835,-0.4954578015,-0.46400151,-0.2745737185,-0.8285611445,-0.47702476775,-0.271073452,-0.7702010045,-0.447602344,-0.381835697,-0.183286311,-0.47707431525,-0.239537175,-0.57507523975,-0.502298239,-0.44626777825,-0.91996328875,-1.25500883075,0.20119458125,-0.66704802475,0.30070811175,0.10882527825,0.062625214,-0.90684536675,-1.16873995625,-0.46616240425,-0.03727098975,-0.280572376,-0.5399573915,0.02426541775,-0.45261234625,-0.505996698,-0.68217296775,-0.482385019,-1.02392130875,-0.5786669475,-0.67726401725,-0.061886358,-0.41695554725,-0.5151447655,-0.9145284015,0.4860046285,-0.53002331375,-0.5310403435,-0.846925668,-0.71565787525,-0.86170867425,-0.21740594725,-0.8185436745,-0.646091341,-0.878951156,-0.555592361,-0.4854401095,-0.70187319075,-0.93689873225,-1.121753294,-0.40737831125,-0.51301931025,-0.6044241825,-0.14832401075,-0.32223100825,-0.89513673625,-0.13681081425,-0.40258385825,-0.22172985125,-0.38285430925,0.2967776765,-0.89187354875,-0.8765038125,-0.4960071525,-0.78510763425,-0.449522671,-0.65613667275,-0.29205212,-0.6434184015,-0.52635325125,0.2003836885,-0.70464221875,-0.8554439665,-0.9762242985,0.3578779225,0.31927156675,-0.25473342925,0.21800220225,-0.74825241175,-0.518121445,-0.255827542,-0.80734416125,0.23222203125,-0.01535821975,-0.349536733,-0.69829825725,-0.724808179,-0.23746555125,-0.409497321
"Uracil",0.01290461375,-0.37486004825,-0.38392912575,-0.42583196125,1.0889503295,0.50870057825,-0.028442499,0.48851288225,0.0396115779999999,0.33855458575,-0.06266325575,-0.30161740375,-0.32490424325,-0.2496305475,-0.6213455495,0.83290839225,-0.23352795075,-0.0147095875,-0.297127633,-0.012278671,-0.151269038,-0.49389692275,-0.7113743575,0.5685208425,-0.35414550725,0.52197106875,0.46161941,0.33642358,-0.2854111045,-0.33832117375,0.0157284235,0.330909743,0.21244445575,0.5623816125,0.1795149705,-0.39686423025,-0.53654064825,0.0912649595,0.287074237,-0.536682957,0.43900825675,-0.29893407675,0.36424777725,-0.00231948250000003,-0.39594332275,0.0910148099999999,0.706155054,-0.07472897275,0.055025611,-0.297778647,0.1363011725,-0.801928061,0.10446082075,-0.3864866355,-0.1796272065,-0.364104132,0.54837863025,-0.13631536,-0.0626143085,-0.114520721,-0.41271237075,-0.01464596725,-0.2195894485,-0.1914036595,0.600294821,-0.471745976,-0.1030527875,0.0540611659999999,-0.0334739965,0.293495376,-0.050847608,0.33269798275,-0.14802298825,-0.23703375875,-0.2127614665,-0.1871338985,0.242048937,-0.14212551475,0.0373195055,-0.11731262925,-0.06418901025,0.91426904775,-0.33571069325,-0.758090298,-0.59666946375,0.5575442145,0.40778507375,0.2204014935,1.08199027125,-0.1278536895,0.8284803875,0.0608864502499999,-0.181025859,0.8320104405,0.103868869,0.167843271,-0.2239002945,-0.28408355325,-0.42398609675,0.53032294025
"Maleic acid",-1.6380718325,-1.9048287475,-1.4111341475,-1.4064231125,-0.527336205,-1.4855404575,-1.84350656,-0.26832915,-0.6497315475,-1.38563448,-0.4341161875,-0.17871705,-1.33830155,-0.3583144775,-1.2245444425,-0.487604295,-1.59142915,-0.9155472375,-1.89503252,-1.3146401325,-1.1732586825,-2.427376995,-1.4576575675,-0.7727724275,-1.34592067,-0.3806539175,-0.736226985,-0.526223815,-1.5072062575,-1.5013029775,-0.9042197675,-0.973343895,-0.78632977,-1.021310565,-0.2106847375,-0.4079995175,-1.3249585625,-1.4622320675,-1.0379780725,-1.3755576925,-1.457053295,-0.827105315,-1.62253228,-0.9111123775,-2.3757789675,-2.0981464575,-1.044110045,-1.40176314,-1.6082197625,-1.126537505,-0.272567635,-0.74562182,-1.0864190475,-0.2523116475,-1.1953803775,-1.94501702,-0.7735678625,-1.435974575,-1.6324722425,-1.47145931,-1.3204594625,-1.8863365925,-1.0401792625,-1.94276639,-1.80720729,-0.80186024,-1.000295365,-0.87966112,-0.64512705,-1.3809256925,-0.76959064,-1.3589437375,-0.8819625525,-1.261264885,-1.49429218,-0.8019753125,-1.3128651825,-0.14059061,-0.833618105,-0.353418075,-0.63540838,-0.3976712375,-1.265235735,-0.804394245,-1.467478755,-1.066276015,-0.1250691475,-0.815529705,-0.3856458925,-1.4861880975,-0.9769941425,-0.780238125,-0.891065475,0.1904392075,-1.044597655,-1.49295993,-0.8411827725,-1.0850337775,-1.22678473,-1.9565000175
"N-Acetylglycine",-0.52063438525,-0.3648461625,-0.48527618775,0.4208860485,0.4212733155,-0.38887008475,-0.1264889345,-0.44779143825,0.2469031805,-0.54031884475,0.85064604275,-0.73834920575,-0.298966291,-0.40786122575,-0.71121841725,0.306965369,0.80115375125,-0.468467748,-0.51053683625,-0.42379651875,0.0178691275,-0.45654602575,-0.75688601225,0.7017785605,-0.37878465525,0.20578132075,0.58173184525,0.3568635595,-0.40589913675,-0.26270286425,-0.29821635025,0.33791518225,0.10672916975,-0.341605542,-0.01098828725,-0.75893356425,-0.540807948,-0.058761574,-0.251901682,0.47748181675,-0.505580281,-0.346608394,0.05065182025,-0.64077616475,-0.263571303,-0.57470759375,0.531837185,-0.3392922335,-0.48318687725,-0.3536083385,-0.05922881375,-0.6541982445,-0.14881481825,-0.305463324,-0.194750779,-0.41198706575,-0.205852791,-0.43899814975,-0.37363785375,-0.54414026,-0.229259757,-0.37803035425,-0.45081378275,-0.58663939625,0.21572943275,-0.641024057,-0.424600659,-0.3794196535,0.64166416325,-0.27997719825,-0.39978397675,0.41167097075,-0.3372924505,-0.18869327825,-0.20086404775,-0.1799221385,-0.51088969875,-0.245219354,-0.41187790175,-0.64342199675,-0.115385521,0.16960018725,-0.1901295675,-0.5500147085,0.57255336525,0.45189782425,0.373118063,0.522915019,0.2142642485,-0.20225277775,0.81952521325,-0.44781465025,-0.2077526435,0.65775567725,0.00792092950000004,0.270797115,-0.551387424,-0.2732098155,0.597562476,-0.05957953025
"Guanidoacetic acid",-0.6856356865,-0.54244065125,-0.506267514,-0.63264215725,-0.1361090755,-0.5985731795,-0.3865984165,-0.08320342025,-0.2198965695,-0.74423614875,-0.045118181,-0.08820460475,-0.57220229875,-0.4876648025,-0.59963773825,0.33836221225,-0.5358668285,-0.7026678215,-0.6071109,-0.5694512475,-0.4802999835,-0.5721991295,-0.64738566375,-0.090536503,-0.35898120525,0.08469919025,-0.016547164,0.3597422915,-0.6183755555,-0.574417057,-0.4908839475,0.0743097605,-0.245019961,-0.59881333825,-0.408715517,-0.58925269575,-0.7186094085,0.1807800835,-0.475332971,-0.6698147225,-0.61790375625,-0.58230951275,-0.07643950025,-0.70304883475,-0.45000052025,-0.56510594375,-0.00589524049999997,-0.60461065925,-0.6859679675,-0.61143037025,0.072227107,-0.58755406175,-0.4729329755,0.063336665,-0.7097717085,-0.59494325225,0.06321178725,-0.52189187875,-0.47659667875,-0.62426874075,-0.019149541,-0.5083396775,-0.5729137175,-0.34124312825,-0.50295119925,-0.5651030175,-0.6465871095,-0.52433830675,0.0508918655,-0.5587128075,-0.6404714325,0.12808285825,-0.490428872,0.02483337075,-0.58212757,0.09475319475,-0.70251964075,-0.0483791045,-0.014532877,-0.69767791975,-0.515523084,0.11936567425,-0.43063638675,-0.77305211675,-0.7573245505,0.00702506750000005,-0.136947497,-0.23814863575,-0.11761875125,-0.49711531225,-0.61645361575,-0.65791120025,-0.4783393665,0.67629470325,-0.103217038,-0.01455897375,-0.71187762275,-0.616762602,-0.6131823925,-0.559253013
"2-Hydroxyisovaleric acid",-0.5647146495,-0.3598268265,-0.4371207735,-0.81097796775,-0.13437061175,-0.46258398175,-0.5784532495,-0.666072768,0.0152166214999999,-0.6216418975,-0.53128627825,-0.48453846625,-0.30918296825,-0.945252441,-0.40256513125,-0.214032917,-0.71037244475,-0.470704643,-0.401570022,-0.6157387415,-0.37263425625,-0.50043065125,-0.66370112525,0.15554800025,-0.5037945145,0.11351251375,0.2236268935,0.13076167675,-0.91326968425,-0.31811067325,-0.64833981075,0.155730422,-0.1553876305,-0.40523288325,-0.01256140375,-0.59982113175,-0.36138580925,-0.288429508,-0.627055536,-1.02070793925,-0.4952360735,-0.5440344395,0.10141852125,-0.5476063785,-0.38834685175,-0.4288571245,0.25477101575,-0.5215950975,-0.37388531725,-0.365358786,-0.559149038,-0.63031179075,-0.47180206925,-0.8029670015,-0.58779638325,-0.24315662575,-0.893595245,-0.3182233085,-0.17560078275,-0.907436308,-0.38846939425,-0.383545255,-0.359490596,-0.26522132925,-0.286769753,-0.483500004,-0.73143028225,-0.53776739825,-0.5653280005,-0.53497291725,-0.908122154,0.25348039725,-0.6108405525,-0.52763387025,-0.215182909,-0.60785445475,-0.64470054975,-0.85996136375,-0.34096695,-1.14252535025,-0.51538693475,-0.0482181,-0.410424052,-0.6802059475,-0.6972624235,0.06323184575,0.019198147,0.141928158,-0.1592042485,-0.331884083,-0.86589792875,-0.55699264875,-0.83440755175,-0.10545456275,-0.0176322390000001,-0.0221560130000001,-0.705287668,-0.43976244875,-0.54293074075,-0.49766589475
"Succinic acid",-0.27259868,1.277587509,-0.3879792975,-0.525701183,0.60167108675,-0.2758057025,-0.207459873,-0.40505146775,0.127175758,-0.2466623195,-0.33471773075,-0.51659004175,-0.25988749,-0.2239714905,-0.53521491675,0.33729078,1.3753847035,-0.362485579,-0.31940917675,-0.26845365925,-0.21318535,1.2029265725,-0.3817214415,0.595378208,-0.289835272,0.342016625,0.4779621285,0.2265631865,-0.15653762,-0.205463439,1.36274589125,0.3591090345,0.178087679,-0.22579896375,0.248821556,-0.466418971,-0.50630372,-0.07569767725,-0.1302248495,-0.40635779175,-0.2880306105,-0.30611765375,1.8581679715,-0.26086154075,1.352260055,-0.2227604165,2.19132911925,1.33528232125,1.26095977875,-0.28751605975,-0.29517028325,-0.627733127,-0.020104416,-0.323046313,-0.14639242375,-0.35698379225,-0.01264556525,-0.33391908,-0.169924996,-0.43420218325,-0.4595159515,1.2786225085,-0.330665714,1.35989673625,-0.11928317325,-0.46900055025,-0.38530991775,-0.33613522575,-0.407926796,1.34517688425,-0.1692871905,1.98622228675,-0.1756011115,-0.3524722595,-0.24445361025,-0.29785920625,-0.33850833275,-0.3594811155,1.3427437935,-0.2067346975,-0.346292862,0.51870246975,-0.20797763175,-0.482990016,-0.47501813425,0.52803022225,0.50899309675,0.39489111175,0.493897409,-0.12199109275,-0.21243753175,-0.4626794065,-0.1666594005,0.4622318465,0.21335986725,0.26238359025,-0.40396730425,-0.34423959725,1.15778819125,-0.082996102
