,PRA001,PRA002,PRA003,PRA004,PRA005,PRA006,PRA007,PRA008,PRA009,PRA010,PRA011,PRA012,PRA013,PRA014,PRA015,PRA016,PRA017,PRA018,PRA019,PRA020,PRA021,PRA022,PRA023,PRA024,PRA025,PRA026,PRA027,PRA028,PRA029,PRA030,PRA031,PRA032,PRA033,PRA034,PRA035,PRA036,PRA037,PRA038,PRA039,PRA040,PRA041,PRA042,PRA043,PRA044,PRA045,PRA046,PRA047,PRA048,PRA049,PRA050,PRA051,PRA052,PRA053,PRA054,PRA055,PRA056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetoacetate,0.476654155,0.046450119,-1.551261873,0.322401692,-0.795579406,-1.506967332,0.083707042,-0.5171514,0.437509442,0.328083174,-0.346501114,-0.159092459,-0.232439799,-1.014873645,-0.181482079,0.725388005,0.481847664,-0.101572137,0.442446617,-0.22834234,-0.812883425,-0.499140773,-1.683482392,0.103204605,0.600227365,0.245350187,0.451423488,0.562741108,0.225664352,0.568445037,0.519841246,0.011711987,0.173216192,0.074244204,0.569401289,-0.408405329,0.214940243,0.718674234,-0.392507218,0.378091593,1.029778182,0.266027259,0.414902817,0.682585584,0.508222771,0.273184191,0.489584437,0.513181886,-2.058362789,-0.583861394,0.684596312,0.348904308,-0.267320982,-1.035773062,-2.134660052,-1.30669205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aminobutanoate,0.479921951,-0.130238545,-2.174070751,0.286732673,0.485657292,0.46901499,1.391659226,-2.067096331,1.529248585,1.852563134,0.430261618,0.778268625,0.453282359,-2.564506761,-0.564253973,0.908007845,1.103038716,-0.735089452,1.07312694,0.621237016,0.43561477,0.297928937,-0.851907191,1.05718664,1.508134166,-0.042375701,-0.207455917,-0.25203743,0.519464595,0.035809158,0.977219879,-0.571682348,-0.681730176,0.552343955,0.842644334,0.538409377,1.311466947,0.867883096,-0.022743221,0.725249226,0.731144352,0.923815749,-0.19343075,0.439566106,1.311954048,0.285261933,0.404838449,0.330841691,-2.146210273,0.183030896,-0.003351213,0.610750328,-0.524656167,0.449909383,-1.593205372,0.42763668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malonic acid,0.65502934,0.786862058,-2.846586083,0.261627344,-0.251127951,-0.307226302,0.01739296,-2.780561426,-0.136236016,0.115137473,0.177279243,1.457898569,0.162003837,-1.392097306,-0.615863693,-0.156180309,0.837308481,0.691283474,-0.266341975,0.222816271,0.965015969,0.724570452,-1.659902452,0.079903302,0.187020188,0.487862033,0.192685645,0.487579444,-0.20040553,0.37968281,0.463808021,-0.338955431,0.358882484,1.125532156,-0.082257363,1.228159771,0.503651836,1.141319478,-0.238156137,-0.107715206,1.956074283,0.340769063,1.158139751,0.038954405,0.813530719,0.637512471,0.327737302,1.054485144,-3.305794615,0.594286303,0.654571964,-0.087038589,0.551079734,0.425250046,-2.358958563,-0.420404294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Hydroxybutyric acid,0.691166282,0.903589997,-2.697977407,0.288943743,-0.216756678,-0.351090087,-0.046709135,-2.717623283,-0.19357417,0.100390759,0.202065632,1.48827598,0.118646544,-1.088400178,-0.573916236,-0.189861644,0.846619871,0.77733121,-0.161844384,0.162731885,0.902898598,0.707948284,-1.677464603,0.059943555,0.306061582,0.549712361,0.253270591,0.626920067,-0.188240403,0.445022411,0.509868754,-0.416271184,0.391067079,1.158342236,-0.043500034,1.236941559,0.544816469,1.141317353,-0.138761904,-0.353085962,1.98033268,0.283667095,1.193118428,-0.007904846,0.822257445,0.627021992,0.27832113,1.089497,-3.209103028,0.53088114,0.655227176,-0.092753077,0.492259051,0.384741914,-2.2185662,-0.500775464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uracil,0.110867779,-0.24089962,-2.881724417,0.343039781,-0.796284736,-0.154992306,0.794145084,-2.088305997,-0.393457692,-0.421297925,-2.911174449,0.092018325,-1.492348617,-4.242557821,-0.70934085,0.26012952,0.190025611,-0.517685805,-0.378072125,0.28780231,0.008958026,-1.366447414,-1.669645326,-1.026000486,-0.101651999,0.032840805,-0.968486457,-0.562644358,-0.531526278,-0.025607666,-0.277243102,-0.234763642,-0.609209267,0.370787611,-0.513352337,-0.859205917,-0.784789543,0.60735632,-0.331639001,-0.094459014,-0.194245445,-1.140486936,-0.264511887,0.08944319,0.358099967,-0.041776863,-1.092608827,0.577427573,-2.596515425,0.348944969,0.75457262,-0.312990735,-1.146281636,-0.464933963,-1.960607419,-0.331110696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maleic acid,-0.66503188,-0.77064236,-2.35546368,0.47829218,1.25661444,0.99965838,-0.99639086,-1.89265305,-0.84021789,-0.27345664,1.20965076,1.64449067,-0.24589226,-1.5020221,-1.48583864,-0.26374151,-0.23431241,1.40723915,-0.5657199,-0.95913721,-0.45963147,-0.8652377,-1.68724885,-0.09491307,-0.76399338,1.71187724,-0.90651562,-0.85676017,-0.54339458,-0.58119268,1.39911456,1.38220458,-1.10059911,1.53054202,-0.15840869,-0.31401381,1.22951735,1.23110534,-0.23830319,-0.51446542,-0.83400812,-0.50110628,1.05759566,0.22340858,-1.07177362,-0.65660351,1.13244597,0.84648208,-1.6380669,-0.6379271,-0.87550828,1.81250603,-0.29733515,-0.63195205,-2.2974245,1.01138723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-Acetylglycine,0.823782641,-0.097758259,-2.762334717,0.145310459,-0.117132382,-0.150769439,0.924762151,-2.309832018,1.251373887,0.423337619,-0.252954515,0.255997656,0.396470583,-2.888870392,0.13040111,-0.226265336,0.234190282,-0.598724546,-0.012009275,0.112440676,0.558534908,0.456634249,-1.525784673,0.101461016,-0.007165762,-0.061365622,0.317559028,-0.100868518,0.525487967,0.247479384,-0.064747427,0.147037846,-0.355980639,0.722838441,-0.588494416,-0.032026632,1.059144079,0.839312349,0.119320417,0.95149853,0.728217435,0.504390407,0.739257872,0.85895104,0.822685474,-3.59135054,0.874771116,0.399946145,-1.613496602,0.725115457,0.36158885,0.045100075,0.077486262,1.071675687,-1.924763812,-0.052442255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanidoacetic acid,0.623739216,0.325863146,-1.853201606,0.498887277,0.345213096,0.394913267,0.805500051,-1.649953505,0.689032572,0.762993869,0.465197446,0.653267984,0.692488537,-2.270659595,0.031329935,-0.014146271,0.577480757,-0.176501322,0.196730221,0.463993839,0.275683444,0.789425165,-0.825622352,0.418872012,0.964075487,0.459131908,0.722546522,0.435549887,0.274979348,0.225249545,0.375808297,0.377359017,-2.162470536,0.730590291,0.602005255,0.635765843,-0.013003547,0.413822327,0.19557813,0.629539746,0.477354166,0.504708976,0.498438593,0.923647989,0.572449974,0.720181673,0.718162892,0.474200086,-1.782414359,0.778230007,0.593498254,0.511681312,0.71497032,-2.538797954,-1.411311813,0.158472243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Hydroxyisovaleric acid,1.171131778,0.162479769,-1.802245756,0.576363287,0.192928354,0.233518993,0.573192625,-2.206293297,0.34698484,0.247650293,0.661831245,0.04750484,0.745856853,-2.625321064,0.415929812,0.088209852,0.326365706,-0.558000396,0.652614628,0.66987966,0.68509206,0.730491592,-1.662595863,0.868210173,0.895335168,0.76506324,0.913069509,1.053360147,1.055653449,1.109767293,1.119673783,0.110852797,0.426649621,0.178113207,-0.064390027,0.506334262,-0.205335051,0.361352569,0.562284753,0.35959653,1.320226774,0.893138099,0.537304512,1.260320475,0.683364692,1.17155874,0.66675161,0.021618931,-2.33991365,1.198516416,0.315051416,0.670405278,1.627128891,0.115952541,-1.80466101,0.084388552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Succinic acid,0.580885273,0.09939842,-2.386197254,0.446633204,0.040138143,0.431095245,0.933791426,-2.187632924,0.69331093,0.262216219,0.110383704,0.57604166,0.444201859,-3.154744887,0.001292909,0.29879401,0.462804116,-0.301755136,0.054576786,0.815213994,0.515087012,0.880571345,-1.42143107,0.492338758,0.792293358,0.149651673,0.660826222,0.086717696,-0.021685689,0.44083432,0.464881525,-6.148369183,0.354971262,0.624941292,0.125920932,0.514145045,0.205351244,0.779944478,0.256590918,0.617390951,0.515931838,0.202965644,0.611611092,1.038150356,0.879013531,0.77369218,0.576870774,0.642718626,-1.879933599,0.140017386,1.09319015,0.835354624,1.069779681,0.100345281,-1.863031675,0.342837214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
