Metabolite,Significant_Count,
Acetoacetate,0,
4-Aminobutanoate,0,
Malonic acid,0,
3-Hydroxybutyric acid,0,
Uracil,0,
Maleic acid,19,down in converter
N-Acetylglycine,0,
Guanidoacetic acid,0,
2-Hydroxyisovaleric acid,0,
Succinic acid,0,
Methylmalonic acid,0,
Benzoic acid,0,
Methyl-4-methyl-2-oxopentanoate,1,
2-Hydroxyisocaproate,0,
Glutarate,10,down in converter
Malate,0,
Adenine,0,
Hypoxanthine,9,
Adipic acid,0,
Mevalonic acid,0,
Xanthine,2,
Dopamine,0,
Orotic acid,0,
Aminoadipic acid,3,
Phenylpyruvate,0,
Phosphoenolpyruvic acid,0,
Homogentisic acid,0,
Uric acid,0,
Dihydroxyacetone phosphate,2,
Glyceraldehyde 3-phosphate,0,
Shikimic acid,2,
Citrulline,0,
Hippuric acid,0,
Myo-Inositol,0,
Lactose,0,
4-Hydroxyphenylpyruvic acid,0,
4-Pyridoxic acid,0,
2-Phosphoglyceric acid,0,
Azelaic acid,0,
4-Hydroxy-2-quinolinecarboxylic acid,0,
Glucuronic acid,0,
Indoxyl sulfate,0,
Pantothenic acid,0,
Cystathionine,0,
3-Nitrotyrosine,4,
Myristic acid,0,
Ribose 5-phosphate,0,
Biotin,0,
Fructose 6-phosphate,0,
Glucose 6-phosphate,0,
Heptadecanoic acid,0,
Linolenate,0,
Alpha-Linolenic acid,0,
Xanthosine,0,
Argininosuccinic acid,3,
13-HODE,0,
Arachidonic acid,0,
dCMP,0,
Glutathione,0,
N-Acetylneuraminic acid,0,
12-HETE,0,
5-Thymidylic acid,0,
Cytidine monophosphate,0,
"Glucose 1,6-bisphosphate",0,
"Fructose 1,6-bisphosphate",0,
Alpha-Lactose,1,
Sucrose,13,down in converter
"3',5'-Cyclic GMP",0,
Gibberellin A3,0,
Adenosine monophosphate,0,
Inosinic acid,0,
Prostaglandin E2,0,
Orotidylic acid,0,
S-Adenosylhomocysteine,0,
Uridine 5'-diphosphate,0,
Adenosine 5'-diphosphate,1,
Folic acid,0,
Guanosine 5'-diphosphate,0,
5-Methyltetrahydrofolic acid,0,
Glycocholic acid,2,
Adenosine 5'-triphosphate,8,
Taurocholic acid,0,
Oxidized glutathione,0,
NAD,11,down in converter
Lactic acid,0,
Fumarate,0,
Citraconic acid,0,
Allantoin,0,
Aconitic acid,0,
Citric acid,0,
Chenodeoxycholic acid glycine conjugate,1,
Malondialdehyde,0,
2-Methylpropanoate,0,
Glyceric acid,0,
Alpha-Ketoisovaleric acid,0,
Methylsuccinic acid,0,
Oxalacetic acid,0,
Oxoglutaric acid,0,
2-Hydroxyglutarate,0,
Fructose,0,
Glucose 1-phosphate,5,
Geranyl-PP,0,
Adenylsuccinic acid,0,
Glycerol 3-phosphate,0,
Glyceraldehyde,0,
Pyruvic acid,0,
Methyl-3-methyl-2-oxopentanoate,0,
Isocitric acid,0,
Homovanillic acid,0,
Trimethylamine,0,
Glycine,0,
Trimethylamine N-oxide,3,
Sarcosine,14,up in converter
Alanine,0,
Cadaverine,0,
3-Aminoisobutyric acid,0,
Choline,0,
Dimethylglycine,1,
Serine,0,
Cytosine,2,
Creatinine,0,
Proline,0,
5-Aminopentanoic acid,0,
Betaine,0,
Valine,1,
Indole,3,
Homoserine,0,
Threonine,0,
Cysteine,0,
Niacinamide,0,
Taurine,0,
Pyroglutamic acid,0,
Pipecolic acid,0,
N-Acetylputrescine,0,
Creatine,0,
4-Hydroxyproline,0,
5-Aminolevulinic acid,1,
Isoleucine,1,
Leucine,0,
Ornithine,0,
Asparagine,6,
Homocysteine,2,
N-Methylnicotinamide,0,
Tyramine,0,
4-Acetamidobutanoic acid,0,
Spermidine,0,
Glutamine,0,
Lysine,1,
Glutamate,0,
Methionine,0,
Histidine,0,
Tryptamine,0,
Carnitine,0,
Phenylalanine,0,
1-Methyl-histidine,0,
Arginine,4,
Indoleacetic acid,1,
Glucosamine,4,
Tyrosine,0,
N8-Acetylspermidine,0,
Acetylcarnitine,0,
Tryptophan,0,
Indolelactic acid,0,
Kynurenine,0,
3-Hydroxy-kynurenin,2,
Melatonin,10,down in converter
Cystine,1,
Cytidine,0,
N1-Acetylspermine,0,
Uridine,1,
Adenosine,1,
Inosine,3,
6-Methyladenosine,10,up in converter
Guanosine monophosphate,0,
S-Adenosylmethionine,0,
Alpha-Tocopherol,0,
Bilirubin,0,
1-Methyladenosine,0,
Serotonin,0,
Xanthurenic acid,1,
4-Trimethylammoniobutanoic acid,0,
Epinephrine,0,
Indolepyruvate,0,
1-Methylguanosine,0,
Normetanephrine,2,
