"","ID","p_DAS28CRP_lm","beta_DAS28CRP_lm","DAS28CRP_lm"
"Acetoacetate","Acetoacetate",0.654597080806975,-0.0399463420807979,"n.s."
"3-Aminobutanoic acid","3-Aminobutanoic acid",0.409249241873617,-0.0751897998945798,"n.s."
"Malonic acid","Malonic acid",0.457175748917593,-0.0645560125433256,"n.s."
"(R)-3-Hydroxybutyric acid","(R)-3-Hydroxybutyric acid",0.492962182076535,-0.0586442285508629,"n.s."
"Uracil","Uracil",0.522061552754236,-0.058495322406183,"n.s."
"Maleic acid","Maleic acid",0.211028945470343,-0.116117724318068,"n.s."
"Acetylglycine","Acetylglycine",0.2042982920268,-0.121573333989944,"n.s."
"Guanidoacetic acid","Guanidoacetic acid",0.162255252479475,-0.12656737215977,"n.s."
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid",0.233381686461683,-0.113990261356288,"n.s."
"Succinic acid","Succinic acid",0.12300387656008,-0.146055837646444,"n.s."
"Methylmalonic acid","Methylmalonic acid",0.759551873224965,-0.0292644330374041,"n.s."
"Benzoic acid","Benzoic acid",0.573820086400209,-0.0885146263163968,"n.s."
"Methyl (R)-4-methyl-2-oxopentanoate","Methyl (R)-4-methyl-2-oxopentanoate",0.918550020661051,-0.0113493991726019,"n.s."
"Hydroxyisocaproic acid","Hydroxyisocaproic acid",0.344341355135311,-0.0836838531457564,"n.s."
"Glutarate","Glutarate",0.350870548528425,-0.0803828261259931,"n.s."
"sinapoyl-(S)-malate","sinapoyl-(S)-malate",0.121484234894079,-0.132318616338276,"n.s."
"Adenine","Adenine",0.747818119797465,-0.0503472632977037,"n.s."
"Hypoxanthine","Hypoxanthine",0.919590431455733,0.00864398784876487,"n.s."
"Adipic acid","Adipic acid",0.902891544360938,-0.0115081207410663,"n.s."
"Mevalonic acid","Mevalonic acid",0.00362467056964206,-0.234904882785594,"negative"
"Xanthine","Xanthine",0.857987780702456,-0.0164645542408096,"n.s."
"Dopamine","Dopamine",0.43805165241233,0.0659331658099933,"n.s."
"Orotic acid","Orotic acid",0.431028663831392,-0.0672021906266893,"n.s."
"Aminoadipic acid","Aminoadipic acid",0.688948530753617,-0.0415805180852525,"n.s."
"Enol-phenylpyruvate","Enol-phenylpyruvate",0.183632218244264,-0.117556991785966,"n.s."
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid",0.616468998686834,-0.044478746585461,"n.s."
"Homogentisic acid","Homogentisic acid",0.880555502066146,-0.0124967556450112,"n.s."
"Uric acid","Uric acid",0.85337673109142,0.0178590750577123,"n.s."
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",0.722473129779228,-0.033400822190235,"n.s."
"D-Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate",0.314649835667609,-0.0927036068968799,"n.s."
"Shikimic acid","Shikimic acid",0.584020848755276,-0.0509798235611911,"n.s."
"Citrulline","Citrulline",0.534519537423761,-0.0517949162357999,"n.s."
"Hippuric acid","Hippuric acid",0.836933602907798,-0.0170097405082419,"n.s."
"myo-Inositol","myo-Inositol",0.617635724704704,-0.0434546892671985,"n.s."
"lactose","lactose",0.38540936867779,-0.0781931843746,"n.s."
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid",0.0446355923419015,-0.190637521071614,"negative"
"4-Pyridoxic acid","4-Pyridoxic acid",0.200100033997898,-0.123044347251473,"n.s."
"2-Phosphoglyceric acid","2-Phosphoglyceric acid",0.925079098956961,-0.00920980418155856,"n.s."
"Azelaic acid","Azelaic acid",0.200774869699054,-0.139143583977978,"n.s."
"4,6-Dihydroxy-2-quinolinecarboxylic acid","4,6-Dihydroxy-2-quinolinecarboxylic acid",0.289900785468312,-0.0930649972509768,"n.s."
"D-Glucuronic acid","D-Glucuronic acid",0.28480494050603,-0.096909485028026,"n.s."
"Indoxyl sulfate","Indoxyl sulfate",0.974596493447894,0.00274895419393045,"n.s."
"Pantothenic acid","Pantothenic acid",0.247031835343307,-0.105626654317012,"n.s."
"L-Cystathionine","L-Cystathionine",0.0352294836330776,-0.178117070928107,"negative"
"3-Nitrotyrosine","3-Nitrotyrosine",0.272885452789842,-0.09824874614884,"n.s."
"Myristic acid","Myristic acid",0.066086133310777,-0.18318835317851,"n.s."
"D-Ribose 5-phosphate","D-Ribose 5-phosphate",0.0849996108809721,-0.153516038951519,"n.s."
"Biotin","Biotin",0.0494930377885531,-0.189961700115592,"negative"
"Fructose 6-phosphate","Fructose 6-phosphate",0.306467411642569,-0.121444907191037,"n.s."
"Glucose 6-phosphate","Glucose 6-phosphate",0.39002877887789,-0.0968912255440309,"n.s."
"Heptadecanoic acid","Heptadecanoic acid",0.411534529838917,-0.077035184398963,"n.s."
"Linoelaidic acid","Linoelaidic acid",0.180502693578047,-0.127965763833627,"n.s."
"Alpha-Linolenic acid","Alpha-Linolenic acid",0.261651692284257,-0.104226739544138,"n.s."
"Xanthosine","Xanthosine",0.0552596790892286,-0.151222599523139,"n.s."
"Argininosuccinic acid","Argininosuccinic acid",0.673174540809896,-0.0352421430615175,"n.s."
"13-HODE","13-HODE",0.361260486863555,-0.174278640885033,"n.s."
"Arachidonic acid","Arachidonic acid",0.364421403074864,-0.122823881427769,"n.s."
"dCMP","dCMP",0.463317457116964,-0.0710373356608924,"n.s."
"Glutathione","Glutathione",0.407064092680138,0.0744746074726369,"n.s."
"N-Acetylneuraminic acid","N-Acetylneuraminic acid",0.893291690109148,-0.0135920669352761,"n.s."
"Tetranor 12-HETE","Tetranor 12-HETE",0.47704366111586,-0.20629123690673,"n.s."
"5-Thymidylic acid","5-Thymidylic acid",0.467838743228312,0.0609519426720419,"n.s."
"Cytidine monophosphate","Cytidine monophosphate",0.0605286782916498,-0.171653137547006,"n.s."
"Alpha-D-Glucose 1,6-bisphosphate","Alpha-D-Glucose 1,6-bisphosphate",0.28271711146903,-0.102180698367891,"n.s."
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",0.950164708561195,-0.00589702850315756,"n.s."
"Alpha-Lactose","Alpha-Lactose",0.421740045254308,-0.075726937850045,"n.s."
"Sucrose","Sucrose",0.385407536719237,-0.0797691463751981,"n.s."
"Cyclic GMP","Cyclic GMP",0.47981504188387,-0.0632593683843715,"n.s."
"Gibberellin A3","Gibberellin A3",0.794729377069657,0.0294017728311451,"n.s."
"Adenosine monophosphate","Adenosine monophosphate",0.815077055889278,0.0215786356613698,"n.s."
"Inosinic acid","Inosinic acid",0.792522852955628,-0.0239150570797998,"n.s."
"Prostaglandin E2","Prostaglandin E2",0.264244855973418,-0.273669198290059,"n.s."
"Orotidylic acid","Orotidylic acid",0.922582095882274,0.0109121809309382,"n.s."
"S-Adenosylhomocysteine","S-Adenosylhomocysteine",0.470126900199308,0.0593189875030454,"n.s."
"Uridine 5'-diphosphate","Uridine 5'-diphosphate",0.0227150321457054,-0.244286060811504,"negative"
"ADP","ADP",0.484679100684443,-0.0702215040861523,"n.s."
"Folic acid","Folic acid",0.350066573184213,-0.0825021649752011,"n.s."
"Guanosine diphosphate","Guanosine diphosphate",0.0244477939825655,-0.192843061787455,"negative"
"5-Methyltetrahydrofolic acid","5-Methyltetrahydrofolic acid",0.471235064349132,-0.0635362006727658,"n.s."
"Glycocholic acid","Glycocholic acid",0.0365774060774583,-0.182559950933247,"negative"
"Adenosine triphosphate","Adenosine triphosphate",0.300905199584458,-0.119877982238763,"n.s."
"Taurocholic acid","Taurocholic acid",0.640024215339906,-0.0401412519794037,"n.s."
"Oxidized glutathione","Oxidized glutathione",0.895811813614034,-0.0201059459960715,"n.s."
"NAD","NAD",0.697163824757332,0.0384528897258336,"n.s."
"L-Lactic acid","L-Lactic acid",0.140332095211928,-0.145699821099014,"n.s."
"Dimethyl fumarate","Dimethyl fumarate",0.406660227154592,-0.0660362253258849,"n.s."
"Citraconic acid","Citraconic acid",0.15979530505833,-0.128738722397438,"n.s."
"Allantoin","Allantoin",0.382658414599927,-0.0862272541172265,"n.s."
"cis-Aconitic acid","cis-Aconitic acid",0.0230475945993141,-0.193670350248605,"negative"
"Citric acid","Citric acid",0.00320021374083193,-0.234779701424191,"negative"
"Chenodeoxycholic acid glycine conjugate","Chenodeoxycholic acid glycine conjugate",0.196600377568843,-0.120960563869129,"n.s."
"Malondialdehyde","Malondialdehyde",0.194845558551263,-0.146957745776093,"n.s."
"Phenylmethyl 2-methylpropanoate","Phenylmethyl 2-methylpropanoate",0.976649038687033,0.00281278997446503,"n.s."
"Glyceric acid","Glyceric acid",0.202498413968657,-0.125153481857023,"n.s."
