"metabolic","nonNA_H","detected_H","nonNA_M","detected_M","nonNA_L","detected_L","nonNA_D","detected_D","NA_test_pvalue","NA_test_used"
"Acetoacetate",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Aminobutanoate",28,1,95,1,45,1,41,1,1,"Fisher"
"Malonic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"3-Hydroxybutyric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Uracil",28,1,95,1,45,1,41,1,1,"Fisher"
"Maleic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"N-Acetylglycine",28,1,95,1,45,1,41,1,1,"Fisher"
"Guanidoacetic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"2-Hydroxyisovaleric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Succinic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Methylmalonic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Benzoic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Methyl-4-methyl-2-oxopentanoate",27,0.964285714285714,95,1,45,1,39,0.951219512195122,0.055737359513114,"Fisher"
"2-Hydroxyisocaproate",28,1,95,1,45,1,41,1,1,"Fisher"
"Glutarate",28,1,95,1,45,1,41,1,1,"Fisher"
"Malate",28,1,95,1,45,1,41,1,1,"Fisher"
"Adenine",28,1,95,1,45,1,41,1,1,"Fisher"
"Hypoxanthine",28,1,95,1,45,1,41,1,1,"Fisher"
"Adipic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Mevalonic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Xanthine",28,1,95,1,45,1,41,1,1,"Fisher"
"Dopamine",17,0.607142857142857,55,0.578947368421053,27,0.6,19,0.463414634146341,0.52749017565713,"Chi-square"
"Orotic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Aminoadipic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Phenylpyruvate",28,1,95,1,45,1,41,1,1,"Fisher"
"Phosphoenolpyruvic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Homogentisic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Uric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Dihydroxyacetone phosphate",28,1,95,1,45,1,41,1,1,"Fisher"
"Glyceraldehyde 3-phosphate",28,1,95,1,45,1,41,1,1,"Fisher"
"Shikimic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Citrulline",28,1,95,1,45,1,41,1,1,"Fisher"
"Hippuric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Myo-Inositol",28,1,95,1,45,1,41,1,1,"Fisher"
"Lactose",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Hydroxyphenylpyruvic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Pyridoxic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"2-Phosphoglyceric acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Azelaic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"4-Hydroxy-2-quinolinecarboxylic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Glucuronic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Indoxyl sulfate",28,1,95,1,45,1,41,1,1,"Fisher"
"Pantothenic acid",28,1,95,1,45,1,41,1,1,"Fisher"
"Cystathionine",28,1,95,1,45,1,41,1,1,"Fisher"
