,Metabolite,Estimate,CI_lower,CI_upper,p_value,sig
Acetoacetate,Acetoacetate,-0.037887925,-0.143920967,0.068145118,0.48370822,not sig
4-Aminobutanoate,4-Aminobutanoate,-0.078613701,-0.203540697,0.046313294,0.217432839,not sig
Malonic acid,Malonic acid,-0.064601667,-0.175557077,0.046353742,0.253798123,not sig
3-Hydroxybutyric acid,3-Hydroxybutyric acid,-0.0611054,-0.170847689,0.04863689,0.275121567,not sig
Uracil,Uracil,-0.044176941,-0.161702314,0.073348432,0.46127447,not sig
Maleic acid,Maleic acid,-0.079098003,-0.184433541,0.026237536,0.141076845,not sig
N-Acetylglycine,N-Acetylglycine,-0.076665956,-0.18685683,0.033524917,0.172667775,not sig
Guanidoacetic acid,Guanidoacetic acid,-0.098846594,-0.200080875,0.002387687,0.055649306,not sig
2-Hydroxyisovaleric acid,2-Hydroxyisovaleric acid,-0.087954943,-0.197874864,0.021964979,0.116802064,not sig
Succinic acid,Succinic acid,-0.099840822,-0.215742926,0.016061281,0.091336291,not sig
Methylmalonic acid,Methylmalonic acid,-0.047929165,-0.150520921,0.05466259,0.359835039,not sig
Benzoic acid,Benzoic acid,-0.028983554,-0.085563566,0.027596458,0.315366399,not sig
Methyl-4-methyl-2-oxopentanoate,Methyl-4-methyl-2-oxopentanoate,-0.02208091,-0.133359543,0.089197723,0.697334677,not sig
2-Hydroxyisocaproate,2-Hydroxyisocaproate,-0.080277608,-0.196278524,0.035723309,0.174970651,not sig
Glutarate,Glutarate,-0.077821523,-0.185169768,0.029526723,0.155348373,not sig
Malate,Malate,-0.102349497,-0.209062051,0.004363058,0.060126712,not sig
Adenine,Adenine,-0.025755944,-0.097591448,0.046079559,0.482218061,not sig
Hypoxanthine,Hypoxanthine,0.00872551,-0.107495656,0.124946676,0.883013251,not sig
Adipic acid,Adipic acid,-0.013184876,-0.128111578,0.101741826,0.822088601,not sig
Mevalonic acid,Mevalonic acid,-0.184439262,-0.294087299,-0.074791224,0.000977509,sig
Xanthine,Xanthine,-0.019481402,-0.121398452,0.082435649,0.707918415,not sig
Dopamine,Dopamine,0.062704947,-0.045366844,0.170776739,0.25544519,not sig
Orotic acid,Orotic acid,-0.044177379,-0.158689777,0.070335019,0.449563911,not sig
Aminoadipic acid,Aminoadipic acid,-0.042755355,-0.149185029,0.063674318,0.431059999,not sig
Phenylpyruvate,Phenylpyruvate,-0.074416812,-0.205742786,0.056909163,0.266719827,not sig
Phosphoenolpyruvic acid,Phosphoenolpyruvic acid,-0.050695732,-0.170354116,0.068962652,0.406315909,not sig
Homogentisic acid,Homogentisic acid,-0.025444124,-0.148907104,0.098018857,0.686263713,not sig
Uric acid,Uric acid,0.007284745,-0.088386317,0.102955807,0.881363006,not sig
Dihydroxyacetone phosphate,Dihydroxyacetone phosphate,-0.033794216,-0.152483248,0.084894816,0.576797306,not sig
Glyceraldehyde 3-phosphate,Glyceraldehyde 3-phosphate,-0.072075022,-0.181158874,0.03700883,0.195309303,not sig
Shikimic acid,Shikimic acid,-0.070515686,-0.176663633,0.035632261,0.192896682,not sig
Citrulline,Citrulline,-0.038153245,-0.141827528,0.065521039,0.470724373,not sig
Hippuric acid,Hippuric acid,-0.036247761,-0.153264246,0.080768724,0.543756739,not sig
Myo-Inositol,Myo-Inositol,-0.041631744,-0.16167078,0.078407292,0.496653888,not sig
Lactose,Lactose,-0.076466738,-0.186433067,0.033499591,0.172909167,not sig
4-Hydroxyphenylpyruvic acid,4-Hydroxyphenylpyruvic acid,-0.119652347,-0.226254611,-0.013050083,0.027811142,sig
4-Pyridoxic acid,4-Pyridoxic acid,-0.091765631,-0.202250142,0.01871888,0.103540523,not sig
