Metabolites,The Wilcoxon Test (Table S4C),,,Correlation Analysis,,,,,,,,
,Compare Groups,p value,log10(fold change),VAS_correlation,VAS_p value,TJC_correlation,TJC_p value,SJC_correlation,SJC_p value,CRP_correlation,CRP_p value,
Benzoic acid,low activity vs. moderate activity,0.041891699,0.041891699,-0.075995863,-0.045784128,0.591163934,0.156791484,0.064312296,0.002782084,0.973975231,0.03747944,0.660196857
Mevalonic acid,clinical remission vs. high activity,0.009115238,0.009115238,1.028787006,-0.345316617,0.003661105,-0.245421042,0.042095248,-0.141426493,0.246394189,-0.304823568,0.010874098
Xanthine,low activity vs. moderate activity,0.049106368,0.049106368,-0.241872751,-0.142634679,0.092733294,0.138416193,0.10290303,-0.075479894,0.375429796,0.073623743,0.387317774
Xanthine,moderate activity vs. high activity,0.020385033,0.020385033,0.298170868,-0.213295612,0.017848993,-0.066922278,0.462065009,-0.128672077,0.156081295,0.031590342,0.728694117
Phenylpyruvate,clinical remission vs. low activity,0.031515065,0.031515065,0.4521878,-0.007507338,0.945306117,-0.148869741,0.171313412,-0.02728462,0.803073804,-0.168744428,0.120391386
Phenylpyruvate,low activity vs. moderate activity,0.014127445,0.014127445,-0.584378327,0.132245769,0.119334381,0.035463028,0.677429651,0.325093161,8.89E-05,0.057421952,0.500380827
Phenylpyruvate,moderate activity vs. high activity,0.04822524,0.04822524,0.38454489,-0.149862011,0.098038781,-0.198321789,0.027883087,0.119742414,0.187102277,0.011792814,0.896995474
Hippuric acid,low activity vs. moderate activity,0.025392624,0.025392624,-0.488554177,0.04380152,0.607345112,0.133627433,0.115488981,-0.016866661,0.843206345,0.142492479,0.093062591
4-Hydroxyphenylpyruvic acid,clinical remission vs. high activity,0.006229746,0.006229746,0.605146116,-0.359613464,0.002406743,-0.203819752,0.092994791,-0.091022768,0.456982326,-0.156867313,0.198018093
4-Hydroxyphenylpyruvic acid,clinical remission vs. moderate activity,0.004778655,0.004778655,0.378960987,-0.174863798,0.041736528,-0.169130494,0.049024058,-0.072904623,0.398958792,0.137847134,0.109516186
4-Hydroxyphenylpyruvic acid,clinical remission vs. low activity,0.016478412,0.016478412,0.402445984,-0.150826552,0.165690548,-0.012434143,0.909533848,-0.093548595,0.391599546,-0.265292548,0.013563235
4-Pyridoxic acid,clinical remission vs. high activity,0.038908998,0.038908998,0.394871631,-0.282133481,0.018839396,-0.167258674,0.169543697,-0.050423131,0.680738158,-0.152644949,0.210514188
4-Pyridoxic acid,clinical remission vs. low activity,0.042637558,0.042637558,0.301072752,-0.121035674,0.266955521,0.092971422,0.394540908,-0.224939067,0.037320603,-0.188225218,0.082646005
Pantothenic acid,low activity vs. moderate activity,0.037189781,0.037189781,-0.205016067,0.037215119,0.662445935,0.079173768,0.352444324,-0.089369289,0.293693239,0.105515012,0.214700301
Pantothenic acid,moderate activity vs. high activity,0.024652539,0.024652539,0.238082817,-0.163269433,0.07117097,-0.121871565,0.179326477,-0.096448689,0.288588906,0.037924354,0.677075786
Cystathionine,clinical remission vs. high activity,0.036602629,0.036602629,0.565761697,-0.348191787,0.003370056,-0.152165438,0.211967786,-0.207401466,0.087269571,-0.233477012,0.053513878
Heptadecanoic acid,clinical remission vs. high activity,0.004538132,0.004538132,0.353164556,-0.24476611,0.042664293,-0.088075431,0.471744156,-0.058025537,0.6357922,-0.163528394,0.179398043
