"","metabolites","compare","p","FC","VAS_correlation","VAS_pvalue","TJC_correlation","TJC_pvalue","SJC_correlation","SJC_pvalue","CRP_correlation","CRP_pvalue"
"1","Benzoic acid","P_LM",0.041891699,-0.075995863,-0.0457841284259877,0.591163934313782,0.156791483726793,0.0643122960624156,0.00278208385663824,0.97397523149601,0.03747943996822,0.660196857149167
"2","Mevalonic acid","P_DH",0.009115238,1.028787006,-0.345316616603408,0.00366110522930466,-0.245421042482514,0.0420952479044726,-0.141426493058382,0.246394189140265,-0.304823568319885,0.0108740978354975
"3","Xanthine","P_LM",0.049106368,-0.241872751,-0.142634679039341,0.0927332936237017,0.138416192550727,0.102903029517967,-0.0754798939746184,0.37542979603793,0.0736237428530539,0.387317773897204
"4","Xanthine","P_MH",0.020385033,0.298170868,-0.213295611779229,0.0178489933861735,-0.0669222775883194,0.462065009013396,-0.128672077365548,0.156081295385785,0.0315903418484322,0.728694116586276
"5","Phenylpyruvate","P_DL",0.031515065,0.4521878,-0.00750733825959751,0.945306117133572,-0.148869741304377,0.171313412060037,-0.0272846199657285,0.803073803727458,-0.168744428397247,0.120391385994999
"6","Phenylpyruvate","P_LM",0.014127445,-0.584378327,0.132245769041892,0.119334380942022,0.035463027945619,0.677429651086907,0.325093160955316,8.88929176615335e-05,0.0574219515373146,0.500380826950386
"7","Phenylpyruvate","P_MH",0.04822524,0.38454489,-0.149862010931444,0.0980387814970948,-0.198321789352584,0.0278830867395307,0.119742414497661,0.187102276547347,0.0117928144793604,0.896995474177184
"8","Hippuric acid","P_LM",0.025392624,-0.488554177,0.0438015204685532,0.607345111661394,0.13362743325362,0.115488981364439,-0.0168666613465782,0.843206345360866,0.142492479174971,0.0930625913452292
"9","4-Hydroxyphenylpyruvic acid","P_DH",0.006229746,0.605146116,-0.359613463766361,0.00240674265565383,-0.203819751736034,0.092994791135581,-0.0910227678277176,0.456982325570011,-0.156867312550151,0.198018092628203
"10","4-Hydroxyphenylpyruvic acid","P_DM",0.004778655,0.378960987,-0.17486379766073,0.0417365276946167,-0.169130494063825,0.0490240584798278,-0.0729046228363139,0.398958792374871,0.137847134124371,0.109516185855881
"11","4-Hydroxyphenylpyruvic acid","P_DL",0.016478412,0.402445984,-0.150826551578075,0.165690547847343,-0.0124341426793568,0.909533847973875,-0.093548594801531,0.391599545830433,-0.265292548155065,0.0135632345847193
"12","4-Pyridoxic acid","P_DH",0.038908998,0.394871631,-0.282133481161584,0.0188393958272456,-0.16725867438277,0.169543697491209,-0.0504231312998014,0.680738157609214,-0.152644948964605,0.210514187717306
"13","4-Pyridoxic acid","P_DL",0.042637558,0.301072752,-0.12103567391585,0.266955520599624,0.09297142193433,0.394540907859218,-0.224939067135124,0.0373206034714087,-0.188225217528476,0.0826460048644382
"14","Pantothenic acid","P_LM",0.037189781,-0.205016067,0.037215118526387,0.662445935107865,0.0791737683109874,0.352444324259209,-0.0893692886402382,0.293693238545397,0.105515012135136,0.21470030097842
"15","Pantothenic acid","P_MH",0.024652539,0.238082817,-0.163269432913052,0.0711709697669396,-0.121871565308758,0.179326477067782,-0.096448689282709,0.288588905600379,0.0379243536478614,0.677075785779218
"16","Cystathionine","P_DH",0.036602629,0.565761697,-0.348191787427021,0.00337005623009845,-0.152165437755156,0.211967786238776,-0.207401466026244,0.0872695714417111,-0.233477011923113,0.053513877866155
"17","Heptadecanoic acid","P_DH",0.004538132,0.353164556,-0.244766109781733,0.0426642927692096,-0.0880754306533393,0.471744155772752,-0.0580255367825201,0.635792199823089,-0.163528394370365,0.179398043053564
"18","Heptadecanoic acid","P_MH",0.009249988,0.243916538,-0.172532351847747,0.0563556731242598,-0.103335855946717,0.255372651038621,-0.0984382447557769,0.27871114341338,-0.00209821085634145,0.981624182694903
"19","Xanthosine","P_DH",0.023459802,0.475453552,-0.158555329021639,0.193173846426513,-0.242124565803445,0.0450243286222379,-0.0818834226121597,0.50357628513321,0.00852052501656184,0.944603553437384
"20","Xanthosine","P_MH",0.04822524,0.397072519,-0.180740193409762,0.0454412843316488,-0.189386371261462,0.0359072414807111,-0.0614343843935757,0.499662101062167,0.0212280892650374,0.815720013128305
"21","5-Thymidylic acid","P_DL",0.021844077,0.244883968,-0.0108890114201553,0.920736669344387,-0.109707095846009,0.314640058417567,-0.245026608545513,0.0229772045411374,-0.00898488772246588,0.934563374460899
"22","5-Thymidylic acid","P_LM",0.012446492,-0.184441472,0.129949039148284,0.125945201009145,0.110408085697035,0.194071636857481,-0.000235915499350848,0.997792763990443,0.122843030536341,0.148191368181152
"23","Glucose 1,6-bisphosphate","P_DM",0.034429493,-0.277825651,-0.114696318105682,0.183642299124347,-0.0542328970735849,0.530604960342353,-0.000955941295432764,0.991187386788323,0.175955052747923,0.0404576323570247
"24","Glucose 1,6-bisphosphate","P_MH",0.021729813,0.294447621,-0.288943441539801,0.00119009931231999,-0.216977541644288,0.015925478373789,-0.0454742685213298,0.617467289457807,0.108889090894782,0.230576016018978
"25","Alpha-Lactose","P_DH",0.047960276,0.220859122,-0.213957377636314,0.0775134762037271,-0.0979166396268991,0.423465373300296,-0.112724454793369,0.356425692607363,-0.180389023803664,0.138008838070162
"26","Sucrose","P_DH",0.03233312,0.332260371,-0.222312172035456,0.0663612105185903,-0.0986696451576219,0.419891629841051,-0.140452701056261,0.24969507154032,-0.212455193204911,0.0796684434702654
"27","3',5'-Cyclic GMP","P_DL",0.043331968,0.179743025,-0.142060833225074,0.191971647642435,0.120366646395468,0.269627976122736,-0.135876577567453,0.212242301397813,-0.0885355285076855,0.417581671887477
"28","S-Adenosylhomocysteine","P_LM",0.012157193,-0.430442237,0.0310077639719736,0.716091781132675,0.109814884993371,0.19649291399038,0.10892685198138,0.200158400528018,0.189638199779635,0.0248249007779839
"29","S-Adenosylhomocysteine","P_MH",0.028779968,0.243507233,-0.101250991730291,0.265138208671137,-0.0550499877819245,0.545339180224407,-0.0476833011742239,0.60046506790215,0.0296335713100243,0.744902575029468
