"metabolic","nonNA_MHY","detected_MHY","nonNA_MHN","detected_MHN","nonNA_MLY","detected_MLY","nonNA_MLN","detected_MLN","MH_pvalue","MH_test_used","ML_pvalue","ML_test_used"
"Acetoacetate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Aminobutanoate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Malonic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"3-Hydroxybutyric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Uracil",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Maleic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"N-Acetylglycine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Guanidoacetic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"2-Hydroxyisovaleric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Succinic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Methylmalonic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Benzoic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Methyl-4-methyl-2-oxopentanoate",19,0.95,27,1,30,1,43,1,0.425531914893617,"Fisher",1,"Fisher"
"2-Hydroxyisocaproate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glutarate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Malate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Adenine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Hypoxanthine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Adipic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Mevalonic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Xanthine",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Dopamine",12,0.6,16,0.592592592592593,14,0.466666666666667,29,0.674418604651163,0.999999999999999,"Chi-square",0.125205798313821,"Chi-square"
"Orotic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Aminoadipic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Phenylpyruvate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Phosphoenolpyruvic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
