"","i","train_auc","train_sen","test_auc","test_sen"
"1",1,0.9,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.907692307692308,"Sens:90.0%
Spec:84.6%
PPV:81.8%
NPV:91.7%
"
"2",2,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.7,"Sens:100.0%
Spec:53.8%
PPV:62.5%
NPV:100.0%
"
"3",3,0.964285714285714,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.823076923076923,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
"4",4,0.857142857142857,"Sens:100.0%
Spec:64.3%
PPV:66.7%
NPV:100.0%
",0.776923076923077,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
"5",5,0.942857142857143,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.830769230769231,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
"6",6,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.730769230769231,"Sens:80.0%
Spec:61.5%
PPV:61.5%
NPV:80.0%
"
"7",7,0.878571428571429,"Sens:80.0%
Spec:92.9%
PPV:88.9%
NPV:86.7%
",0.769230769230769,"Sens:50.0%
Spec:100.0%
PPV:100.0%
NPV:72.2%
"
"8",8,0.778571428571429,"Sens:70.0%
Spec:85.7%
PPV:77.8%
NPV:80.0%
",0.692307692307692,"Sens:70.0%
Spec:69.2%
PPV:63.6%
NPV:75.0%
"
"9",9,0.964285714285714,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.684615384615385,"Sens:60.0%
Spec:84.6%
PPV:75.0%
NPV:73.3%
"
"10",10,0.835714285714286,"Sens:80.0%
Spec:78.6%
PPV:72.7%
NPV:84.6%
",0.830769230769231,"Sens:70.0%
Spec:100.0%
PPV:100.0%
NPV:81.2%
"
"11",11,0.971428571428571,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.792307692307692,"Sens:100.0%
Spec:69.2%
PPV:71.4%
NPV:100.0%
"
"12",12,0.978571428571429,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.684615384615385,"Sens:90.0%
Spec:61.5%
PPV:64.3%
NPV:88.9%
"
"13",13,0.985714285714286,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.784615384615385,"Sens:90.0%
Spec:69.2%
PPV:69.2%
NPV:90.0%
"
"14",14,0.892857142857143,"Sens:90.0%
Spec:85.7%
PPV:81.8%
NPV:92.3%
",0.738461538461539,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
"15",15,0.825,"Sens:90.0%
Spec:57.1%
PPV:60.0%
NPV:88.9%
",0.780769230769231,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
"16",16,0.942857142857143,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.846153846153846,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
"17",17,0.978571428571429,"Sens:100.0%
Spec:85.7%
PPV:83.3%
NPV:100.0%
",0.807692307692308,"Sens:100.0%
Spec:61.5%
PPV:66.7%
NPV:100.0%
"
"18",18,0.5,"Sens:100.0%
Spec:0.0%
PPV:41.7%
NPV:NaN%
",0.5,"Sens:100.0%
Spec:0.0%
PPV:43.5%
NPV:NaN%
"
"19",19,0.964285714285714,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:87.5%
",0.853846153846154,"Sens:70.0%
Spec:92.3%
PPV:87.5%
NPV:80.0%
"
"20",20,0.992857142857143,"Sens:100.0%
Spec:92.9%
PPV:90.9%
NPV:100.0%
",0.769230769230769,"Sens:100.0%
Spec:46.2%
PPV:58.8%
NPV:100.0%
"
"21",21,0.985714285714286,"Sens:90.0%
Spec:100.0%
PPV:100.0%
NPV:93.3%
",0.723076923076923,"Sens:70.0%
Spec:76.9%
PPV:70.0%
NPV:76.9%
"
"22",22,0.935714285714286,"Sens:100.0%
Spec:78.6%
PPV:76.9%
NPV:100.0%
",0.846153846153846,"Sens:90.0%
Spec:69.2%
PPV:69.2%
NPV:90.0%
"
"23",23,0.807142857142857,"Sens:90.0%
Spec:57.1%
PPV:60.0%
NPV:88.9%
",0.776923076923077,"Sens:60.0%
Spec:100.0%
PPV:100.0%
NPV:76.5%
"
"24",24,1,"Sens:100.0%
Spec:100.0%
PPV:100.0%
NPV:100.0%
",0.653846153846154,"Sens:60.0%
Spec:76.9%
PPV:66.7%
NPV:71.4%
"
"25",25,0.914285714285714,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.684615384615385,"Sens:70.0%
Spec:76.9%
PPV:70.0%
NPV:76.9%
"
"26",26,0.5,"Sens:100.0%
Spec:0.0%
PPV:41.7%
NPV:NaN%
",0.5,"Sens:100.0%
Spec:0.0%
PPV:43.5%
NPV:NaN%
"
