"","i","train_auc","train_sen","test_auc","test_sen"
"1",1,0.857142857142857,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.792307692307692,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
"2",2,0.746428571428571,"Sens:80.0%
Spec:64.3%
PPV:61.5%
NPV:81.8%
",0.892307692307692,"Sens:80.0%
Spec:100.0%
PPV:100.0%
NPV:86.7%
"
"3",3,0.767857142857143,"Sens:60.0%
Spec:85.7%
PPV:75.0%
NPV:75.0%
",0.907692307692308,"Sens:100.0%
Spec:76.9%
PPV:76.9%
NPV:100.0%
"
"4",4,0.771428571428571,"Sens:70.0%
Spec:78.6%
PPV:70.0%
NPV:78.6%
",0.823076923076923,"Sens:90.0%
Spec:76.9%
PPV:75.0%
NPV:90.9%
"
"5",5,0.864285714285714,"Sens:80.0%
Spec:85.7%
PPV:80.0%
NPV:85.7%
",0.753846153846154,"Sens:80.0%
Spec:76.9%
PPV:72.7%
NPV:83.3%
"
"6",6,0.907142857142857,"Sens:90.0%
Spec:85.7%
PPV:81.8%
NPV:92.3%
",0.711538461538462,"Sens:70.0%
Spec:76.9%
PPV:70.0%
NPV:76.9%
"
"7",7,0.882142857142857,"Sens:90.0%
Spec:78.6%
PPV:75.0%
NPV:91.7%
",0.746153846153846,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
"8",8,0.8,"Sens:60.0%
Spec:92.9%
PPV:85.7%
NPV:76.5%
",0.823076923076923,"Sens:80.0%
Spec:92.3%
PPV:88.9%
NPV:85.7%
"
"9",9,0.871428571428571,"Sens:90.0%
Spec:85.7%
PPV:81.8%
NPV:92.3%
",0.665384615384615,"Sens:90.0%
Spec:53.8%
PPV:60.0%
NPV:87.5%
"
"10",10,0.846428571428571,"Sens:80.0%
Spec:85.7%
PPV:80.0%
NPV:85.7%
",0.784615384615385,"Sens:80.0%
Spec:76.9%
PPV:72.7%
NPV:83.3%
"
"11",11,0.735714285714286,"Sens:70.0%
Spec:71.4%
PPV:63.6%
NPV:76.9%
",0.953846153846154,"Sens:100.0%
Spec:84.6%
PPV:83.3%
NPV:100.0%
"
"12",12,0.8,"Sens:70.0%
Spec:85.7%
PPV:77.8%
NPV:80.0%
",0.842307692307692,"Sens:90.0%
Spec:76.9%
PPV:75.0%
NPV:90.9%
"
"13",13,0.771428571428571,"Sens:70.0%
Spec:78.6%
PPV:70.0%
NPV:78.6%
",0.884615384615385,"Sens:90.0%
Spec:92.3%
PPV:90.0%
NPV:92.3%
"
"14",14,0.903571428571429,"Sens:90.0%
Spec:92.9%
PPV:90.0%
NPV:92.9%
",0.769230769230769,"Sens:70.0%
Spec:84.6%
PPV:77.8%
NPV:78.6%
"
