"","i","train_auc","train_sen","test_auc","test_sen"
"1",1,0.704545454545455,"Sens:80.0%
Spec:54.5%
PPV:54.5%
NPV:80.0%
",0.626984126984127,"Sens:60.0%
Spec:76.2%
PPV:64.3%
NPV:72.7%
"
"2",2,0.716666666666667,"Sens:60.0%
Spec:77.3%
PPV:64.3%
NPV:73.9%
",0.585714285714286,"Sens:33.3%
Spec:90.5%
PPV:71.4%
NPV:65.5%
"
"3",3,0.592424242424242,"Sens:46.7%
Spec:90.9%
PPV:77.8%
NPV:71.4%
",0.704761904761905,"Sens:86.7%
Spec:47.6%
PPV:54.2%
NPV:83.3%
"
"4",4,0.65,"Sens:80.0%
Spec:50.0%
PPV:52.2%
NPV:78.6%
",0.649206349206349,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:70.0%
"
"5",5,0.674242424242424,"Sens:73.3%
Spec:59.1%
PPV:55.0%
NPV:76.5%
",0.658730158730159,"Sens:46.7%
Spec:95.2%
PPV:87.5%
NPV:71.4%
"
"6",6,0.754545454545455,"Sens:66.7%
Spec:86.4%
PPV:76.9%
NPV:79.2%
",0.580952380952381,"Sens:20.0%
Spec:100.0%
PPV:100.0%
NPV:63.6%
"
"7",7,0.61969696969697,"Sens:53.3%
Spec:72.7%
PPV:57.1%
NPV:69.6%
",0.711111111111111,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:70.0%
"
"8",8,0.686363636363636,"Sens:53.3%
Spec:90.9%
PPV:80.0%
NPV:74.1%
",0.592063492063492,"Sens:73.3%
Spec:47.6%
PPV:50.0%
NPV:71.4%
"
"9",9,0.731818181818182,"Sens:46.7%
Spec:100.0%
PPV:100.0%
NPV:73.3%
",0.593650793650794,"Sens:26.7%
Spec:95.2%
PPV:80.0%
NPV:64.5%
"
"10",10,0.546969696969697,"Sens:80.0%
Spec:40.9%
PPV:48.0%
NPV:75.0%
",0.742857142857143,"Sens:60.0%
Spec:85.7%
PPV:75.0%
NPV:75.0%
"
"11",11,0.681818181818182,"Sens:100.0%
Spec:31.8%
PPV:50.0%
NPV:100.0%
",0.631746031746032,"Sens:46.7%
Spec:85.7%
PPV:70.0%
NPV:69.2%
"
"12",12,0.689393939393939,"Sens:40.0%
Spec:100.0%
PPV:100.0%
NPV:71.0%
",0.587301587301587,"Sens:33.3%
Spec:90.5%
PPV:71.4%
NPV:65.5%
"
"13",13,0.775757575757576,"Sens:86.7%
Spec:68.2%
PPV:65.0%
NPV:88.2%
",0.558730158730159,"Sens:33.3%
Spec:95.2%
PPV:83.3%
NPV:66.7%
"
