"","i","train_auc","train_sen","test_auc","test_sen"
"1",1,0.927272727272727,"Sens:73.3%
Spec:95.5%
PPV:91.7%
NPV:84.0%
",0.698412698412698,"Sens:66.7%
Spec:76.2%
PPV:66.7%
NPV:76.2%
"
"2",2,0.945454545454545,"Sens:93.3%
Spec:90.9%
PPV:87.5%
NPV:95.2%
",0.663492063492063,"Sens:73.3%
Spec:57.1%
PPV:55.0%
NPV:75.0%
"
"3",3,0.915151515151515,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.777777777777778,"Sens:66.7%
Spec:81.0%
PPV:71.4%
NPV:77.3%
"
"4",4,0.821212121212121,"Sens:100.0%
Spec:54.5%
PPV:60.0%
NPV:100.0%
",0.879365079365079,"Sens:100.0%
Spec:71.4%
PPV:71.4%
NPV:100.0%
"
"5",5,0.933333333333333,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.742857142857143,"Sens:100.0%
Spec:42.9%
PPV:55.6%
NPV:100.0%
"
"6",6,0.918181818181818,"Sens:80.0%
Spec:90.9%
PPV:85.7%
NPV:87.0%
",0.749206349206349,"Sens:46.7%
Spec:90.5%
PPV:77.8%
NPV:70.4%
"
"7",7,0.966666666666667,"Sens:86.7%
Spec:100.0%
PPV:100.0%
NPV:91.7%
",0.726984126984127,"Sens:100.0%
Spec:42.9%
PPV:55.6%
NPV:100.0%
"
"8",8,0.948484848484848,"Sens:86.7%
Spec:95.5%
PPV:92.9%
NPV:91.3%
",0.688888888888889,"Sens:86.7%
Spec:52.4%
PPV:56.5%
NPV:84.6%
"
"9",9,0.881818181818182,"Sens:86.7%
Spec:86.4%
PPV:81.2%
NPV:90.5%
",0.761904761904762,"Sens:93.3%
Spec:52.4%
PPV:58.3%
NPV:91.7%
"
"10",10,0.893939393939394,"Sens:80.0%
Spec:86.4%
PPV:80.0%
NPV:86.4%
",0.784126984126984,"Sens:73.3%
Spec:81.0%
PPV:73.3%
NPV:81.0%
"
"11",11,0.86969696969697,"Sens:86.7%
Spec:77.3%
PPV:72.2%
NPV:89.5%
",0.831746031746032,"Sens:80.0%
Spec:81.0%
PPV:75.0%
NPV:85.0%
"
"12",12,0.896969696969697,"Sens:93.3%
Spec:72.7%
PPV:70.0%
NPV:94.1%
",0.79047619047619,"Sens:93.3%
Spec:61.9%
PPV:63.6%
NPV:92.9%
"
"13",13,0.896969696969697,"Sens:86.7%
Spec:81.8%
PPV:76.5%
NPV:90.0%
",0.679365079365079,"Sens:40.0%
Spec:90.5%
PPV:75.0%
NPV:67.9%
"
"14",14,0.857575757575758,"Sens:100.0%
Spec:63.6%
PPV:65.2%
NPV:100.0%
",0.806349206349206,"Sens:93.3%
Spec:66.7%
PPV:66.7%
NPV:93.3%
"
"15",15,0.896969696969697,"Sens:86.7%
Spec:81.8%
PPV:76.5%
NPV:90.0%
",0.784126984126984,"Sens:93.3%
Spec:57.1%
PPV:60.9%
NPV:92.3%
"
"16",16,0.878787878787879,"Sens:93.3%
Spec:77.3%
PPV:73.7%
NPV:94.4%
",0.780952380952381,"Sens:53.3%
Spec:95.2%
PPV:88.9%
NPV:74.1%
"
"17",17,0.884848484848485,"Sens:100.0%
Spec:63.6%
PPV:65.2%
NPV:100.0%
",0.79047619047619,"Sens:100.0%
Spec:47.6%
PPV:57.7%
NPV:100.0%
"
"18",18,0.933333333333333,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.638095238095238,"Sens:46.7%
Spec:90.5%
PPV:77.8%
NPV:70.4%
"
"19",19,0.909090909090909,"Sens:93.3%
Spec:77.3%
PPV:73.7%
NPV:94.4%
",0.765079365079365,"Sens:60.0%
Spec:85.7%
PPV:75.0%
NPV:75.0%
"
"20",20,0.909090909090909,"Sens:73.3%
Spec:95.5%
PPV:91.7%
NPV:84.0%
",0.704761904761905,"Sens:100.0%
Spec:38.1%
PPV:53.6%
NPV:100.0%
"
"21",21,0.866666666666667,"Sens:100.0%
Spec:63.6%
PPV:65.2%
NPV:100.0%
",0.828571428571429,"Sens:80.0%
Spec:76.2%
PPV:70.6%
NPV:84.2%
"
"22",22,0.903030303030303,"Sens:93.3%
Spec:77.3%
PPV:73.7%
NPV:94.4%
",0.644444444444444,"Sens:53.3%
Spec:85.7%
PPV:72.7%
NPV:72.0%
"
"23",23,0.881818181818182,"Sens:86.7%
Spec:86.4%
PPV:81.2%
NPV:90.5%
",0.796825396825397,"Sens:93.3%
Spec:57.1%
PPV:60.9%
NPV:92.3%
"
"24",24,0.863636363636364,"Sens:100.0%
Spec:59.1%
PPV:62.5%
NPV:100.0%
",0.803174603174603,"Sens:73.3%
Spec:76.2%
PPV:68.8%
NPV:80.0%
"
"25",25,0.851515151515152,"Sens:93.3%
Spec:68.2%
PPV:66.7%
NPV:93.8%
",0.857142857142857,"Sens:93.3%
Spec:66.7%
PPV:66.7%
NPV:93.3%
"
"26",26,0.984848484848485,"Sens:93.3%
Spec:95.5%
PPV:93.3%
NPV:95.5%
",0.682539682539683,"Sens:40.0%
Spec:95.2%
PPV:85.7%
NPV:69.0%
"
"27",27,0.912121212121212,"Sens:73.3%
Spec:95.5%
PPV:91.7%
NPV:84.0%
",0.749206349206349,"Sens:86.7%
Spec:52.4%
PPV:56.5%
NPV:84.6%
"
"28",28,0.9,"Sens:80.0%
Spec:90.9%
PPV:85.7%
NPV:87.0%
",0.825396825396825,"Sens:80.0%
Spec:76.2%
PPV:70.6%
NPV:84.2%
"
"29",29,0.890909090909091,"Sens:80.0%
Spec:81.8%
PPV:75.0%
NPV:85.7%
",0.787301587301587,"Sens:93.3%
Spec:52.4%
PPV:58.3%
NPV:91.7%
"
"30",30,0.76969696969697,"Sens:53.3%
Spec:90.9%
PPV:80.0%
NPV:74.1%
",0.866666666666667,"Sens:86.7%
Spec:71.4%
PPV:68.4%
NPV:88.2%
"
"31",31,0.939393939393939,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.73968253968254,"Sens:86.7%
Spec:57.1%
PPV:59.1%
NPV:85.7%
"
"32",32,0.906060606060606,"Sens:100.0%
Spec:72.7%
PPV:71.4%
NPV:100.0%
",0.688888888888889,"Sens:66.7%
Spec:71.4%
PPV:62.5%
NPV:75.0%
"
"33",33,0.9,"Sens:93.3%
Spec:72.7%
PPV:70.0%
NPV:94.1%
",0.761904761904762,"Sens:46.7%
Spec:95.2%
PPV:87.5%
NPV:71.4%
"
"34",34,0.948484848484848,"Sens:80.0%
Spec:95.5%
PPV:92.3%
NPV:87.5%
",0.587301587301587,"Sens:93.3%
Spec:33.3%
PPV:50.0%
NPV:87.5%
"
"35",35,0.954545454545455,"Sens:93.3%
Spec:86.4%
PPV:82.4%
NPV:95.0%
",0.568253968253968,"Sens:46.7%
Spec:76.2%
PPV:58.3%
NPV:66.7%
"
"36",36,0.945454545454545,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.733333333333333,"Sens:73.3%
Spec:71.4%
PPV:64.7%
NPV:78.9%
"
"37",37,0.939393939393939,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.707936507936508,"Sens:46.7%
Spec:90.5%
PPV:77.8%
NPV:70.4%
"
"38",38,0.966666666666667,"Sens:86.7%
Spec:100.0%
PPV:100.0%
NPV:91.7%
",0.736507936507936,"Sens:66.7%
Spec:71.4%
PPV:62.5%
NPV:75.0%
"
"39",39,0.812121212121212,"Sens:73.3%
Spec:77.3%
PPV:68.8%
NPV:81.0%
",0.879365079365079,"Sens:93.3%
Spec:76.2%
PPV:73.7%
NPV:94.1%
"
"40",40,0.896969696969697,"Sens:86.7%
Spec:81.8%
PPV:76.5%
NPV:90.0%
",0.777777777777778,"Sens:93.3%
Spec:57.1%
PPV:60.9%
NPV:92.3%
"
"41",41,0.933333333333333,"Sens:73.3%
Spec:100.0%
PPV:100.0%
NPV:84.6%
",0.746031746031746,"Sens:73.3%
Spec:71.4%
PPV:64.7%
NPV:78.9%
"
"42",42,0.93030303030303,"Sens:73.3%
Spec:95.5%
PPV:91.7%
NPV:84.0%
",0.688888888888889,"Sens:93.3%
Spec:47.6%
PPV:56.0%
NPV:90.9%
"
"43",43,0.921212121212121,"Sens:73.3%
Spec:100.0%
PPV:100.0%
NPV:84.6%
",0.749206349206349,"Sens:66.7%
Spec:71.4%
PPV:62.5%
NPV:75.0%
"
"44",44,0.833333333333333,"Sens:100.0%
Spec:63.6%
PPV:65.2%
NPV:100.0%
",0.80952380952381,"Sens:80.0%
Spec:76.2%
PPV:70.6%
NPV:84.2%
"
"45",45,0.918181818181818,"Sens:86.7%
Spec:86.4%
PPV:81.2%
NPV:90.5%
",0.679365079365079,"Sens:73.3%
Spec:66.7%
PPV:61.1%
NPV:77.8%
"
"46",46,0.966666666666667,"Sens:93.3%
Spec:90.9%
PPV:87.5%
NPV:95.2%
",0.787301587301587,"Sens:100.0%
Spec:52.4%
PPV:60.0%
NPV:100.0%
"
"47",47,0.815151515151515,"Sens:73.3%
Spec:77.3%
PPV:68.8%
NPV:81.0%
",0.876190476190476,"Sens:100.0%
Spec:61.9%
PPV:65.2%
NPV:100.0%
"
"48",48,0.896969696969697,"Sens:73.3%
Spec:95.5%
PPV:91.7%
NPV:84.0%
",0.784126984126984,"Sens:86.7%
Spec:61.9%
PPV:61.9%
NPV:86.7%
"
"49",49,0.866666666666667,"Sens:93.3%
Spec:72.7%
PPV:70.0%
NPV:94.1%
",0.812698412698413,"Sens:93.3%
Spec:61.9%
PPV:63.6%
NPV:92.9%
"
"50",50,0.912121212121212,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.768253968253968,"Sens:86.7%
Spec:61.9%
PPV:61.9%
NPV:86.7%
"
"51",51,0.942424242424242,"Sens:93.3%
Spec:81.8%
PPV:77.8%
NPV:94.7%
",0.66984126984127,"Sens:66.7%
Spec:71.4%
PPV:62.5%
NPV:75.0%
"
"52",52,0.83030303030303,"Sens:100.0%
Spec:50.0%
PPV:57.7%
NPV:100.0%
",0.844444444444444,"Sens:100.0%
Spec:71.4%
PPV:71.4%
NPV:100.0%
"
"53",53,0.942424242424242,"Sens:100.0%
Spec:81.8%
PPV:78.9%
NPV:100.0%
",0.726984126984127,"Sens:73.3%
Spec:66.7%
PPV:61.1%
NPV:77.8%
"
"54",54,0.924242424242424,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.752380952380952,"Sens:60.0%
Spec:90.5%
PPV:81.8%
NPV:76.0%
"
"55",55,0.872727272727273,"Sens:73.3%
Spec:90.9%
PPV:84.6%
NPV:83.3%
",0.831746031746032,"Sens:93.3%
Spec:71.4%
PPV:70.0%
NPV:93.8%
"
"56",56,0.927272727272727,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.682539682539683,"Sens:100.0%
Spec:33.3%
PPV:51.7%
NPV:100.0%
"
"57",57,0.866666666666667,"Sens:86.7%
Spec:77.3%
PPV:72.2%
NPV:89.5%
",0.8,"Sens:100.0%
Spec:52.4%
PPV:60.0%
NPV:100.0%
"
"58",58,0.903030303030303,"Sens:93.3%
Spec:81.8%
PPV:77.8%
NPV:94.7%
",0.774603174603175,"Sens:46.7%
Spec:100.0%
PPV:100.0%
NPV:72.4%
"
"59",59,0.848484848484849,"Sens:100.0%
Spec:68.2%
PPV:68.2%
NPV:100.0%
",0.806349206349206,"Sens:80.0%
Spec:81.0%
PPV:75.0%
NPV:85.0%
"
"60",60,0.793939393939394,"Sens:66.7%
Spec:90.9%
PPV:83.3%
NPV:80.0%
",0.828571428571429,"Sens:100.0%
Spec:61.9%
PPV:65.2%
NPV:100.0%
"
"61",61,0.881818181818182,"Sens:93.3%
Spec:68.2%
PPV:66.7%
NPV:93.8%
",0.80952380952381,"Sens:66.7%
Spec:85.7%
PPV:76.9%
NPV:78.3%
"
