Table S5D: Integrated Discrimination Improvement (IDI)-based comparison of metabolite plus clinical feature model vs. clinical-only model of MTX+HCQ across coverged Iterations.,,,,,,,
training set,,,,testing set,,,
iteration,IDI,Confidence Interval (95%),p value,iteration,IDI,Confidence Interval (95%),p value
1,0.3246,0.1932 - 0.456,0,1,0.1391,-0.0225 - 0.3008,0.09166
2,0.3282,0.205 - 0.4515,0,2,0.2825,-0.0102 - 0.5752,0.05854
3,0.3838,0.2643 - 0.5033,0,3,0.1971,-0.0367 - 0.431,0.09848
4,0.2858,0.167 - 0.4045,0,4,0.152,-0.0989 - 0.4029,0.23501
5,0.4143,0.3054 - 0.5233,0,5,0.3,0.0742 - 0.5258,0.00921
6,0.2719,0.1421 - 0.4018,4.00E-05,6,0.2133,-0.005 - 0.4317,0.05547
8,0.3346,0.225 - 0.4441,0,8,0.3341,0.0749 - 0.5934,0.01152
10,0.3649,0.2419 - 0.4878,0,10,0.3441,0.13 - 0.5581,0.00163
11,0.2506,0.1405 - 0.3607,1.00E-05,11,0.3041,0.0516 - 0.5567,0.01826
12,0.4633,0.3357 - 0.5909,0,12,0.3374,0.1371 - 0.5378,0.00096
14,0.2156,0.0949 - 0.3364,0.00046,14,0.2023,-0.0353 - 0.4398,0.09514
15,0.269,0.1532 - 0.3849,1.00E-05,15,0.3335,0.1717 - 0.4952,5.00E-05
17,0.3116,0.214 - 0.4091,0,17,0.2727,-0.0212 - 0.5666,0.06896
19,0.3341,0.217 - 0.4512,0,19,0.1953,-0.0378 - 0.4283,0.10057
20,0.3674,0.2454 - 0.4894,0,20,0.3089,0.0649 - 0.553,0.01309
21,0.2333,0.1095 - 0.3571,0.00022,21,0.1855,-0.1174 - 0.4883,0.22996
23,0.326,0.2096 - 0.4425,0,23,0.1617,-0.0727 - 0.3962,0.17632
24,0.1252,0.0334 - 0.217,0.00752,24,0.2189,0.0872 - 0.3505,0.00112
25,0.2859,0.1564 - 0.4153,1.00E-05,25,0.2157,0.0232 - 0.4082,0.02807
26,0.257,0.1618 - 0.3522,0,26,0.2745,-0.0462 - 0.5952,0.09338
27,0.2091,0.0905 - 0.3277,0.00055,27,0.0979,-0.1136 - 0.3093,0.3644
28,0.2354,0.1157 - 0.3551,0.00012,28,0.1705,0.0692 - 0.2717,0.00097
30,0.2084,0.1134 - 0.3034,2.00E-05,30,0.1701,0.0093 - 0.331,0.0382
31,0.2755,0.1458 - 0.4052,3.00E-05,31,0.2444,0.0263 - 0.4625,0.02808
32,0.1911,0.0789 - 0.3033,0.00084,32,0.3096,0.1526 - 0.4666,0.00011
33,0.198,0.1062 - 0.2897,2.00E-05,33,0.2878,0.1232 - 0.4524,0.00061
34,0.2048,0.1011 - 0.3085,0.00011,34,0.2105,-0.0487 - 0.4697,0.1114
35,0.4199,0.3067 - 0.5331,0,35,0.2248,0.0368 - 0.4128,0.01912
37,0.2837,0.1637 - 0.4037,0,37,0.1155,-0.0505 - 0.2814,0.17256
38,0.3335,0.2184 - 0.4485,0,38,0.2687,0.0986 - 0.4388,0.00196
39,0.2494,0.1303 - 0.3685,4.00E-05,39,0.3155,0.0894 - 0.5417,0.00625
40,0.3934,0.2562 - 0.5305,0,40,0.0794,-0.1901 - 0.3489,0.56378
41,0.2512,0.1354 - 0.367,2.00E-05,41,0.2746,0.1027 - 0.4466,0.00174
42,0.224,0.0888 - 0.3592,0.00116,42,0.2585,0.1605 - 0.3566,0
43,0.3995,0.2893 - 0.5096,0,43,0.4296,0.1988 - 0.6605,0.00026
46,0.4156,0.2925 - 0.5386,0,46,0.3646,0.1114 - 0.6178,0.00477
47,0.4855,0.3566 - 0.6144,0,47,0.0205,-0.208 - 0.249,0.86039
48,0.2913,0.1623 - 0.4203,1.00E-05,48,0.1599,-0.0081 - 0.328,0.06209
51,0.378,0.26 - 0.4959,0,51,0.1405,-0.0897 - 0.3707,0.23156
52,0.2928,0.1809 - 0.4048,0,52,0.2255,0.0503 - 0.4007,0.01166
54,0.26,0.1518 - 0.3682,0,54,0.112,-0.125 - 0.3489,0.35428
55,0.1646,0.0662 - 0.263,0.00105,55,0.2208,0.0916 - 0.35,0.00081
