"","i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"1",1,0.93030303030303,0.540540540540541,0.780952380952381,0.638888888888889,100,72.7,71.4,100,73.3,71.4,64.7,78.9
"2",2,0.966666666666667,0.864864864864865,0.711111111111111,0.666666666666667,93.3,90.9,87.5,95.2,100,42.9,55.6,100
"3",3,0.942424242424242,0.810810810810811,0.819047619047619,0.722222222222222,100,81.8,78.9,100,60,95.2,90,76.9
"4",4,0.915151515151515,0.783783783783784,0.882539682539683,0.722222222222222,93.3,77.3,73.7,94.4,93.3,81,77.8,94.4
"5",5,0.984848484848485,0.810810810810811,0.780952380952381,0.638888888888889,86.7,100,100,91.7,53.3,90.5,80,73.1
"6",6,0.915151515151515,0.756756756756757,0.819047619047619,0.638888888888889,93.3,77.3,73.7,94.4,100,57.1,62.5,100
"7",7,0.993939393939394,0.945945945945946,0.765079365079365,0.75,100,95.5,93.8,100,86.7,66.7,65,87.5
"8",8,0.951515151515152,0.864864864864865,0.758730158730159,0.611111111111111,93.3,86.4,82.4,95,80,66.7,63.2,82.4
"9",9,0.927272727272727,0.702702702702703,0.777777777777778,0.777777777777778,80,100,100,88,86.7,76.2,72.2,88.9
"10",10,0.96969696969697,0.72972972972973,0.806349206349206,0.694444444444444,86.7,100,100,91.7,93.3,52.4,58.3,91.7
"11",11,0.884848484848485,0.756756756756757,0.892063492063492,0.777777777777778,86.7,81.8,76.5,90,93.3,71.4,70,93.8
"12",12,0.93030303030303,0.783783783783784,0.825396825396825,0.75,80,90.9,85.7,87,93.3,61.9,63.6,92.9
"13",13,0.948484848484848,0.864864864864865,0.726984126984127,0.722222222222222,93.3,95.5,93.3,95.5,80,66.7,63.2,82.4
"14",14,0.915151515151515,0.864864864864865,0.828571428571429,0.722222222222222,80,95.5,92.3,87.5,100,66.7,68.2,100
"15",15,0.921212121212121,0.810810810810811,0.844444444444444,0.722222222222222,86.7,86.4,81.2,90.5,93.3,66.7,66.7,93.3
"16",16,0.942424242424242,0.810810810810811,0.834920634920635,0.555555555555556,93.3,81.8,77.8,94.7,100,57.1,62.5,100
"17",17,0.906060606060606,0.756756756756757,0.844444444444444,0.722222222222222,80,95.5,92.3,87.5,93.3,66.7,66.7,93.3
"18",18,0.957575757575758,0.891891891891892,0.714285714285714,0.638888888888889,93.3,90.9,87.5,95.2,60,85.7,75,75
"19",19,0.96969696969697,0.864864864864865,0.812698412698413,0.694444444444444,93.3,90.9,87.5,95.2,73.3,81,73.3,81
"20",20,0.933333333333333,0.72972972972973,0.752380952380952,0.694444444444444,100,72.7,71.4,100,100,47.6,57.7,100
"21",21,0.948484848484848,0.810810810810811,0.838095238095238,0.722222222222222,100,81.8,78.9,100,86.7,71.4,68.4,88.2
"22",22,0.954545454545455,0.837837837837838,0.695238095238095,0.75,86.7,95.5,92.9,91.3,46.7,100,100,72.4
"23",23,0.915151515151515,0.810810810810811,0.831746031746032,0.611111111111111,93.3,81.8,77.8,94.7,93.3,66.7,66.7,93.3
"24",24,0.933333333333333,0.783783783783784,0.866666666666667,0.611111111111111,100,72.7,71.4,100,100,61.9,65.2,100
"25",25,0.893939393939394,0.783783783783784,0.879365079365079,0.527777777777778,86.7,86.4,81.2,90.5,100,66.7,68.2,100
"26",26,1,0.594594594594595,0.758730158730159,0.666666666666667,100,100,100,100,66.7,76.2,66.7,76.2
"27",27,0.993939393939394,0.918918918918919,0.717460317460317,0.694444444444444,100,95.5,93.8,100,80,71.4,66.7,83.3
"28",28,0.942424242424242,0.864864864864865,0.828571428571429,0.805555555555556,100,81.8,78.9,100,93.3,71.4,70,93.8
"29",29,0.924242424242424,0.72972972972973,0.844444444444444,0.527777777777778,100,77.3,75,100,100,57.1,62.5,100
"30",30,0.833333333333333,0.702702702702703,0.892063492063492,0.555555555555556,80,86.4,80,86.4,93.3,76.2,73.7,94.1
"31",31,0.972727272727273,0.891891891891892,0.768253968253968,0.75,100,86.4,83.3,100,73.3,76.2,68.8,80
"32",32,0.93030303030303,0.810810810810811,0.752380952380952,0.694444444444444,100,77.3,75,100,66.7,81,71.4,77.3
"33",33,0.927272727272727,0.702702702702703,0.841269841269841,0.75,73.3,100,100,84.6,86.7,66.7,65,87.5
