"","i","train_auc_clin","acc_train_clin","test_auc_clin","acc_test_clin","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"1",1,0.704545454545455,0.486486486486487,0.626984126984127,0.638888888888889,80,54.5,54.5,80,60,76.2,64.3,72.7
"2",2,0.716666666666667,0.648648648648649,0.585714285714286,0.666666666666667,60,77.3,64.3,73.9,33.3,90.5,71.4,65.5
"3",3,0.592424242424242,0.675675675675676,0.704761904761905,0.416666666666667,46.7,90.9,77.8,71.4,86.7,47.6,54.2,83.3
"4",4,0.65,0.567567567567568,0.649206349206349,0.638888888888889,80,50,52.2,78.6,40,100,100,70
"5",5,0.674242424242424,0.594594594594595,0.658730158730159,0.722222222222222,73.3,59.1,55,76.5,46.7,95.2,87.5,71.4
"6",6,0.754545454545455,0.756756756756757,0.580952380952381,0.638888888888889,66.7,86.4,76.9,79.2,20,100,100,63.6
"7",7,0.61969696969697,0.567567567567568,0.711111111111111,0.583333333333333,53.3,72.7,57.1,69.6,40,100,100,70
"8",8,0.686363636363636,0.72972972972973,0.592063492063492,0.583333333333333,53.3,90.9,80,74.1,73.3,47.6,50,71.4
"9",9,0.731818181818182,0.621621621621622,0.593650793650794,0.611111111111111,46.7,100,100,73.3,26.7,95.2,80,64.5
"10",10,0.546969696969697,0.405405405405405,0.742857142857143,0.416666666666667,80,40.9,48,75,60,85.7,75,75
"11",11,0.681818181818182,0.405405405405405,0.631746031746032,0.694444444444444,100,31.8,50,100,46.7,85.7,70,69.2
"12",12,0.689393939393939,0.675675675675676,0.587301587301587,0.666666666666667,40,100,100,71,33.3,90.5,71.4,65.5
"13",13,0.775757575757576,0.72972972972973,0.558730158730159,0.611111111111111,86.7,68.2,65,88.2,33.3,95.2,83.3,66.7
"14",14,0.618181818181818,0.675675675675676,0.685714285714286,0.611111111111111,33.3,90.9,71.4,66.7,60,81,69.2,73.9
"15",15,0.577272727272727,0.594594594594595,0.725396825396825,0.416666666666667,33.3,100,100,68.8,80,61.9,60,81.2
"16",16,0.706060606060606,0.567567567567568,0.580952380952381,0.638888888888889,73.3,63.6,57.9,77.8,33.3,95.2,83.3,66.7
"17",17,0.739393939393939,0.72972972972973,0.541269841269841,0.694444444444444,46.7,95.5,87.5,72.4,26.7,100,100,65.6
"18",18,0.86969696969697,0.72972972972973,0.444444444444444,0.611111111111111,93.3,72.7,70,94.1,20,100,100,63.6
"19",19,0.804545454545455,0.756756756756757,0.492063492063492,0.527777777777778,60,95.5,90,77.8,13.3,100,100,61.8
"20",20,0.722727272727273,0.702702702702703,0.585714285714286,0.666666666666667,46.7,90.9,77.8,71.4,33.3,90.5,71.4,65.5
"21",21,0.616666666666667,0.648648648648649,0.677777777777778,0.611111111111111,46.7,95.5,87.5,72.4,86.7,47.6,54.2,83.3
"22",22,0.818181818181818,0.702702702702703,0.482539682539682,0.666666666666667,80,68.2,63.2,83.3,20,100,100,63.6
"23",23,0.665151515151515,0.621621621621622,0.671428571428571,0.583333333333333,46.7,81.8,63.6,69.2,40,100,100,70
"24",24,0.674242424242424,0.675675675675676,0.633333333333333,0.638888888888889,46.7,86.4,70,70.4,40,100,100,70
