"","i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"1",1,0.969924812030075,0.939393939393939,0.916666666666667,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"2",2,0.966165413533835,0.939393939393939,0.895833333333333,0.928571428571429,92.9,94.7,92.9,94.7,83.3,100,100,88.9
"3",3,0.988721804511278,0.96969696969697,0.895833333333333,0.857142857142857,92.9,100,100,95,83.3,87.5,83.3,87.5
"4",4,0.969924812030075,0.909090909090909,0.833333333333333,0.857142857142857,92.9,89.5,86.7,94.4,83.3,87.5,83.3,87.5
"5",5,0.977443609022556,0.96969696969697,0.895833333333333,0.928571428571429,100,94.7,93.3,100,83.3,100,100,88.9
"6",6,0.984962406015038,0.96969696969697,0.854166666666667,0.857142857142857,100,94.7,93.3,100,100,75,75,100
"7",8,0.981203007518797,0.96969696969697,0.916666666666667,0.928571428571429,100,94.7,93.3,100,83.3,100,100,88.9
"8",10,0.984962406015038,0.96969696969697,0.958333333333333,0.928571428571429,92.9,100,100,95,83.3,100,100,88.9
"9",11,0.954887218045113,0.909090909090909,0.958333333333333,0.928571428571429,92.9,89.5,86.7,94.4,83.3,100,100,88.9
"10",12,0.973684210526316,0.939393939393939,0.979166666666667,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"11",14,0.984962406015038,0.939393939393939,0.916666666666667,0.928571428571429,92.9,94.7,92.9,94.7,100,87.5,85.7,100
"12",15,0.966165413533835,0.909090909090909,0.9375,0.928571428571429,92.9,89.5,86.7,94.4,83.3,100,100,88.9
"13",17,0.984962406015038,0.939393939393939,0.895833333333333,0.857142857142857,100,89.5,87.5,100,83.3,87.5,83.3,87.5
"14",19,0.992481203007519,0.96969696969697,0.833333333333333,0.857142857142857,100,94.7,93.3,100,66.7,100,100,80
