"","i","train_auc_clin","acc_train_clin","test_auc_clin","acc_test_clin","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"1",1,0.842105263157895,0.818181818181818,0.791666666666667,0.785714285714286,85.7,78.9,75,88.2,66.7,87.5,80,77.8
"2",2,0.825187969924812,0.818181818181818,0.75,0.785714285714286,85.7,78.9,75,88.2,83.3,75,71.4,85.7
"3",3,0.81015037593985,0.787878787878788,0.916666666666667,0.857142857142857,71.4,84.2,76.9,80,100,75,75,100
"4",4,0.832706766917293,0.818181818181818,0.75,0.785714285714286,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
"5",5,0.757518796992481,0.757575757575758,0.895833333333333,0.857142857142857,71.4,78.9,71.4,78.9,100,75,75,100
"6",6,0.855263157894737,0.878787878787879,0.583333333333333,0.642857142857143,78.6,94.7,91.7,85.7,83.3,50,55.6,80
"7",8,0.825187969924812,0.787878787878788,0.75,0.857142857142857,85.7,73.7,70.6,87.5,66.7,100,100,80
"8",10,0.821428571428571,0.818181818181818,0.770833333333333,0.785714285714286,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
"9",11,0.808270676691729,0.787878787878788,0.916666666666667,0.857142857142857,71.4,84.2,76.9,80,100,75,75,100
"10",12,0.746240601503759,0.757575757575758,0.979166666666667,0.928571428571429,71.4,78.9,71.4,78.9,100,87.5,85.7,100
"11",14,0.904135338345865,0.909090909090909,0.645833333333333,0.714285714285714,85.7,94.7,92.3,90,66.7,75,66.7,75
"12",15,0.855263157894737,0.848484848484849,0.6875,0.857142857142857,85.7,84.2,80,88.9,66.7,100,100,80
"13",17,0.857142857142857,0.848484848484849,0.6875,0.714285714285714,85.7,84.2,80,88.9,66.7,75,66.7,75
"14",19,0.857142857142857,0.818181818181818,0.6875,0.785714285714286,85.7,78.9,75,88.2,66.7,87.5,80,77.8
"15",20,0.815789473684211,0.818181818181818,0.833333333333333,0.785714285714286,78.6,84.2,78.6,84.2,83.3,75,71.4,85.7
