"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
1,"test_clin","0","-0.462 - 0.462","1","0.1391","-0.0225 - 0.3008","0.09166"
1,"test_full","0.4583","0.017 - 0.8997","0.04182","0.1391","-0.0225 - 0.3008","0.09166"
1,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.3246","0.1932 - 0.456","0"
1,"train_full","0.3571","0.1061 - 0.6081","0.00529","0.3246","0.1932 - 0.456","0"
10,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.3441","0.13 - 0.5581","0.00163"
10,"test_full","0.8333","0.5351 - 1.1315","0","0.3441","0.13 - 0.5581","0.00163"
10,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3649","0.2419 - 0.4878","0"
10,"train_full","0.5","0.2381 - 0.7619","0.00018","0.3649","0.2419 - 0.4878","0"
100,"test_clin","-0.3333","-0.9297 - 0.2631","0.27332","0.2558","-0.0801 - 0.5916","0.1355"
100,"test_full","-0.1667","-0.7165 - 0.3832","0.55245","0.2558","-0.0801 - 0.5916","0.1355"
100,"train_clin","0.4248","0.1423 - 0.7073","0.0032","0.4184","0.3041 - 0.5327","0"
100,"train_full","0.5526","0.2721 - 0.8331","0.00011","0.4184","0.3041 - 0.5327","0"
11,"test_clin","-0.1667","-0.6238 - 0.2905","0.47486","0.3041","0.0516 - 0.5567","0.01826"
11,"test_full","0.6667","0.2895 - 1.0439","0.00053","0.3041","0.0516 - 0.5567","0.01826"
11,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.2506","0.1405 - 0.3607","1e-05"
11,"train_full","0.2669","-0.0421 - 0.5759","0.09044","0.2506","0.1405 - 0.3607","1e-05"
12,"test_clin","-0.125","-0.3542 - 0.1042","0.28505","0.3374","0.1371 - 0.5378","0.00096"
12,"test_full","0.875","0.6458 - 1.1042","0","0.3374","0.1371 - 0.5378","0.00096"
12,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.4633","0.3357 - 0.5909","0"
12,"train_full","0.6429","0.3919 - 0.8939","0","0.4633","0.3357 - 0.5909","0"
14,"test_clin","-0.0417","-0.6374 - 0.554","0.89096","0.2023","-0.0353 - 0.4398","0.09514"
14,"test_full","0.8333","0.3212 - 1.3455","0.00143","0.2023","-0.0353 - 0.4398","0.09514"
14,"train_clin","0.0714","-0.1682 - 0.311","0.55899","0.2156","0.0949 - 0.3364","0.00046"
14,"train_full","0.2857","0.0491 - 0.5224","0.01796","0.2156","0.0949 - 0.3364","0.00046"
15,"test_clin","0","0 - 0",NA,"0.3335","0.1717 - 0.4952","5e-05"
15,"test_full","0.1667","-0.1315 - 0.4649","0.27332","0.3335","0.1717 - 0.4952","5e-05"
15,"train_clin","0.0526","-0.1694 - 0.2746","0.64216","0.269","0.1532 - 0.3849","1e-05"
15,"train_full","0.1241","-0.1357 - 0.3838","0.34925","0.269","0.1532 - 0.3849","1e-05"
17,"test_clin","0.2917","-0.304 - 0.8874","0.33724","0.2727","-0.0212 - 0.5666","0.06896"
17,"test_full","0.3333","-0.2631 - 0.9297","0.27332","0.2727","-0.0212 - 0.5666","0.06896"
17,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.3116","0.214 - 0.4091","0"
17,"train_full","0.4586","0.1806 - 0.7367","0.00122","0.3116","0.214 - 0.4091","0"
19,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.1953","-0.0378 - 0.4283","0.10057"
19,"test_full","0.1667","-0.1315 - 0.4649","0.27332","0.1953","-0.0378 - 0.4283","0.10057"
19,"train_clin","0.2481","0.0187 - 0.4776","0.03404","0.3341","0.217 - 0.4512","0"
19,"train_full","0.515","0.2152 - 0.8148","0.00076","0.3341","0.217 - 0.4512","0"
2,"test_clin","0","-0.5775 - 0.5775","1","0.2825","-0.0102 - 0.5752","0.05854"
2,"test_full","0.6667","0.2895 - 1.0439","0.00053","0.2825","-0.0102 - 0.5752","0.05854"
2,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.3282","0.205 - 0.4515","0"
2,"train_full","0.5526","0.2721 - 0.8331","0.00011","0.3282","0.205 - 0.4515","0"
20,"test_clin","0","-0.462 - 0.462","1","0.3089","0.0649 - 0.553","0.01309"
20,"test_full","0.6667","0.2895 - 1.0439","0.00053","0.3089","0.0649 - 0.553","0.01309"
20,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.3674","0.2454 - 0.4894","0"
20,"train_full","0.4286","0.1693 - 0.6878","0.00119","0.3674","0.2454 - 0.4894","0"
21,"test_clin","-0.1667","-0.7165 - 0.3832","0.55245","0.1855","-0.1174 - 0.4883","0.22996"
21,"test_full","0.5833","-0.0103 - 1.1769","0.05409","0.1855","-0.1174 - 0.4883","0.22996"
21,"train_clin","0.0714","-0.2091 - 0.3519","0.61771","0.2333","0.1095 - 0.3571","0.00022"
21,"train_full","0.3571","0.1061 - 0.6081","0.00529","0.2333","0.1095 - 0.3571","0.00022"
23,"test_clin","0.125","-0.3907 - 0.6407","0.63473","0.1617","-0.0727 - 0.3962","0.17632"
23,"test_full","0.625","0.2895 - 0.9605","0.00026","0.1617","-0.0727 - 0.3962","0.17632"
23,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.326","0.2096 - 0.4425","0"
23,"train_full","0.5526","0.2721 - 0.8331","0.00011","0.326","0.2096 - 0.4425","0"
24,"test_clin","0","0 - 0",NA,"0.2189","0.0872 - 0.3505","0.00112"
24,"test_full","0.5833","0.1013 - 1.0653","0.01769","0.2189","0.0872 - 0.3505","0.00112"
24,"train_clin","-0.0188","-0.187 - 0.1494","0.82659","0.1252","0.0334 - 0.217","0.00752"
