"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
1,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.3246","0.1932 - 0.456","0"
10,"train_clin","0.3008","-0.015 - 0.6165","0.0619","0.3649","0.2419 - 0.4878","0"
100,"train_clin","0.4248","0.1423 - 0.7073","0.0032","0.4184","0.3041 - 0.5327","0"
11,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.2506","0.1405 - 0.3607","1e-05"
12,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.4633","0.3357 - 0.5909","0"
14,"train_clin","0.0714","-0.1682 - 0.311","0.55899","0.2156","0.0949 - 0.3364","0.00046"
15,"train_clin","0.0526","-0.1694 - 0.2746","0.64216","0.269","0.1532 - 0.3849","1e-05"
17,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.3116","0.214 - 0.4091","0"
19,"train_clin","0.2481","0.0187 - 0.4776","0.03404","0.3341","0.217 - 0.4512","0"
2,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.3282","0.205 - 0.4515","0"
20,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.3674","0.2454 - 0.4894","0"
21,"train_clin","0.0714","-0.2091 - 0.3519","0.61771","0.2333","0.1095 - 0.3571","0.00022"
23,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.326","0.2096 - 0.4425","0"
24,"train_clin","-0.0188","-0.187 - 0.1494","0.82659","0.1252","0.0334 - 0.217","0.00752"
25,"train_clin","0.1579","-0.0992 - 0.415","0.22864","0.2859","0.1564 - 0.4153","1e-05"
26,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.257","0.1618 - 0.3522","0"
27,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.2091","0.0905 - 0.3277","0.00055"
28,"train_clin","0.1241","-0.2026 - 0.4507","0.4566","0.2354","0.1157 - 0.3551","0.00012"
3,"train_clin","0.3195","-0.0036 - 0.6427","0.05262","0.3838","0.2643 - 0.5033","0"
30,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.2084","0.1134 - 0.3034","2e-05"
31,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2755","0.1458 - 0.4052","3e-05"
32,"train_clin","0.1579","-0.0992 - 0.415","0.22864","0.1911","0.0789 - 0.3033","0.00084"
33,"train_clin","0.1053","-0.1361 - 0.3466","0.39261","0.198","0.1062 - 0.2897","2e-05"
34,"train_clin","0.1579","-0.0992 - 0.415","0.22864","0.2048","0.1011 - 0.3085","0.00011"
35,"train_clin","0.4248","0.1423 - 0.7073","0.0032","0.4199","0.3067 - 0.5331","0"
37,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.2837","0.1637 - 0.4037","0"
38,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.3335","0.2184 - 0.4485","0"
39,"train_clin","0.1429","-0.1639 - 0.4496","0.36132","0.2494","0.1303 - 0.3685","4e-05"
4,"train_clin","0.1429","-0.127 - 0.4127","0.29939","0.2858","0.167 - 0.4045","0"
40,"train_clin","0.2669","-0.0421 - 0.5759","0.09044","0.3934","0.2562 - 0.5305","0"
41,"train_clin","0.1955","-0.1273 - 0.5182","0.23516","0.2512","0.1354 - 0.367","2e-05"
42,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.224","0.0888 - 0.3592","0.00116"
43,"train_clin","0.3722","0.1018 - 0.6425","0.00697","0.3995","0.2893 - 0.5096","0"
46,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.4156","0.2925 - 0.5386","0"
47,"train_clin","0.3534","0.0272 - 0.6796","0.03372","0.4855","0.3566 - 0.6144","0"
48,"train_clin","0.2481","-0.1139 - 0.6101","0.17914","0.2913","0.1623 - 0.4203","1e-05"
5,"train_clin","0.391","0.117 - 0.6649","0.00515","0.4143","0.3054 - 0.5233","0"
51,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.378","0.26 - 0.4959","0"
52,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.2928","0.1809 - 0.4048","0"
54,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.26","0.1518 - 0.3682","0"
55,"train_clin","0.1053","-0.1361 - 0.3466","0.39261","0.1646","0.0662 - 0.263","0.00105"
56,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.3391","0.2066 - 0.4715","0"
57,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.316","0.1985 - 0.4336","0"
58,"train_clin","0.3195","0.0641 - 0.575","0.0142","0.3374","0.2129 - 0.4618","0"
59,"train_clin","0.1767","-0.1359 - 0.4893","0.26794","0.2565","0.1299 - 0.3831","7e-05"
6,"train_clin","0.2143","-7e-04 - 0.4292","0.0507","0.2719","0.1421 - 0.4018","4e-05"
60,"train_clin","0.2293","-0.061 - 0.5196","0.12157","0.3441","0.218 - 0.4702","0"
61,"train_clin","0.2481","-0.0549 - 0.5512","0.10856","0.4136","0.283 - 0.5442","0"
62,"train_clin","0.1955","-0.1273 - 0.5182","0.23516","0.3443","0.2062 - 0.4825","0"
63,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.343","0.2145 - 0.4715","0"
64,"train_clin","0.0526","-0.2448 - 0.3501","0.72874","0.1861","0.0716 - 0.3005","0.00144"
66,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.2071","0.0837 - 0.3305","0.001"
67,"train_clin","0.3722","0.0371 - 0.7073","0.02948","0.4913","0.3585 - 0.6241","0"
