i,train_auc_full,acc_train_full,test_auc_full,acc_test_full,Sens_train,Spec_train,PPV_train,NPV_train,Sens_test,Spec_test,PPV_test,NPV_test
1,0.928571429,0.862745098,0.829059829,0.818181818,90.5,83.3,79.2,92.6,77.8,84.6,77.8,84.6
2,0.89047619,0.843137255,0.811965812,0.772727273,100,73.3,72.4,100,100,61.5,64.3,100
3,0.941269841,0.882352941,0.846153846,0.772727273,95.2,83.3,80,96.2,88.9,69.2,66.7,90
4,0.928571429,0.862745098,0.820512821,0.772727273,95.2,80,76.9,96,88.9,69.2,66.7,90
5,0.93015873,0.843137255,0.777777778,0.727272727,100,73.3,72.4,100,100,53.8,60,100
6,0.922222222,0.862745098,0.863247863,0.818181818,71.4,96.7,93.8,82.9,88.9,76.9,72.7,90.9
7,0.944444444,0.901960784,0.717948718,0.727272727,100,83.3,80.8,100,88.9,61.5,61.5,88.9
8,0.957142857,0.882352941,0.692307692,0.727272727,100,80,77.8,100,100,53.8,60,100
9,0.93968254,0.941176471,0.683760684,0.681818182,90.5,96.7,95,93.5,100,46.2,56.2,100
10,0.912698413,0.843137255,0.811965812,0.772727273,85.7,83.3,78.3,89.3,66.7,84.6,75,78.6
11,0.928571429,0.882352941,0.743589744,0.772727273,81,93.3,89.5,87.5,88.9,69.2,66.7,90
12,0.920634921,0.843137255,0.846153846,0.818181818,90.5,80,76,92.3,77.8,84.6,77.8,84.6
13,0.893650794,0.823529412,0.871794872,0.863636364,76.2,86.7,80,83.9,100,76.9,75,100
14,0.915873016,0.803921569,0.709401709,0.681818182,100,66.7,67.7,100,77.8,61.5,58.3,80
15,0.944444444,0.882352941,0.700854701,0.681818182,100,80,77.8,100,77.8,61.5,58.3,80
16,0.904761905,0.823529412,0.837606838,0.818181818,90.5,76.7,73.1,92,88.9,76.9,72.7,90.9
17,0.920634921,0.823529412,0.863247863,0.863636364,95.2,73.3,71.4,95.7,100,76.9,75,100
18,0.884126984,0.843137255,0.888888889,0.863636364,90.5,80,76,92.3,77.8,92.3,87.5,85.7
19,0.947619048,0.921568627,0.700854701,0.727272727,100,86.7,84,100,66.7,76.9,66.7,76.9
20,0.938095238,0.862745098,0.692307692,0.727272727,100,76.7,75,100,55.6,84.6,71.4,73.3
21,0.877777778,0.803921569,0.923076923,0.909090909,100,66.7,67.7,100,77.8,100,100,86.7
22,0.903174603,0.823529412,0.837606838,0.772727273,81,83.3,77.3,86.2,100,61.5,64.3,100
23,0.865079365,0.803921569,0.923076923,0.863636364,90.5,73.3,70.4,91.7,100,76.9,75,100
24,0.915873016,0.862745098,0.846153846,0.772727273,100,76.7,75,100,100,61.5,64.3,100
25,0.895238095,0.843137255,0.888888889,0.863636364,95.2,76.7,74.1,95.8,88.9,84.6,80,91.7
26,0.938095238,0.882352941,0.803418803,0.818181818,95.2,83.3,80,96.2,77.8,84.6,77.8,84.6
27,0.968253968,0.921568627,0.606837607,0.727272727,95.2,90,87,96.4,77.8,69.2,63.6,81.8
28,0.925396825,0.862745098,0.803418803,0.772727273,95.2,80,76.9,96,100,61.5,64.3,100
29,0.915873016,0.843137255,0.854700855,0.772727273,95.2,76.7,74.1,95.8,100,61.5,64.3,100
30,0.926984127,0.862745098,0.769230769,0.772727273,81,90,85,87.1,66.7,84.6,75,78.6
31,0.974603175,0.941176471,0.623931624,0.681818182,90.5,96.7,95,93.5,77.8,61.5,58.3,80
32,0.946031746,0.862745098,0.726495726,0.727272727,95.2,80,76.9,96,77.8,69.2,63.6,81.8
33,0.957142857,0.901960784,0.735042735,0.772727273,90.5,90,86.4,93.1,77.8,76.9,70,83.3
34,0.880952381,0.784313725,0.897435897,0.863636364,95.2,66.7,66.7,95.2,100,76.9,75,100
35,0.93015873,0.901960784,0.88034188,0.863636364,81,96.7,94.4,87.9,100,76.9,75,100
36,0.925396825,0.862745098,0.743589744,0.727272727,85.7,86.7,81.8,89.7,77.8,69.2,63.6,81.8
37,0.957142857,0.960784314,0.683760684,0.727272727,95.2,96.7,95.2,96.7,100,53.8,60,100
38,0.903174603,0.823529412,0.888888889,0.863636364,95.2,73.3,71.4,95.7,100,76.9,75,100
