"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
1,"test_clin","-0.1197","-0.6044 - 0.365","0.62848","0.2086","0.041 - 0.3762","0.01472"
1,"test_full","0.4444","0.056 - 0.8328","0.02491","0.2086","0.041 - 0.3762","0.01472"
1,"train_clin","0.3429","0.0638 - 0.6219","0.01602","0.2951","0.2121 - 0.3781","0"
1,"train_full","0.6762","0.3878 - 0.9646","0","0.2951","0.2121 - 0.3781","0"
10,"test_clin","-0.2308","-0.4598 - -0.0017","0.04829","0.1967","0.0302 - 0.3633","0.02058"
10,"test_full","0.1795","-0.1856 - 0.5446","0.33531","0.1967","0.0302 - 0.3633","0.02058"
10,"train_clin","0.4143","0.1985 - 0.6301","0.00017","0.3299","0.2363 - 0.4235","0"
10,"train_full","0.4857","0.245 - 0.7264","8e-05","0.3299","0.2363 - 0.4235","0"
100,"test_clin","-0.0513","-0.5098 - 0.4073","0.82649","0.2298","0.0558 - 0.4037","0.00963"
100,"test_full","0.4444","0.1198 - 0.7691","0.00729","0.2298","0.0558 - 0.4037","0.00963"
100,"train_clin","0.4143","0.145 - 0.6836","0.00257","0.3298","0.2329 - 0.4268","0"
100,"train_full","0.5381","0.2984 - 0.7778","1e-05","0.3298","0.2329 - 0.4268","0"
11,"test_clin","-0.2308","-0.7229 - 0.2613","0.35803","0.096","-0.0559 - 0.2478","0.21542"
11,"test_full","0.3248","-0.0725 - 0.7221","0.1091","0.096","-0.0559 - 0.2478","0.21542"
11,"train_clin","0.3619","0.1143 - 0.6095","0.00417","0.2857","0.194 - 0.3774","0"
11,"train_full","0.4762","0.2258 - 0.7266","0.00019","0.2857","0.194 - 0.3774","0"
12,"test_clin","0.0769","-0.4292 - 0.583","0.76578","0.3081","0.1355 - 0.4806","0.00047"
12,"test_full","0.6325","0.277 - 0.988","0.00049","0.3081","0.1355 - 0.4806","0.00047"
12,"train_clin","0.2","-0.0853 - 0.4853","0.16948","0.2611","0.1704 - 0.3518","0"
12,"train_full","0.4619","0.1737 - 0.7501","0.00168","0.2611","0.1704 - 0.3518","0"
13,"test_clin","0.3675","0.012 - 0.723","0.04273","0.244","0.1515 - 0.3364","0"
13,"test_full","0.7094","0.3301 - 1.0887","0.00025","0.244","0.1515 - 0.3364","0"
13,"train_clin","0.2524","0.0104 - 0.4943","0.04089","0.1719","0.0971 - 0.2467","1e-05"
13,"train_full","0.2667","0.0276 - 0.5057","0.0288","0.1719","0.0971 - 0.2467","1e-05"
14,"test_clin","-0.265","-0.7849 - 0.255","0.31789","0.0413","-0.172 - 0.2545","0.70442"
14,"test_full","0.6154","0.2094 - 1.0213","0.00297","0.0413","-0.172 - 0.2545","0.70442"
14,"train_clin","0.4095","0.1275 - 0.6916","0.00443","0.3761","0.2741 - 0.478","0"
14,"train_full","0.6333","0.4609 - 0.8058","0","0.3761","0.2741 - 0.478","0"
15,"test_clin","-0.453","-0.9693 - 0.0633","0.08548","0.1127","-0.066 - 0.2914","0.21656"
15,"test_full","-0.1111","-0.634 - 0.4118","0.67704","0.1127","-0.066 - 0.2914","0.21656"
15,"train_clin","0.4857","0.2112 - 0.7602","0.00052","0.4158","0.3236 - 0.5079","0"
15,"train_full","0.8429","0.6208 - 1.0649","0","0.4158","0.3236 - 0.5079","0"
16,"test_clin","0.1111","-0.0942 - 0.3164","0.28884","0.2196","0.1198 - 0.3194","2e-05"
16,"test_full","0.7607","0.377 - 1.1444","1e-04","0.2196","0.1198 - 0.3194","2e-05"
16,"train_clin","0.219","-0.0479 - 0.486","0.10777","0.1845","0.1098 - 0.2591","0"
16,"train_full","0.4333","0.1869 - 0.6797","0.00057","0.1845","0.1098 - 0.2591","0"
17,"test_clin","0.3077","-0.1432 - 0.7585","0.18101","0.2451","0.0959 - 0.3942","0.00128"
17,"test_full","0.5299","0.1031 - 0.9567","0.01496","0.2451","0.0959 - 0.3942","0.00128"
17,"train_clin","0.2524","0.0097 - 0.495","0.04149","0.198","0.1216 - 0.2743","0"
17,"train_full","0.419","0.1247 - 0.7134","0.00526","0.198","0.1216 - 0.2743","0"
18,"test_clin","0.2991","-0.0087 - 0.607","0.05682","0.2012","0.133 - 0.2693","0"
18,"test_full","0.8376","0.4585 - 1.2167","1e-05","0.2012","0.133 - 0.2693","0"
18,"train_clin","0.1571","-0.1325 - 0.4468","0.28764","0.1256","0.0613 - 0.1899","0.00013"
18,"train_full","0.4619","0.1587 - 0.7652","0.00283","0.1256","0.0613 - 0.1899","0.00013"
19,"test_clin","0.2952","0.2952","0.0177 - 0.5728","0.1952","0.1952","0.1262 - 0.2641"
19,"test_full","0.4444","0.0014 - 0.8875","0.04929","0.1514","-0.014 - 0.3168","0.07287"
19,"train_clin","0.3714","0.0848 - 0.658","0.01108","0.2431","0.1669 - 0.3194","0"
19,"train_full","0.4619","0.1889 - 0.7349","0.00091","0.2431","0.1669 - 0.3194","0"
2,"test_clin","0","-0.4356 - 0.4356","1","0.1403","-0.0096 - 0.2902","0.06656"
2,"test_full","0.3675","-0.047 - 0.7821","0.08226","0.1403","-0.0096 - 0.2902","0.06656"
2,"train_clin","0.3429","0.0489 - 0.6368","0.02223","0.2442","0.1692 - 0.3191","0"
2,"train_full","0.5714","0.2909 - 0.852","7e-05","0.2442","0.1692 - 0.3191","0"
20,"test_clin","-0.0769","-0.4173 - 0.2634","0.65778","0.1446","-0.0024 - 0.2915","0.05381"
