iter,model,nri_value,nri_ci,nri_p,idi_value,idi_ci,idi_p
1,train_clin,0.3429,0.0638 - 0.6219,0.01602,0.2951,0.2121 - 0.3781,0
10,train_clin,0.4143,0.1985 - 0.6301,0.00017,0.3299,0.2363 - 0.4235,0
100,train_clin,0.4143,0.145 - 0.6836,0.00257,0.3298,0.2329 - 0.4268,0
11,train_clin,0.3619,0.1143 - 0.6095,0.00417,0.2857,0.194 - 0.3774,0
12,train_clin,0.2,-0.0853 - 0.4853,0.16948,0.2611,0.1704 - 0.3518,0
13,train_clin,0.2524,0.0104 - 0.4943,0.04089,0.1719,0.0971 - 0.2467,1.00E-05
14,train_clin,0.4095,0.1275 - 0.6916,0.00443,0.3761,0.2741 - 0.478,0
15,train_clin,0.4857,0.2112 - 0.7602,0.00052,0.4158,0.3236 - 0.5079,0
16,train_clin,0.219,-0.0479 - 0.486,0.10777,0.1845,0.1098 - 0.2591,0
17,train_clin,0.2524,0.0097 - 0.495,0.04149,0.198,0.1216 - 0.2743,0
18,train_clin,0.1571,-0.1325 - 0.4468,0.28764,0.1256,0.0613 - 0.1899,0.00013
19,train_clin,0.3714,0.0848 - 0.658,0.01108,0.2431,0.1669 - 0.3194,0
2,train_clin,0.3429,0.0489 - 0.6368,0.02223,0.2442,0.1692 - 0.3191,0
20,train_clin,0.1714,-0.1473 - 0.4902,0.29184,0.2207,0.1344 - 0.307,0
21,train_clin,0.1667,-0.1081 - 0.4415,0.23453,0.2389,0.1619 - 0.3159,0
22,train_clin,0.219,-0.0314 - 0.4695,0.08648,0.181,0.1077 - 0.2544,0
23,train_clin,0.219,-0.0928 - 0.5308,0.16853,0.187,0.1188 - 0.2553,0
24,train_clin,0.3286,0.075 - 0.5821,0.01108,0.2225,0.1462 - 0.2988,0
25,train_clin,0.3286,0.0912 - 0.5659,0.00666,0.265,0.1823 - 0.3477,0
26,train_clin,0.4095,0.1603 - 0.6588,0.00128,0.2519,0.1671 - 0.3367,0
27,train_clin,0.3429,0.0497 - 0.636,0.02187,0.3916,0.2952 - 0.4879,0
28,train_clin,0.4,0.1814 - 0.6186,0.00034,0.2869,0.2077 - 0.3661,0
29,train_clin,0.2667,0.0097 - 0.5237,0.04197,0.2193,0.1318 - 0.3068,0
3,train_clin,0.4238,0.1211 - 0.7265,0.00607,0.4246,0.329 - 0.5202,0
30,train_clin,0.2,-0.0991 - 0.4991,0.19004,0.2122,0.1275 - 0.297,0
31,train_clin,0.4619,0.1952 - 0.7286,0.00069,0.5543,0.4631 - 0.6455,0
32,train_clin,0.3905,0.1115 - 0.6695,0.00609,0.4342,0.3354 - 0.5331,0
33,train_clin,0.3762,0.1199 - 0.6325,0.00402,0.3174,0.2269 - 0.4079,0
34,train_clin,0.1667,-0.0921 - 0.4255,0.20685,0.1773,0.108 - 0.2467,0
35,train_clin,0.3667,0.1173 - 0.6161,0.00396,0.3023,0.2054 - 0.3992,0
36,train_clin,0.2048,-0.0632 - 0.4727,0.13421,0.1692,0.0824 - 0.256,0.00013
37,train_clin,0.4333,0.1389 - 0.7277,0.00391,0.3873,0.2949 - 0.4798,0
38,train_clin,0.2952,0.0027 - 0.5877,0.04789,0.2519,0.1702 - 0.3336,0
39,train_clin,0.3762,0.1199 - 0.6325,0.00402,0.3169,0.2232 - 0.4105,0
4,train_clin,0.3762,0.1092 - 0.6431,0.00575,0.3356,0.2403 - 0.4308,0
40,train_clin,0.281,0.0296 - 0.5324,0.0285,0.2301,0.1458 - 0.3144,0
41,train_clin,0.2143,-0.0325 - 0.4611,0.08884,0.2197,0.1411 - 0.2983,0
42,train_clin,0.219,-0.0634 - 0.5015,0.12855,0.2104,0.1382 - 0.2826,0
43,train_clin,0.4238,0.1675 - 0.6801,0.00119,0.2856,0.2034 - 0.3677,0
44,train_clin,0.2952,0.0177 - 0.5728,0.03706,0.1952,0.1262 - 0.2641,0
45,train_clin,0.3667,0.0857 - 0.6476,0.01052,0.337,0.2496 - 0.4243,0
46,train_clin,0.281,0.0125 - 0.5494,0.04027,0.35,0.2589 - 0.4411,0
47,train_clin,0.2476,-0.0269 - 0.5221,0.07707,0.2133,0.1386 - 0.2879,0
48,train_clin,0.2619,-0.021 - 0.5448,0.06955,0.234,0.1568 - 0.3112,0
49,train_clin,0.4238,0.1211 - 0.7265,0.00607,0.2949,0.2152 - 0.3746,0
5,train_clin,0.1714,-0.1042 - 0.4471,0.22291,0.3444,0.2465 - 0.4422,0
50,train_clin,0.3286,0.057 - 0.6001,0.01772,0.3179,0.223 - 0.4128,0
51,train_clin,0.3048,0.0635 - 0.5461,0.01331,0.3072,0.2183 - 0.3961,0
52,train_clin,0.1286,-0.1543 - 0.4114,0.37294,0.1688,0.1034 - 0.2342,0
53,train_clin,0.1095,-0.1542 - 0.3733,0.41568,0.1368,0.0714 - 0.2021,4.00E-05
54,train_clin,0.5667,0.3029 - 0.8305,3.00E-05,0.4801,0.3825 - 0.5776,0
55,train_clin,0.0476,-0.1601 - 0.2553,0.65317,0.1436,0.0762 - 0.2111,3.00E-05
56,train_clin,0.2476,-0.042 - 0.5373,0.09382,0.1601,0.0835 - 0.2367,4.00E-05
57,train_clin,0.2714,0.0035 - 0.5394,0.04711,0.195,0.1096 - 0.2803,1.00E-05
58,train_clin,0.281,0.0296 - 0.5324,0.0285,0.2813,0.2 - 0.3627,0
59,train_clin,0.3429,0.0638 - 0.6219,0.01602,0.2451,0.1687 - 0.3214,0
6,train_clin,0.2476,-0.0102 - 0.5054,0.05978,0.3292,0.2301 - 0.4282,0
60,train_clin,0.3095,0.021 - 0.598,0.03546,0.2256,0.1424 - 0.3089,0
61,train_clin,0.3476,0.077 - 0.6182,0.01181,0.2392,0.1568 - 0.3217,0
62,train_clin,0.1524,-0.1271 - 0.4318,0.28517,0.2821,0.1929 - 0.3713,0
63,train_clin,0.2333,-0.0305 - 0.4971,0.083,0.2768,0.1874 - 0.3662,0
64,train_clin,0.3143,0.0532 - 0.5754,0.01832,0.2022,0.1257 - 0.2786,0
65,train_clin,0.3286,0.0912 - 0.5659,0.00666,0.3873,0.2982 - 0.4765,0
66,train_clin,0.3952,0.1555 - 0.635,0.00123,0.3231,0.2276 - 0.4186,0
67,train_clin,0.219,-0.0922 - 0.5303,0.16776,0.2953,0.2078 - 0.3828,0
68,train_clin,0.4286,0.1976 - 0.6595,0.00028,0.4167,0.3157 - 0.5177,0
69,train_clin,0.3143,0.0367 - 0.5919,0.02649,0.2029,0.1268 - 0.2791,0
7,train_clin,0.4238,0.1507 - 0.6969,0.00235,0.3831,0.2948 - 0.4713,0
70,train_clin,0.3333,0.0297 - 0.637,0.03145,0.2074,0.1299 - 0.285,0
71,train_clin,0.3286,0.0417 - 0.6154,0.02476,0.2879,0.2056 - 0.3701,0
72,train_clin,0.3714,0.1159 - 0.6269,0.00438,0.3691,0.2725 - 0.4656,0
73,train_clin,0.381,0.0874 - 0.6745,0.01097,0.2656,0.1841 - 0.3471,0
74,train_clin,0.5048,0.275 - 0.7345,2.00E-05,0.5104,0.3985 - 0.6222,0
75,train_clin,0.2905,-0.0117 - 0.5926,0.05954,0.2514,0.1704 - 0.3323,0
76,train_clin,0.2667,0.0276 - 0.5057,0.0288,0.3077,0.2068 - 0.4087,0
77,train_clin,0.281,-0.0176 - 0.5796,0.06516,0.2966,0.2066 - 0.3867,0
78,train_clin,0.2,-0.0853 - 0.4853,0.16948,0.2827,0.1943 - 0.371,0
79,train_clin,0.1238,-0.1255 - 0.3731,0.3303,0.1961,0.1224 - 0.2697,0
8,train_clin,0.3952,0.1383 - 0.6521,0.00257,0.4035,0.3046 - 0.5023,0
80,train_clin,0.1524,-0.1271 - 0.4318,0.28517,0.192,0.1119 - 0.2721,0
81,train_clin,0.4048,0.1546 - 0.6549,0.00152,0.3188,0.2316 - 0.406,0
82,train_clin,0.4238,0.1675 - 0.6801,0.00119,0.3836,0.292 - 0.4752,0
83,train_clin,0.4714,0.2341 - 0.7088,1.00E-04,0.4291,0.34 - 0.5182,0
84,train_clin,0.219,-0.0314 - 0.4695,0.08648,0.2961,0.2039 - 0.3883,0
85,train_clin,0.219,0.0062 - 0.4319,0.04368,0.2402,0.1539 - 0.3265,0
86,train_clin,0.2,-0.0853 - 0.4853,0.16948,0.287,0.1939 - 0.38,0
87,train_clin,0.3571,0.1053 - 0.609,0.00544,0.2626,0.1821 - 0.3431,0
88,train_clin,0.3619,0.0813 - 0.6425,0.01147,0.2906,0.2107 - 0.3705,0
89,train_clin,0.3429,0.098 - 0.5877,0.00606,0.266,0.1872 - 0.3447,0
9,train_clin,0.4286,0.1976 - 0.6595,0.00028,0.3187,0.2203 - 0.417,0
90,train_clin,0.2952,0.0027 - 0.5877,0.04789,0.3118,0.2242 - 0.3993,0
91,train_clin,0.3619,0.0665 - 0.6573,0.01634,0.3034,0.2116 - 0.3952,0
92,train_clin,0.0905,-0.1486 - 0.3295,0.45823,0.1606,0.0768 - 0.2444,0.00017
93,train_clin,0.3476,0.094 - 0.6013,0.00723,0.3579,0.2617 - 0.4541,0
94,train_clin,0.4619,0.1946 - 0.7292,0.00071,0.3516,0.2619 - 0.4413,0
95,train_clin,0.2286,-0.0269 - 0.4841,0.07955,0.2333,0.1504 - 0.3163,0
96,train_clin,0.3143,0.0898 - 0.5388,0.00608,0.2566,0.1826 - 0.3307,0
97,train_clin,0.281,0.0471 - 0.5148,0.01851,0.3122,0.2272 - 0.3972,0
98,train_clin,0.3952,0.134 - 0.6565,0.00303,0.235,0.1665 - 0.3036,0
99,train_clin,0.2333,-0.0131 - 0.4797,0.06345,0.212,0.1403 - 0.2838,0
