iter,model,nri_value,nri_ci,nri_p,idi_value,idi_ci,idi_p
1,train_full,0.6762,0.3878 - 0.9646,0,0.2951,0.2121 - 0.3781,0
10,train_full,0.4857,0.245 - 0.7264,8.00E-05,0.3299,0.2363 - 0.4235,0
100,train_full,0.5381,0.2984 - 0.7778,1.00E-05,0.3298,0.2329 - 0.4268,0
11,train_full,0.4762,0.2258 - 0.7266,0.00019,0.2857,0.194 - 0.3774,0
12,train_full,0.4619,0.1737 - 0.7501,0.00168,0.2611,0.1704 - 0.3518,0
13,train_full,0.2667,0.0276 - 0.5057,0.0288,0.1719,0.0971 - 0.2467,1.00E-05
14,train_full,0.6333,0.4609 - 0.8058,0,0.3761,0.2741 - 0.478,0
15,train_full,0.8429,0.6208 - 1.0649,0,0.4158,0.3236 - 0.5079,0
16,train_full,0.4333,0.1869 - 0.6797,0.00057,0.1845,0.1098 - 0.2591,0
17,train_full,0.419,0.1247 - 0.7134,0.00526,0.198,0.1216 - 0.2743,0
18,train_full,0.4619,0.1587 - 0.7652,0.00283,0.1256,0.0613 - 0.1899,0.00013
19,train_full,0.4619,0.1889 - 0.7349,0.00091,0.2431,0.1669 - 0.3194,0
2,train_full,0.5714,0.2909 - 0.852,7.00E-05,0.2442,0.1692 - 0.3191,0
20,train_full,0.4857,0.1969 - 0.7746,0.00098,0.2207,0.1344 - 0.307,0
21,train_full,0.4905,0.2064 - 0.7746,0.00071,0.2389,0.1619 - 0.3159,0
22,train_full,0.281,0.0471 - 0.5148,0.01851,0.181,0.1077 - 0.2544,0
23,train_full,0.4143,0.1138 - 0.7148,0.00689,0.187,0.1188 - 0.2553,0
24,train_full,0.5619,0.285 - 0.8388,7.00E-05,0.2225,0.1462 - 0.2988,0
25,train_full,0.5524,0.2754 - 0.8294,9.00E-05,0.265,0.1823 - 0.3477,0
26,train_full,0.5571,0.2675 - 0.8468,0.00016,0.2519,0.1671 - 0.3367,0
27,train_full,0.5143,0.2103 - 0.8183,0.00091,0.3916,0.2952 - 0.4879,0
28,train_full,0.6762,0.3878 - 0.9646,0,0.2869,0.2077 - 0.3661,0
29,train_full,0.4762,0.179 - 0.7734,0.00169,0.2193,0.1318 - 0.3068,0
3,train_full,0.6095,0.302 - 0.9171,1.00E-04,0.4246,0.329 - 0.5202,0
30,train_full,0.4143,0.1606 - 0.6679,0.00137,0.2122,0.1275 - 0.297,0
31,train_full,0.8238,0.6609 - 0.9867,0,0.5543,0.4631 - 0.6455,0
32,train_full,0.6286,0.3573 - 0.8999,1.00E-05,0.4342,0.3354 - 0.5331,0
33,train_full,0.4429,0.2014 - 0.6843,0.00032,0.3174,0.2269 - 0.4079,0
34,train_full,0.4238,0.1312 - 0.7164,0.00453,0.1773,0.108 - 0.2467,0
35,train_full,0.4619,0.2222 - 0.7016,0.00016,0.3023,0.2054 - 0.3992,0
36,train_full,0.381,0.1187 - 0.6432,0.0044,0.1692,0.0824 - 0.256,0.00013
37,train_full,0.6048,0.3836 - 0.826,0,0.3873,0.2949 - 0.4798,0
38,train_full,0.4714,0.2005 - 0.7424,0.00065,0.2519,0.1702 - 0.3336,0
39,train_full,0.4238,0.1675 - 0.6801,0.00119,0.3169,0.2232 - 0.4105,0
4,train_full,0.4238,0.1462 - 0.7014,0.00277,0.3356,0.2403 - 0.4308,0
40,train_full,0.3286,0.0739 - 0.5833,0.01145,0.2301,0.1458 - 0.3144,0
41,train_full,0.3619,0.1143 - 0.6095,0.00417,0.2197,0.1411 - 0.2983,0
42,train_full,0.4667,0.2137 - 0.7196,3.00E-04,0.2104,0.1382 - 0.2826,0
43,train_full,0.4714,0.2167 - 0.7261,0.00029,0.2856,0.2034 - 0.3677,0
44,train_full,0.4476,0.1408 - 0.7544,0.00424,0.1952,0.1262 - 0.2641,0
45,train_full,0.4905,0.232 - 0.749,2.00E-04,0.337,0.2496 - 0.4243,0
46,train_full,0.6571,0.3638 - 0.9505,1.00E-05,0.35,0.2589 - 0.4411,0
47,train_full,0.4952,0.2431 - 0.7474,0.00012,0.2133,0.1386 - 0.2879,0
48,train_full,0.5429,0.2945 - 0.7912,2.00E-05,0.234,0.1568 - 0.3112,0
