,feature,coef,MTX+HCQ_non-responder,MTX+LEF_responder,Metabolites,Number of Detected Samples,,,
71,Inosinic acid,1.969967926,20,27,,MTX+HCQ_responder,MTX+HCQ_non-responder,MTX+LEF_responder,MTX+LEF_non-responder
18,Hypoxanthine,-1.540779052,20,27,Acetoacetate,20,27,30,43
120,Cytosine,1.412746971,19,19,4-aminobutanoate,20,27,30,43
62,5-Thymidylic acid,1.312805093,20,24,Malonic acid,20,27,30,43
81,Adenosine triphosphate,-1.063998188,19,27,(R)-3-Hydroxybutyric acid,20,27,30,43
25,Enol-phenylpyruvate,-0.942547269,20,27,Uracil,20,27,30,43
178,1-methyladenosine,-0.890237655,20,27,Maleic acid,20,27,30,43
55,Argininosuccinic acid,-0.861822661,20,27,N-acetylglycine,20,27,30,43
110,Trimethylamine,0.808101284,20,27,Guanidoacetic acid,20,27,30,43
89,cis-Aconitic acid,-0.777706156,20,27,2-hydroxyisovaleric acid,20,27,30,43
21,Xanthine,-0.742473955,20,27,Succinic acid,20,27,30,43
67,Sucrose,0.7166879,20,27,Methylmalonic acid,20,27,30,43
169,N1-Acetylspermine,0.645191447,6,5,Benzoic acid,20,27,30,43
60,N-Acetylneuraminic acid,0.628277914,20,27,Methyl (R)-4-methyl-2-oxopentanoate,19,27,30,43
123,5-Aminopentanoic acid,-0.620774129,20,27,(R)-2-hydroxyisocaproate,20,27,30,43
122,L-Proline,-0.610984286,20,27,Glutarate,20,27,30,43
171,Adenosine,-0.586332329,18,22,(S)-malate,20,27,30,43
47,D-Ribose 5-phosphate,-0.580356789,20,27,Adenine,20,27,30,43
75,Uridine 5'-diphosphate,-0.552858712,19,27,Hypoxanthine,20,27,30,43
53,Alpha-Linolenic acid,-0.52717942,20,27,Adipic acid,20,27,30,43
64,"Alpha-D-Glucose 1,6-bisphosphate",-0.454127907,20,27,Mevalonic acid,20,27,30,43
23,Orotic acid,-0.430494701,20,27,Xanthine,20,27,30,43
180,Xanthurenic acid,-0.39271341,20,27,Dopamine,12,16,14,29
58,dCMP,-0.381913152,15,23,Orotic acid,20,27,30,43
27,Homogentisic acid,0.319990129,20,27,Aminoadipic acid,20,27,30,43
73,Orotidylic acid,0.208069428,19,27,Enol-phenylpyruvate,20,27,30,43
20,Mevalonic acid,-0.191083084,20,27,Phosphoenolpyruvic acid,20,27,30,43
102,Geranyl-PP,0.175632933,20,27,Homogentisic acid,20,27,30,43
126,Indole,-0.069450485,13,18,Uric acid,20,27,30,43
124,Betaine,0.051490376,20,27,Dihydroxyacetone phosphate,20,27,30,43
,,,#N/A,#N/A,D-Glyceraldehyde 3-phosphate,20,27,30,43
,,,#N/A,#N/A,Shikimic acid,20,27,30,43
,,,#N/A,#N/A,Citrulline,20,27,30,43
,,,#N/A,#N/A,Hippuric acid,20,27,30,43
,,,#N/A,#N/A,myo-Inositol,20,27,30,43
,,,#N/A,#N/A,lactose,20,27,30,43
,,,#N/A,#N/A,4-Hydroxyphenylpyruvic acid,20,27,30,43
,,,#N/A,#N/A,4-Pyridoxic acid,20,27,30,43
,,,#N/A,#N/A,2-Phosphoglyceric acid,20,27,30,43
,,,#N/A,#N/A,Azelaic acid,20,27,30,43
,,,#N/A,#N/A,4-hydroxy-2-quinolinecarboxylic acid,20,27,30,43
,,,#N/A,#N/A,D-Glucuronic acid,20,27,30,43
,,,#N/A,#N/A,Indoxyl sulfate,20,27,30,43
,,,#N/A,#N/A,Pantothenic acid,20,27,30,43
,,,#N/A,#N/A,L-Cystathionine,20,27,30,43
,,,#N/A,#N/A,3-Nitrotyrosine,20,27,30,43
,,,#N/A,#N/A,Myristic acid,20,27,30,43
,,,#N/A,#N/A,D-Ribose 5-phosphate,20,27,30,43
,,,#N/A,#N/A,Biotin,20,27,30,43
,,,#N/A,#N/A,Fructose 6-phosphate,19,27,30,43
,,,#N/A,#N/A,Glucose 6-phosphate,19,27,30,43
,,,#N/A,#N/A,Heptadecanoic acid,20,27,30,43
,,,#N/A,#N/A,Linolenate,20,27,30,43
,,,#N/A,#N/A,Alpha-Linolenic acid,20,27,30,43
,,,#N/A,#N/A,Xanthosine,20,27,30,43
,,,#N/A,#N/A,Argininosuccinic acid,20,27,30,43
,,,#N/A,#N/A,13(S)-HODE,20,27,30,43
,,,#N/A,#N/A,Arachidonic acid,20,27,30,43
,,,#N/A,#N/A,dCMP,15,23,30,39
,,,#N/A,#N/A,Glutathione,9,12,10,23
,,,#N/A,#N/A,N-Acetylneuraminic acid,20,27,30,43
,,,#N/A,#N/A,12(S)-HETE,20,27,30,43
,,,#N/A,#N/A,5-Thymidylic acid,20,24,28,38
,,,#N/A,#N/A,Cytidine monophosphate,18,25,28,38
,,,#N/A,#N/A,"Alpha-D-Glucose 1,6-bisphosphate",20,27,30,43
,,,#N/A,#N/A,"Fructose 1,6-bisphosphate",20,27,30,43
,,,#N/A,#N/A,Alpha-Lactose,20,27,30,43
,,,#N/A,#N/A,Sucrose,20,27,30,43
,,,#N/A,#N/A,Cyclic GMP,16,24,29,41
,,,#N/A,#N/A,Gibberellin A3,20,27,30,43
,,,#N/A,#N/A,Adenosine monophosphate,20,27,30,43
,,,#N/A,#N/A,Inosinic acid,20,27,30,43
,,,#N/A,#N/A,Prostaglandin E2,20,27,30,43
,,,#N/A,#N/A,Orotidylic acid,19,27,30,43
,,,#N/A,#N/A,S-Adenosylhomocysteine,20,27,30,43
,,,#N/A,#N/A,Uridine 5'-diphosphate,19,27,30,43
,,,#N/A,#N/A,ADP,20,26,29,41
,,,#N/A,#N/A,Folic acid,15,21,24,32
,,,#N/A,#N/A,Guanosine diphosphate,20,27,29,42
,,,#N/A,#N/A,5-Methyltetrahydrofolic acid,16,16,23,30
,,,#N/A,#N/A,Glycocholic acid,20,27,30,43
,,,#N/A,#N/A,Adenosine triphosphate,19,27,30,43
,,,#N/A,#N/A,Taurocholic acid,20,27,30,43
,,,#N/A,#N/A,Oxidized glutathione,3,1,4,4
,,,#N/A,#N/A,NAD,7,5,11,19
,,,#N/A,#N/A,L-Lactic acid,20,27,30,43
,,,#N/A,#N/A,Dimethyl fumarate,20,27,30,43
,,,#N/A,#N/A,Citraconic acid,20,27,30,43
,,,#N/A,#N/A,Allantoin,20,27,30,43
,,,#N/A,#N/A,cis-Aconitic acid,20,27,30,43
,,,#N/A,#N/A,Citric acid,20,27,30,43
,,,#N/A,#N/A,Chenodeoxycholic acid glycine conjugate,20,27,30,43
,,,#N/A,#N/A,Malondialdehyde,20,27,30,43
,,,#N/A,#N/A,2-methylpropanoate,20,27,30,43
,,,#N/A,#N/A,Glyceric acid,20,27,30,43
,,,#N/A,#N/A,Alpha-ketoisovaleric acid,20,27,30,43
,,,#N/A,#N/A,Methylsuccinic acid,20,27,30,43
,,,#N/A,#N/A,Oxalacetic acid,20,27,30,43
,,,#N/A,#N/A,Oxoglutaric acid,20,27,30,43
,,,#N/A,#N/A,2-Hydroxyglutarate,20,27,30,43
,,,#N/A,#N/A,D-Fructose,20,27,30,43
,,,#N/A,#N/A,Glucose 1-phosphate,20,27,30,43
,,,#N/A,#N/A,Geranyl-PP,20,27,30,43
,,,#N/A,#N/A,Adenylsuccinic acid,20,27,30,43
,,,#N/A,#N/A,Glycerol 3-phosphate,20,27,30,43
,,,#N/A,#N/A,Glyceraldehyde,20,27,30,43
,,,#N/A,#N/A,Pyruvic acid,20,27,30,43
,,,#N/A,#N/A,Methyl (R)-3-methyl-2-oxopentanoate,20,27,30,43
,,,#N/A,#N/A,Isocitric acid,20,27,30,43
,,,#N/A,#N/A,Homovanillic acid,20,27,30,43
,,,#N/A,#N/A,Trimethylamine,20,27,30,43
,,,#N/A,#N/A,Glycine,20,27,30,43
,,,#N/A,#N/A,Trimethylamine N-oxide,20,27,30,43
,,,#N/A,#N/A,Sarcosine,20,27,30,43
,,,#N/A,#N/A,L-Alanine,20,27,30,43
,,,#N/A,#N/A,Cadaverine,20,27,30,43
,,,#N/A,#N/A,3-aminoisobutyric acid,20,27,30,43
,,,#N/A,#N/A,Choline,20,27,30,43
,,,#N/A,#N/A,Dimethylglycine,20,27,30,43
,,,#N/A,#N/A,L-Serine,20,27,30,43
,,,#N/A,#N/A,Cytosine,19,19,23,32
,,,#N/A,#N/A,Creatinine,20,27,30,43
,,,#N/A,#N/A,L-Proline,20,27,30,43
,,,#N/A,#N/A,5-Aminopentanoic acid,20,27,30,43
,,,#N/A,#N/A,Betaine,20,27,30,43
,,,#N/A,#N/A,L-Valine,20,27,30,43
,,,#N/A,#N/A,Indole,13,18,28,29
,,,#N/A,#N/A,L-Homoserine,20,27,30,43
,,,#N/A,#N/A,L-Threonine,20,27,30,43
,,,#N/A,#N/A,L-Cysteine,11,15,9,23
,,,#N/A,#N/A,Niacinamide,20,27,30,43
,,,#N/A,#N/A,Taurine,20,27,30,43
,,,#N/A,#N/A,Pyroglutamic acid,20,27,30,43
,,,#N/A,#N/A,L-Pipecolic acid,20,27,30,43
,,,#N/A,#N/A,N-Acetylputrescine,20,27,30,43
,,,#N/A,#N/A,Creatine,20,27,30,43
,,,#N/A,#N/A,4-Hydroxyproline,20,27,30,43
,,,#N/A,#N/A,5-Aminolevulinic acid,20,27,30,43
,,,#N/A,#N/A,L-Isoleucine,20,27,30,43
,,,#N/A,#N/A,L-Leucine,20,27,30,43
,,,#N/A,#N/A,Ornithine,20,27,30,43
,,,#N/A,#N/A,L-Asparagine,20,27,30,43
,,,#N/A,#N/A,Homocysteine,20,27,30,43
,,,#N/A,#N/A,N-Methylnicotinamide,20,27,30,43
,,,#N/A,#N/A,Tyramine,6,5,5,12
,,,#N/A,#N/A,4-Acetamidobutanoic acid,20,27,30,43
,,,#N/A,#N/A,Spermidine,17,19,23,32
,,,#N/A,#N/A,L-Glutamine,20,27,30,43
,,,#N/A,#N/A,L-Lysine,20,27,30,43
,,,#N/A,#N/A,DL-Glutamate,20,27,30,43
,,,#N/A,#N/A,L-Methionine,20,27,30,43
,,,#N/A,#N/A,L-Histidine,20,27,30,43
,,,#N/A,#N/A,Tryptamine,19,23,24,34
,,,#N/A,#N/A,L-Carnitine,20,27,30,43
,,,#N/A,#N/A,L-Phenylalanine,20,27,30,43
,,,#N/A,#N/A,1-Methyl-L-histidine,20,27,30,43
,,,#N/A,#N/A,L-Arginine,20,27,30,43
,,,#N/A,#N/A,Indoleacetic acid,20,27,30,43
,,,#N/A,#N/A,Glucosamine,19,23,29,41
,,,#N/A,#N/A,L-Tyrosine,20,27,30,43
,,,#N/A,#N/A,N8-Acetylspermidine,20,27,30,43
,,,#N/A,#N/A,L-Acetylcarnitine,20,27,30,43
,,,#N/A,#N/A,L-Tryptophan,20,27,30,43
,,,#N/A,#N/A,Indolelactic acid,20,27,30,43
,,,#N/A,#N/A,L-Kynurenine,20,27,30,43
,,,#N/A,#N/A,3-hydroxy-L-kynurenin,9,9,12,21
,,,#N/A,#N/A,Melatonin,19,23,26,35
,,,#N/A,#N/A,L-Cystine,20,27,30,43
,,,#N/A,#N/A,Cytidine,20,27,30,43
,,,#N/A,#N/A,N1-Acetylspermine,6,5,9,16
,,,#N/A,#N/A,Uridine,20,27,30,43
,,,#N/A,#N/A,Adenosine,18,22,24,34
,,,#N/A,#N/A,Inosine,20,27,30,43
,,,#N/A,#N/A,6-methyladenosine,20,24,26,36
,,,#N/A,#N/A,Guanosine monophosphate,18,24,27,36
,,,#N/A,#N/A,S-Adenosylmethionine,1,4,5,2
,,,#N/A,#N/A,Alpha-Tocopherol,20,27,30,43
,,,#N/A,#N/A,Bilirubin,20,26,30,42
,,,#N/A,#N/A,1-methyladenosine,20,27,30,43
,,,#N/A,#N/A,Serotonin,20,27,30,43
,,,#N/A,#N/A,Xanthurenic acid,20,27,30,43
,,,#N/A,#N/A,4-Trimethylammoniobutanoic acid,20,27,30,43
,,,#N/A,#N/A,Epinephrine,20,27,30,43
,,,#N/A,#N/A,Indolepyruvate,14,16,17,31
,,,#N/A,#N/A,1-Methylguanosine,20,27,30,43
,,,#N/A,#N/A,Normetanephrine,9,12,16,31
