"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.973684210526316,0.939393939393939,0.875,0.857142857142857,0.539278441077871,0.0914506528811904,92.9,94.7,92.9,94.7,100,75,75,100
2,0.932330827067669,0.878787878787879,0.916666666666667,0.928571428571429,0.408938280330233,0.629413063286096,85.7,89.5,85.7,89.5,83.3,100,100,88.9
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.93984962406015,0.878787878787879,0.833333333333333,0.857142857142857,0.358668957155795,0.424405989276375,92.9,84.2,81.2,94.1,83.3,87.5,83.3,87.5
5,0.93984962406015,0.909090909090909,0.958333333333333,0.928571428571429,0.486432021510634,0.421633461639338,85.7,94.7,92.3,90,83.3,100,100,88.9
6,0.958646616541353,0.909090909090909,0.9375,0.928571428571429,0.352474326492167,0.516788875220359,92.9,89.5,86.7,94.4,83.3,100,100,88.9
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.954887218045113,0.909090909090909,0.916666666666667,0.928571428571429,0.456757394028411,0.624540912271596,92.9,89.5,86.7,94.4,83.3,100,100,88.9
9,0.93984962406015,0.878787878787879,0.895833333333333,0.857142857142857,0.363759805604564,0.533718074678457,92.9,84.2,81.2,94.1,66.7,100,100,80
10,0.962406015037594,0.939393939393939,0.895833333333333,0.857142857142857,0.54598976383102,0.837104498367432,85.7,100,100,90.5,83.3,87.5,83.3,87.5
11,0.93609022556391,0.909090909090909,0.875,0.857142857142857,0.523890135378718,0.631461832530612,85.7,94.7,92.3,90,66.7,100,100,80
12,0.958646616541353,0.939393939393939,0.916666666666667,0.857142857142857,0.531448785827609,0.832287033223313,85.7,100,100,90.5,83.3,87.5,83.3,87.5
13,0.996240601503759,0.96969696969697,0.875,0.857142857142857,0.399577106864414,0.104705613049661,100,94.7,93.3,100,100,75,75,100
14,0.958646616541353,0.878787878787879,0.833333333333333,0.857142857142857,0.29807258943622,0.575418218886368,100,78.9,77.8,100,66.7,100,100,80
15,0.954887218045113,0.909090909090909,0.875,0.928571428571429,0.543980114656917,0.520538290710279,85.7,94.7,92.3,90,83.3,100,100,88.9
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.924812030075188,0.848484848484849,0.958333333333333,0.928571428571429,0.399047184474583,0.445743984944796,85.7,84.2,80,88.9,100,87.5,85.7,100
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.988721804511278,0.96969696969697,0.833333333333333,0.857142857142857,0.399368659269375,0.608510644961651,100,94.7,93.3,100,66.7,100,100,80
20,0.951127819548872,0.878787878787879,0.895833333333333,0.928571428571429,0.521468600541055,0.720392330374362,85.7,89.5,85.7,89.5,83.3,100,100,88.9
21,0.969924812030075,0.909090909090909,0.75,0.785714285714286,0.411905345212912,0.545191285662274,92.9,89.5,86.7,94.4,50,100,100,72.7
22,0.93984962406015,0.909090909090909,0.958333333333333,0.928571428571429,0.564132952686156,0.671140339766703,85.7,94.7,92.3,90,83.3,100,100,88.9
23,0.977443609022556,0.96969696969697,0.895833333333333,0.857142857142857,0.559816998343105,0.100639562065636,100,94.7,93.3,100,100,75,75,100
24,0.981203007518797,0.96969696969697,0.645833333333333,0.714285714285714,0.522655750765112,0.478871660726021,92.9,100,100,95,50,87.5,75,70
25,0.984962406015038,0.96969696969697,0.833333333333333,0.857142857142857,0.580861371140962,0.41138623715037,92.9,100,100,95,83.3,87.5,83.3,87.5
26,0.928571428571429,0.878787878787879,0.895833333333333,0.928571428571429,0.580451488041763,0.588075174809156,78.6,94.7,91.7,85.7,83.3,100,100,88.9
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.947368421052632,0.878787878787879,0.875,0.857142857142857,0.499521198223097,0.535346334413595,85.7,89.5,85.7,89.5,83.3,87.5,83.3,87.5
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.932330827067669,0.878787878787879,0.9375,0.857142857142857,0.353448226315364,0.328242518536711,92.9,84.2,81.2,94.1,100,75,75,100
31,0.977443609022556,0.939393939393939,0.875,0.857142857142857,0.473923984736495,0.778239450605826,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
32,0.966165413533835,0.939393939393939,0.854166666666667,0.857142857142857,0.642853694581065,0.542757893732625,85.7,100,100,90.5,83.3,87.5,83.3,87.5
33,0.924812030075188,0.878787878787879,0.9375,0.857142857142857,0.588261480771597,0.325334698069628,78.6,94.7,91.7,85.7,100,75,75,100
34,0.913533834586466,0.878787878787879,0.875,0.785714285714286,0.466597706042195,0.245457482322127,85.7,89.5,85.7,89.5,100,62.5,66.7,100
35,0.947368421052632,0.939393939393939,0.875,0.857142857142857,0.512196163801608,0.81809231846105,92.9,94.7,92.9,94.7,66.7,100,100,80
36,0.977443609022556,0.96969696969697,0.916666666666667,0.857142857142857,0.490757612353014,0.165060578609804,92.9,100,100,95,100,75,75,100
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.924812030075188,0.909090909090909,0.916666666666667,0.857142857142857,0.566609893886737,0.395563235675245,85.7,94.7,92.3,90,83.3,87.5,83.3,87.5
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.969924812030075,0.939393939393939,0.625,0.714285714285714,0.697425469502085,0.918355759647228,85.7,100,100,90.5,33.3,100,100,66.7
41,0.969924812030075,0.939393939393939,0.875,0.857142857142857,0.519830827554426,0.665692297627915,85.7,100,100,90.5,83.3,87.5,83.3,87.5
42,0.969924812030075,0.909090909090909,0.833333333333333,0.857142857142857,0.464400757696409,0.642652289188929,92.9,89.5,86.7,94.4,66.7,100,100,80
43,0.93609022556391,0.909090909090909,0.958333333333333,0.928571428571429,0.587067505238637,0.448391654761954,85.7,94.7,92.3,90,83.3,100,100,88.9
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.894736842105263,0.878787878787879,0.958333333333333,0.928571428571429,0.515884274654947,0.514062438278822,78.6,94.7,91.7,85.7,83.3,100,100,88.9
47,0.973684210526316,0.939393939393939,0.833333333333333,0.785714285714286,0.458708315194741,0.145249094040962,92.9,94.7,92.9,94.7,83.3,75,71.4,85.7
48,0.943609022556391,0.878787878787879,0.9375,0.928571428571429,0.366135940701175,0.687022660661026,92.9,84.2,81.2,94.1,100,87.5,85.7,100
49,0.921052631578947,0.878787878787879,0.875,0.857142857142857,0.518450076241352,0.521694285935443,78.6,94.7,91.7,85.7,66.7,100,100,80
50,0.921052631578947,0.878787878787879,0.958333333333333,0.928571428571429,0.452042002437502,0.407019105885093,85.7,89.5,85.7,89.5,83.3,100,100,88.9
51,0.992481203007519,0.96969696969697,0.8125,0.785714285714286,0.639900899570968,0.103229685122207,100,94.7,93.3,100,100,62.5,66.7,100
52,0.947368421052632,0.939393939393939,0.916666666666667,0.857142857142857,0.519699799170381,0.325959337283754,85.7,100,100,90.5,100,75,75,100
53,0.981203007518797,0.939393939393939,0.875,0.857142857142857,0.446090684379435,0.72381774005114,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
54,0.943609022556391,0.909090909090909,0.833333333333333,0.857142857142857,0.528581050272394,0.48522396871427,85.7,94.7,92.3,90,83.3,87.5,83.3,87.5
55,0.958646616541353,0.939393939393939,0.770833333333333,0.785714285714286,0.547675336298032,0.306692113183454,85.7,100,100,90.5,83.3,75,71.4,85.7
56,0.969924812030075,0.96969696969697,0.875,0.857142857142857,0.573187359393925,0.165379597386253,92.9,100,100,95,100,75,75,100
57,0.947368421052632,0.909090909090909,0.916666666666667,0.928571428571429,0.520600624629973,0.661804723067269,85.7,94.7,92.3,90,83.3,100,100,88.9
58,0.958646616541353,0.909090909090909,0.895833333333333,0.928571428571429,0.375245963099546,0.540777736240237,92.9,89.5,86.7,94.4,83.3,100,100,88.9
59,0.988721804511278,0.96969696969697,0.729166666666667,0.714285714285714,0.597120899980093,0.531412466006283,92.9,100,100,95,66.7,75,66.7,75
60,0.966165413533835,0.939393939393939,0.833333333333333,0.857142857142857,0.517812753799186,0.815738312365833,92.9,94.7,92.9,94.7,66.7,100,100,80
61,0.913533834586466,0.878787878787879,0.875,0.928571428571429,0.672096351686826,0.623437312023408,71.4,100,100,82.6,83.3,100,100,88.9
62,0.981203007518797,0.96969696969697,0.729166666666667,0.714285714285714,0.572466809040561,0.232391328410662,92.9,100,100,95,100,50,60,100
63,0.958646616541353,0.909090909090909,0.666666666666667,0.714285714285714,0.592906653291715,0.433652319387168,85.7,94.7,92.3,90,83.3,62.5,62.5,83.3
64,0.93984962406015,0.878787878787879,0.916666666666667,0.857142857142857,0.379970914805368,0.471543625835966,85.7,89.5,85.7,89.5,83.3,87.5,83.3,87.5
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.969924812030075,0.939393939393939,0.895833333333333,0.857142857142857,0.637475357385098,0.68613771927853,85.7,100,100,90.5,66.7,100,100,80
67,0.93984962406015,0.909090909090909,0.833333333333333,0.785714285714286,0.595035022736112,0.207055753003417,85.7,94.7,92.3,90,100,62.5,66.7,100
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.958646616541353,0.939393939393939,0.958333333333333,0.928571428571429,0.516912683720504,0.144004720541392,92.9,94.7,92.9,94.7,100,87.5,85.7,100
70,0.962406015037594,0.909090909090909,0.875,0.857142857142857,0.477836104573036,0.575300578727035,92.9,89.5,86.7,94.4,66.7,100,100,80
71,0.984962406015038,0.939393939393939,0.604166666666667,0.714285714285714,0.329318868071639,0.533090381262601,100,89.5,87.5,100,66.7,75,66.7,75
72,0.977443609022556,0.939393939393939,0.854166666666667,0.857142857142857,0.510740642214697,0.538221168776005,92.9,94.7,92.9,94.7,66.7,100,100,80
73,0.977443609022556,0.96969696969697,0.833333333333333,0.785714285714286,0.580901557109357,0.453451642646322,92.9,100,100,95,83.3,75,71.4,85.7
74,0.958646616541353,0.939393939393939,0.8125,0.857142857142857,0.377360519769806,0.688941257440594,100,89.5,87.5,100,66.7,100,100,80
75,0.93609022556391,0.909090909090909,0.958333333333333,0.928571428571429,0.458950830529341,0.432566425747905,85.7,94.7,92.3,90,83.3,100,100,88.9
76,0.966165413533835,0.909090909090909,0.916666666666667,0.928571428571429,0.442378844603953,0.914114740441572,92.9,89.5,86.7,94.4,83.3,100,100,88.9
77,0.909774436090226,0.878787878787879,0.979166666666667,0.928571428571429,0.49807467934069,0.333298262291516,78.6,94.7,91.7,85.7,100,87.5,85.7,100
78,0.977443609022556,0.939393939393939,0.854166666666667,0.857142857142857,0.455122486661421,0.626460368989071,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
79,0.943609022556391,0.909090909090909,0.895833333333333,0.928571428571429,0.495392529587675,0.405005625335289,85.7,94.7,92.3,90,83.3,100,100,88.9
80,0.973684210526316,0.939393939393939,0.833333333333333,0.857142857142857,0.424369540237468,0.593167316818479,92.9,94.7,92.9,94.7,83.3,87.5,83.3,87.5
81,0.928571428571428,0.909090909090909,0.916666666666667,0.928571428571429,0.571911037740443,0.536402746053633,85.7,94.7,92.3,90,83.3,100,100,88.9
82,0.969924812030075,0.96969696969697,0.916666666666667,0.857142857142857,0.487964107296457,0.174779213011828,92.9,100,100,95,100,75,75,100
83,0.973684210526316,0.939393939393939,0.75,0.785714285714286,0.511972642197158,0.441558908134689,92.9,94.7,92.9,94.7,50,100,100,72.7
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.932330827067669,0.909090909090909,0.979166666666667,0.928571428571429,0.529415187049865,0.522402218251485,85.7,94.7,92.3,90,100,87.5,85.7,100
86,0.93984962406015,0.909090909090909,0.958333333333333,0.928571428571429,0.443588242540098,0.477831107467382,85.7,94.7,92.3,90,83.3,100,100,88.9
87,0.958646616541353,0.939393939393939,0.8125,0.785714285714286,0.405955098639563,0.161121835041083,92.9,94.7,92.9,94.7,100,62.5,66.7,100
88,0.966165413533835,0.909090909090909,0.770833333333333,0.785714285714286,0.456877323730188,0.473866003503168,92.9,89.5,86.7,94.4,83.3,75,71.4,85.7
89,0.962406015037594,0.96969696969697,0.666666666666667,0.714285714285714,0.59694395244522,0.247017487398346,92.9,100,100,95,83.3,62.5,62.5,83.3
90,0.928571428571429,0.848484848484849,0.875,0.857142857142857,0.312396543393361,0.696698120776479,100,73.7,73.7,100,66.7,100,100,80
