"i","train_auc_full","acc_train_full","test_auc_full","acc_test_full","train_cutoff_full","test_cutoff_full","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
1,0.866666666666667,0.843137254901961,0.803418803418803,0.818181818181818,0.411028316100441,0.732331841540159,95.2,76.7,74.1,95.8,55.6,100,100,76.5
2,0.822222222222222,0.764705882352941,0.888888888888889,0.863636363636364,0.386692399692674,0.624761233396311,90.5,66.7,65.5,90.9,66.7,100,100,81.2
3,0.89047619047619,0.843137254901961,0.752136752136752,0.772727272727273,0.421339628478566,0.749372925018764,95.2,76.7,74.1,95.8,44.4,100,100,72.2
4,0.83015873015873,0.803921568627451,0.897435897435897,0.863636363636364,0.487921250299819,0.453505971951104,71.4,86.7,78.9,81.2,88.9,84.6,80,91.7
5,0.852380952380952,0.764705882352941,0.829059829059829,0.818181818181818,0.347995021199193,0.581934547780153,85.7,70,66.7,87.5,66.7,92.3,85.7,80
6,0.83968253968254,0.784313725490196,0.794871794871795,0.772727272727273,0.412618991353015,0.366497408512901,85.7,73.3,69.2,88,100,61.5,64.3,100
7,0.9,0.823529411764706,0.709401709401709,0.636363636363636,0.410108564768681,0.147703038193106,95.2,73.3,71.4,95.7,100,38.5,52.9,100
8,0.904761904761905,0.823529411764706,0.726495726495726,0.727272727272727,0.347218807734648,0.114897206254128,95.2,73.3,71.4,95.7,100,53.8,60,100
9,0.880952380952381,0.862745098039216,0.726495726495726,0.681818181818182,0.543341691073029,0.227031472310804,71.4,96.7,93.8,82.9,100,46.2,56.2,100
10,0.866666666666667,0.764705882352941,0.769230769230769,0.863636363636364,0.356680315364137,0.72844326692377,95.2,63.3,64.5,95,66.7,100,100,81.2
11,0.9,0.843137254901961,0.692307692307692,0.727272727272727,0.526816553738368,0.692479467286752,71.4,93.3,88.2,82.4,44.4,92.3,80,70.6
12,0.892063492063492,0.843137254901961,0.752136752136752,0.727272727272727,0.389952017072491,0.10108790176889,95.2,76.7,74.1,95.8,100,53.8,60,100
13,0.836507936507937,0.823529411764706,0.794871794871795,0.818181818181818,0.530069519112304,0.272429153875296,66.7,93.3,87.5,80,100,69.2,69.2,100
14,0.803174603174603,0.725490196078431,0.923076923076923,0.863636363636364,0.390049142946078,0.401362206561559,85.7,63.3,62.1,86.4,100,76.9,75,100
